offer_id,offer_type,property_type,location_district,location_city,location_area,agency,office_city
JuxsO06uVZG,rent,"1-room apartment","okres Žilina",Žilina,Hájik,"Realitná kancelária SYMPATIA REAL s. r. o.",Žilina
JuxQsJlXHSK,rent,"3-room apartment","okres Bytča",Bytča,"Veľká Bytča","Fortio Popper s.r.o.",Bytča
JuJrBHwvfXe,sale,"holiday apartment","okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina","AstonReal s.r.o.","Banská Bystrica"
JuVk3AeemQd,sale,"3-room apartment","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,"Istrofinal, s. r. o.",Žilina
JucIMMNEosV,sale,"3-room apartment","okres Ružomberok",Ružomberok,Baničné,"A-Byt Consult, s.r.o.",Ružomberok
Ju2EMTkOn53,sale,"2-room apartment","okres Žilina",Žilina,Vlčince,"Reinoo a.s.",Žilina
JuYbhGZmbC7,sale,"2-room apartment","okres Ružomberok","Liptovská Lúžna","Liptovská Lúžna","Obec Liptovská Lúžna","Liptovská Lúžna"
JucmUHZL9fQ,rent,"2-room apartment","okres Žilina",Žilina,"Staré mesto",NULL,NULL
Ju59v0S7Gi9,sale,"3-room apartment","okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny,"RK SPIRIT s.r.o.","Liptovský Mikuláš"
Ju4SvmwHoAg,sale,"3-room apartment","okres Ružomberok","Liptovská Teplá","Liptovská Teplá","FINREA - ak vám záleží na výsledku","Dolný Kubín"
JuJBn5ZeVAm,rent,"2-room apartment","okres Žilina",Žilina,Hliny,"Realitná kancelária",Bratislava
Juk9u-rNEqG,rent,"2-room apartment","okres Bytča",Bytča,"Veľká Bytča","Fortio Popper s.r.o.",Bytča
JuNRFKe9B5N6,sale,"4-room apartment","okres Martin",Sučany,Sučany,"TARGETreal s. r. o.",Žilina
JuG99-vnL8U,sale,"4-room apartment","okres Martin",Martin,Košúty,"Reality Alpia",Martin
JuvzAFSDr4x,sale,"3-room apartment","okres Žilina",Žilina,Bôrik,"Realitná kancelária",Bratislava
JuDorfwK08d,rent,"2-room apartment","okres Martin",Martin,Stred,"FINREA - ak vám záleží na výsledku","Dolný Kubín"
Jul_OGhX8QT,sale,"3-room apartment","okres Ružomberok",Ružomberok,Hrabovo,"Piešťany Reality",Piešťany
Ju7UFzA6VtL,sale,"2-room apartment","okres Žilina",Žilina,"Staré mesto","WFG reality, s.r.o.",Žilina
Ju9qrQrSqzm,rent,"studio apartment","okres Žilina",Žilina,Vlčince,NULL,NULL
Ju4Vd5pUjXm,sale,"3-room apartment","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto","Direct Real, spol. s r.o.",Bratislava
JuA1jb9HH8o,sale,"2-room apartment","okres Ružomberok",Ružomberok,"Staré mesto","Reality Alpia",Martin
JuVp8M6bnwG,rent,"3-room apartment","okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka,"ŠIRINY, s.r.o.",Zvolen
JuKJT8WJuFF,rent,"1-room apartment","okres Čadca",Čadca,Centrum,"HOLESTIAK.sk reality s.r.o.",Čadca
Ju8mh8KzH4f,rent,"2-room apartment","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto","Realitná kancelária Peter Hubka","Liptovský Mikuláš"
Ju9k2e7JWOr,sale,"1-room apartment","okres Martin",Turany,Turany,"Like Reality s.r.o.","Považská Bystrica"
JuXNm9NwSwi,sale,"3-room apartment","okres Žilina",Žilina,Hájik,"MGM reality",Žilina
JuOnQ9rym-h,sale,"4-room apartment","okres Žilina",Žilina,"Staré mesto","RIEŠIME BÝVANIE",Bratislava
JuFNpzHutiG,sale,"3-room apartment","okres Žilina",Žilina,Hliny,"TUreality s.r.o.",Žilina
JuZ8UmPHnMd,sale,"2-room apartment","okres Čadca",Staškov,Staškov,"SLNOVRAT, s.r.o.",Olešná
JuWLCChouGh,sale,"3-room apartment","okres Martin",Sučany,Sučany,"TARGETreal s. r. o.",Žilina
JuS6qI_HXQ_,sale,"4-room apartment","okres Žilina",Žilina,Bôrik,"1. Reality Rent, s.r.o.",Žilina
JuvIFSCKDaN,sale,"2-room apartment","okres Martin",Martin,Priekopa,"TUreality s.r.o.",Žilina
JuJITXm9Zsf,sale,"3-room apartment","okres Liptovský Mikuláš","Liptovská Kokava","Liptovská Kokava","ARBIZ real estate & finance s. r. o.",Ružomberok
JueaFakyLvY,sale,"3-room apartment","okres Žilina",Žilina,"Staré mesto","KORSO Project, s.r.o.",Žilina
Ju1F-eiNHx4,sale,"3-room apartment","okres Žilina",Žilina,"Staré mesto","RIEŠIME BÝVANIE",Bratislava
JuL3MT7o1WL,sale,"2-room apartment","okres Martin",Martin,Stred,"Realitná kancelária",Bratislava
Ju_qGSnLBzz,rent,"2-room apartment","okres Bytča",Bytča,"Thurzove sady",NULL,NULL
JuhigkHR5x2,sale,"4-room apartment","okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina","Occam New Home",Bratislava
Ju5eub1EsyB,sale,"3-room apartment","okres Žilina",Žilina,Bôrik,"Gro & Partners",Žilina
JuDetN4gLGy,sale,"holiday apartment","okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina","Tatra Invest",Podtureň
JuxJN0jj6xv,sale,"1-room apartment","okres Martin",Martin,Tomčany,"Reality AK, spol. s r.o.",Martin
JuQY1ZnmE4m,rent,"studio apartment","okres Dolný Kubín","Dolný Kubín",Brezovec,"OREA, s.r.o.","Dolný Kubín"
Ju9zHP-4dng,sale,"3-room apartment","okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny,"HALO reality, s.r.o.",Prievidza
JuTy8iCXD6j,sale,"2-room apartment","okres Martin",Martin,Tomčany,"Reality AK, spol. s r.o.",Martin
JuMhyPasgwl,rent,"1-room apartment","okres Martin",Vrútky,"Horné Vrútky","B10 Slovensko, a. s.",Žilina
