offer_id,property_type,area,condition,price_m2,built_in,house_area,land_area,built_up_area,terrain,energy_certificate,electricity,water,location_district,location_city,location_area,agency,office_city
Juxivp9KfQ0,house,123,"new construction",3250.73,2025,123,520,136,NULL,A,NULL,NULL,"okres Žilina",Rosina,Rosina,"IDEÁLNE BÝVANIE, s.r.o.",Žilina
Jud93oHCOHE,house,155,"fully renovated",1393.55,2025,155,NULL,NULL,flat,"not available","not available",well,"okres Martin",Bystrička,Bystrička,"Reality Alpia",Martin
JuJsyjovPfc,house,90,"partially renovated",1055.56,1972,90,2569,95,NULL,"not available",NULL,NULL,"okres Čadca","Dlhá nad Kysucou","Dlhá nad Kysucou","HOLESTIAK.sk reality s.r.o.",Čadca
JuOaEJ-u0ZG,house,60,unrenovated,499.98,1965,60,268,77,"gently sloped","not available",NULL,NULL,"okres Čadca",Svrčinovec,Svrčinovec,"1. Reality Rent, s.r.o.",Žilina
Ju02FWXcSxg,house,150,unrenovated,866.67,1935,150,1176,150,flat,"not available",on-site,"public water","okres Turčianske Teplice",Mošovce,Mošovce,"ALT REAL, s.r.o.",Martin
JuNBS73Ff1Z,house,212000,"fully renovated",1.56,1970,212000,424,106,flat,"not available",NULL,"public water","okres Martin",Turany,Turany,"Reality ASTORIA, s.r.o.",Martin
Juet0DuhtSi,house,65,"under construction",3061.54,2025,65,140,104,NULL,"in preparation",NULL,NULL,"okres Liptovský Mikuláš",Prosiek,Prosiek,liptoreal,"Liptovský Mikuláš"
JutC2YgCUCh,house,138,"fully renovated",1789.86,1979,138,414,140,NULL,A,NULL,NULL,"okres Martin",Bystrička,Bystrička,"MAX PROFI REALITY",Martin
JuxTlJngqfx,house,184,"new construction",2385.87,2020,184,110,NULL,"mostly flat",NULL,NULL,NULL,"okres Žilina",Hôrky,Hôrky,"Realitná kancelária RED, s.r.o.",Žilina
JuTG5fkPlv9,house,228,"under construction",592.11,2010,228,1200,114,sloped,NULL,NULL,well,"okres Turčianske Teplice",Abramová,Abramová,"B10 Slovensko, a. s.",Žilina
JunogbuFikZ,house,175,"partially renovated",314.29,1970,175,375,159,flat,"not available",NULL,"public water","okres Ružomberok",Stankovany,Stankovany,"OVERENÉ REALITY","Banská Bystrica"
JuQYvnGYftR,house,181,"partially renovated",NULL,1980,181,NULL,181,NULL,"not available",NULL,well,"okres Martin",Martin,Stráne,"TUreality s.r.o.",Žilina
JuE2xdPeLMB,house,350,"partially renovated",997.14,1982,350,423,NULL,NULL,"not available",NULL,NULL,"okres Žilina",Žilina,Budatín,"Realitné kancelárie SR",Bratislava
JuQBGbl9GCs,house,180,"partially renovated",744.44,1970,180,2616,180,"gently sloped","not available",NULL,well,"okres Bytča",Kolárovice,Kolárovice,"1. Reality Rent, s.r.o.",Žilina
Ju_uHTH2LKy,house,160,unrenovated,1075.00,1950,160,933,100,"mostly flat","not available",NULL,well,"okres Bytča","Veľké Rovné","Veľké Rovné","RIEŠIME BÝVANIE",Bratislava
JucgDISpkFu,house,112,"new construction",2758.93,2016,112,NULL,147,flat,B,on-site,"public water","okres Ružomberok","Liptovská Štiavnica","Liptovská Štiavnica","NajBývanie, s.r.o.",Ružomberok
Juf5RoOgfBW,house,160,"partially renovated",1218.75,1964,160,778,110,flat,"not available",on-site,"public water","okres Bytča",Bytča,"Hliník nad Váhom","TOCA, s.r.o. Realitná činnosť",Bytča
JuZFa40Foop,house,100,"partially renovated",1650.00,1962,100,1260,150,flat,"not available",NULL,"public water","okres Kysucké Nové Mesto",NULL,NULL,"ROSA reality","Kysucké Nové Mesto"
Juako0agoSO,house,367,"fully renovated",648.50,1970,367,755,119,"mostly flat",B,NULL,"public water","okres Žilina",Stránske,Stránske,"ADH-REAL s.r.o. Hirjaková Adriana",Ovčiarsko
Jubj0GQo0yb,house,220,"fully renovated",863.64,1990,220,480,165,"gently sloped","not available",NULL,well,"okres Čadca",Zákopčie,Zákopčie,"RK Finanz Real, s.r.o.",Trnava
JufilbyD1c1,house,160,"partially renovated",1468.75,1993,160,524,160,NULL,NULL,NULL,NULL,"okres Ružomberok",Ružomberok,"Biely Potok","Romantické Chalupy, s.r.o.",Bratislava
JutiSbVRe_4,house,270,"partially renovated",1848.15,1960,270,753,225,flat,"not available",NULL,NULL,"okres Žilina",Žilina,Bôrik,"TUreality s.r.o.",Žilina
JuNs-c1_Jug,house,130,"fully renovated",2615.38,1990,130,475,285,flat,"not available",NULL,"public water","okres Čadca",Staškov,Staškov,"PROFI INVEST družstvo",Košice
JunPSVDxWEH,house,1481,unrenovated,173.53,2025,1481,1481,NULL,flat,"not available","not available",well,"okres Martin",Martin,"Kolónia Hviezda","Reality Alpia",Martin
Jujj9R6pdLi,house,150,"partially renovated",1066.00,1960,150,683,160,flat,"not available",NULL,well,"okres Žilina",Konská,Konská,"Reality IQ, s.r.o.",Žilina
JuX1WyelwxA,house,650,unrenovated,61.54,2025,650,NULL,NULL,flat,"not available","not available","not available","okres Žilina","Malá Čierna","Malá Čierna","Reality Alpia",Martin
JuiwpIv6ZO8n,house,200,"new construction",1650.00,2010,200,586,200,NULL,NULL,NULL,NULL,"okres Turčianske Teplice","Turčianske Teplice","Turčiansky Michal","Realitné kancelárie SR",Bratislava
JuzAGRifcCv,house,200,"new construction",1395.00,2013,200,790,100,flat,"not available",NULL,NULL,"okres Čadca","Krásno nad Kysucou",Stred,"GAMA Reality, s.r.o.",Bytča
JuWLq7Wh8lf,house,170,"fully renovated",1205.29,2020,170,715,94,NULL,"not available",NULL,NULL,"okres Martin","Kláštor pod Znievom","Kláštor pod Znievom","Reality AK, spol. s r.o.",Martin
Ju9fCSXKuI8,house,200,unrenovated,749.50,1900,200,1064,140,NULL,"not available",NULL,NULL,"okres Liptovský Mikuláš",Važec,Važec,"HALO reality, s.r.o.",Prievidza
JuzfaiaPF1e,house,95,"fully renovated",4189.47,1995,95,NULL,100,flat,"not available",on-site,"public water","okres Martin",Martin,Jahodníky,"DOBRÉ REALITY s.r.o.",Prievidza
Ju_jNWgq4Ah,house,200,unrenovated,800.00,1979,200,NULL,100,"mostly flat","not available",NULL,NULL,"okres Liptovský Mikuláš","Kráľova Lehota","Kráľova Lehota","RIEŠIME BÝVANIE",Bratislava
JukqbzsVg5j,house,227,"partially renovated",NULL,1957,227,4951,181,flat,"not available",on-site,"public water","okres Martin",Belá-Dulice,Belá-Dulice,"Reality Center, s.r.o.",Martin
Ju7p-ibu19t,house,285,"partially renovated",592.98,1985,285,1073,120,"gently sloped","not available",on-site,"public water","okres Liptovský Mikuláš","Liptovská Porúbka","Liptovská Porúbka","RIEŠIME BÝVANIE",Bratislava
JuHbG5bC-AQ,house,240,"fully renovated",729.17,1940,240,4377,120,"gently sloped","not available",NULL,NULL,"okres Martin",Martin,Stráne,"Reality AK, spol. s r.o.",Martin
JuMpX9TQAHl,house,250,"new construction",NULL,2007,250,NULL,150,flat,"not available",on-site,"public water","okres Dolný Kubín","Dolný Kubín",Brezovec,"OREA, s.r.o.","Dolný Kubín"
JuTNxy0mSKf,house,200,"fully renovated",NULL,1970,200,1032,100,"mostly flat","not available",NULL,NULL,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Suľkov,"BR ACADEMY, s. r. o.","Kysucké Nové Mesto"
Juwnal8LZ_c,house,200,"new construction",1103.63,2024,200,588,90,"gently sloped","not available",on-site,"public water","okres Žilina",Žilina,"Žilinská Lehota","DRR INVEST, s. r. o.","Horný Hričov"
JukKOW5g8ic,house,100,"fully renovated",1860.00,1975,100,1359,197,flat,"not available",on-site,"public water","okres Ružomberok",Kalameny,Kalameny,"NajBývanie, s.r.o.",Ružomberok
JufvMyqhmxo,house,238,unrenovated,NULL,1995,238,NULL,NULL,flat,"not available","not available",well,"okres Martin",Vrícko,Vrícko,"Reality Alpia",Martin
JuUuFP8LBad,house,130,"partially renovated",1038.46,1967,130,895,100,"mostly flat","not available",on-site,"public water","okres Dolný Kubín",Malatiná,Malatiná,"RK Dalmia s. r. o.","Dolný Kubín"
JuGlgzti-Xv,house,150,unrenovated,466.67,1970,150,713,120,flat,"not available",on-site,"public water","okres Čadca",Staškov,Staškov,"Trioreality, s.r.o.",Čadca
JuLLKbrzsGT,house,200,"partially renovated",1245.00,1975,200,NULL,130,"gently sloped","in preparation",on-site,"public water","okres Žilina",Žilina,Budatín,"Allrisk Slovakia Reality & Financie, s.r.o.",Bratislava
JuHzzpFEcq7,house,450,"partially renovated",NULL,2022,450,1700,227,NULL,"not available",NULL,NULL,"okres Žilina",Terchová,Terchová,"Briliant Reality, s.r.o.",Senec
JuAHn1RYaaM,house,120,"new construction",1950.00,1980,120,2036,120,flat,"not available",NULL,NULL,"okres Čadca",Korňa,Korňa,"SLNOVRAT, s.r.o.",Olešná
JuUyDXLqSR7,house,280,"partially renovated",NULL,1970,280,1039,132,flat,"not available",on-site,"public water","okres Tvrdošín",Nižná,Nižná,"RK Dalmia s. r. o.","Dolný Kubín"
JuxqHjwv5kQ,house,130,"under construction",1961.54,2025,130,600,130,flat,"not available",NULL,well,"okres Martin","Kláštor pod Znievom","Kláštor pod Znievom","Reality ASTORIA, s.r.o.",Martin
JukjLL6Pznq,house,200,"fully renovated",1325.00,2023,200,1310,100,flat,"not available",NULL,well,"okres Bytča","Hlboké nad Váhom","Hlboké nad Váhom","1. Reality Rent, s.r.o.",Žilina
JuEdQgaYA3w,house,203,"fully renovated",1226.60,1970,203,722,203,flat,"not available",on-site,"public water","okres Martin",Príbovce,Príbovce,"Reality BL, s.r.o.","Kysucké Nové Mesto"
JucVvBL8mQZ,house,84,"new construction",2726.19,2024,84,416,93,flat,A,NULL,"public water","okres Žilina",Brezany,Brezany,"ŽILINAREAL, s.r.o.",Žilina
Juzanri8hki,house,160,"partially renovated",1218.75,1964,160,778,110,flat,"not available",on-site,"public water","okres Bytča",Bytča,"Hliník nad Váhom","TOCA, s.r.o. Realitná činnosť",Bytča
JuNKxzZQlzf,house,200,"partially renovated",1325.00,1980,200,649,120,flat,"not available",on-site,"public water","okres Žilina",Višňové,Višňové,"Ing. Gerlinda Bérešová - Esti",Žilina
JuLre6AewXY,house,90,"new construction",3888.89,2022,90,909,90,NULL,NULL,NULL,NULL,"okres Ružomberok",Ivachnová,Ivachnová,"Romantické Chalupy, s.r.o.",Bratislava
JuJF0aEq48e,house,664,unrenovated,218.37,1958,664,NULL,78,flat,"not available",on-site,well,"okres Žilina",Hôrky,Hôrky,"Safe reality s. r. o.",Žilina
Ju2bCMkIGvc,house,100,unrenovated,1700.00,1956,100,1550,100,NULL,NULL,NULL,NULL,"okres Bytča",Štiavnik,Štiavnik,"Romantické Chalupy, s.r.o.",Bratislava
JuHinPus21r,house,120,unrenovated,916.67,1932,120,982,50,flat,"not available",NULL,"public water","okres Ružomberok",Lisková,Lisková,"RK Dalmia s. r. o.","Dolný Kubín"
Ju3sdsvW1qf,house,250,"new construction",3000.00,2025,250,980,138,NULL,NULL,NULL,NULL,"okres Ružomberok",Ružomberok,"Staré mesto","bezmaklérov, s.r.o.",Žilina
JujgFHysqby,house,70,"partially renovated",3357.14,1961,70,173,90,flat,"not available",NULL,well,"okres Martin","Turčianske Kľačany","Turčianske Kľačany","AstonReal s.r.o.","Banská Bystrica"
Juec3rJbHzE,house,126,"new construction",3134.92,2022,126,380,70,flat,B,NULL,well,"okres Liptovský Mikuláš","Liptovská Sielnica","Liptovská Sielnica","HALO reality, s.r.o.",Prievidza
JuVTTY5wrme,house,100,unrenovated,1540.00,1961,100,NULL,250,flat,"not available",on-site,"public water","okres Turčianske Teplice","Turčianske Teplice",Diviaky,"Reality MT s.r.o.",Martin
JufEAKik-mc,house,138,"fully renovated",1739.13,1980,138,452,138,sloped,NULL,NULL,well,"okres Martin",Podhradie,Podhradie,"B10 Slovensko, a. s.",Žilina
Ju8UQkGga6F,house,1252,unrenovated,91.85,1941,1252,1252,575,sloped,"not available",on-site,"public water","okres Ružomberok",Lisková,Lisková,"RK VILLEA, s. r. o.","Dolný Kubín"
JuMmB0vZcwg,house,160,unrenovated,NULL,1995,160,544,119,"mostly flat",NULL,NULL,NULL,"okres Žilina",Žilina,Bôrik,"Realitná kancelária RED, s.r.o.",Žilina
Juu4bOArZvB,house,90,unrenovated,1211.11,1920,90,543,90,NULL,NULL,NULL,NULL,"okres Ružomberok",Lúčky,Lúčky,"Romantické Chalupy, s.r.o.",Bratislava
JuG-JRPmhAG,house,100,"new construction",NULL,2023,100,450,NULL,other,"not available",on-site,well,"okres Žilina",NULL,NULL,"Realitná kancelária DOM",Žilina
Ju6-BxY4Q9v,house,80,"new construction",3062.50,2020,80,354,80,NULL,NULL,NULL,NULL,"okres Martin",Blatnica,Blatnica,"Romantické Chalupy, s.r.o.",Bratislava
Ju4_CW18xww,house,150,unrenovated,932.67,1970,150,812,150,flat,"not available",NULL,"public water","okres Žilina","Paština Závada","Paština Závada","WFG reality, s.r.o.",Žilina
JujfdD-5RPO,house,147,"new construction",NULL,2024,147,NULL,199,flat,A,NULL,well,"okres Ružomberok",Komjatná,Komjatná,"AstonReal s.r.o.","Banská Bystrica"
JuJ5z8J0t7V,house,175,"new construction",NULL,2022,175,700,NULL,other,"not available","not available","not available","okres Žilina",Žilina,Budatín,"MGM reality",Žilina
Ju7pKhqP4zK,house,464,"partially renovated",581.68,1937,464,2177,464,flat,"not available",on-site,"public water","okres Martin",Sučany,Sučany,"Like Reality s.r.o.","Považská Bystrica"
JuRty8qQQ_7,house,220,unrenovated,859.09,1980,220,NULL,344,"gently sloped","not available",on-site,well,"okres Tvrdošín",Tvrdošín,Tvrdošín,"AstonReal s.r.o.","Banská Bystrica"
Juv0ePbKA7G,house,100,unrenovated,1200.00,1930,100,NULL,907,flat,"not available",NULL,well,"okres Dolný Kubín",Kraľovany,Kraľovany,"AstonReal s.r.o.","Banská Bystrica"
JuKz9mvEvI_,house,200,"partially renovated",575.00,1928,200,NULL,200,"gently sloped","not available",on-site,"public water","okres Liptovský Mikuláš",Važec,Važec,"REALITY TATRY",Levoča
JunAaEjMO5H,house,260,"partially renovated",296.50,2006,260,NULL,140,flat,"not available","not available","not available","okres Liptovský Mikuláš",Važec,Važec,"DRAŽOBNÍK, s.r.o.",Košice
JuVJGPaHJOp,house,386,unrenovated,945.60,2002,386,1045,154,"gently sloped",NULL,NULL,NULL,"okres Čadca",Zákopčie,Zákopčie,"Realitná kancelária RED, s.r.o.",Žilina
JuqydMjWuh4,house,100,unrenovated,999.00,1900,100,576,80,NULL,"not available",NULL,NULL,"okres Žilina",Lysica,Lysica,"TARGETreal s. r. o.",Žilina
JunkMQWQbHn,house,683,"partially renovated",452.42,1980,683,683,NULL,flat,"not available",on-site,well,"okres Žilina",Žilina,Bánová,"TUreality s.r.o.",Žilina
JuM-6ImZqgg,house,165,unrenovated,1357.58,1967,165,1000,95,NULL,"not available",NULL,NULL,"okres Čadca",Čadca,Centrum,"HOLESTIAK.sk reality s.r.o.",Čadca
Jup9Yn-xSxK,house,125,"new construction",NULL,2025,125,426,NULL,other,"not available","not available","not available","okres Žilina",Bitarová,Bitarová,"MGM reality",Žilina
JuB8tqpRaSl,house,110,unrenovated,954.55,1950,110,402,160,"mostly flat","not available",NULL,NULL,"okres Ružomberok",Ružomberok,"Pod Skalami","RE/MAX Slovakia",Bratislava
Juu2Y87Z-DK,house,220,"partially renovated",477.27,1979,220,1057,106,NULL,"not available",on-site,well,"okres Čadca",Skalité,Skalité,"TUreality s.r.o.",Žilina
JukEQsAHFmW,house,100,"partially renovated",NULL,1970,100,1230,160,"gently sloped",NULL,NULL,"public water","okres Turčianske Teplice",Budiš,Budiš,"B10 Slovensko, a. s.",Žilina
JuMiWG_Bjr-,house,160,unrenovated,1249.38,1958,160,3200,100,flat,"not available",NULL,NULL,"okres Žilina",Varín,Varín,"Safe reality s. r. o.",Žilina
JuoozgHS-2r,house,160,unrenovated,906.25,1965,160,435,108,"gently sloped",NULL,on-site,well,"okres Čadca",Čadca,"U Hluška","B10 Slovensko, a. s.",Žilina
Juzaery-uaM,house,139,"new construction",3561.15,2023,139,712,160,NULL,NULL,NULL,NULL,"okres Martin",Martin,Tomčany,"Buby reality, s.r.o.",Žilina
JuJSekEM4oc,house,102,"new construction",2441.18,2026,102,750,130,flat,A,on-site,"public water","okres Ružomberok","Liptovské Sliače","Liptovské Sliače","Apollo House",Bratislava
JubJO0qS-zH,house,140,"partially renovated",1374.29,1965,140,1620,180,flat,"not available",NULL,"public water","okres Liptovský Mikuláš",Ľubeľa,Ľubeľa,jabyvam.sk,"Liptovský Mikuláš"
JueA1N-Ntfj,house,96,"fully renovated",2291.67,1930,96,593,76,"gently sloped","not available",NULL,"public water","okres Liptovský Mikuláš","Závažná Poruba","Závažná Poruba","RK SPIRIT s.r.o.","Liptovský Mikuláš"
JuHtgn-PdTN,house,106,"new construction",NULL,2025,106,605,NULL,flat,"not available",NULL,well,"okres Martin","Turčianske Kľačany","Turčianske Kľačany","TUreality s.r.o.",Žilina
Jub25_ejcJA,house,153,"fully renovated",1895.42,2013,153,491,92,"gently sloped",B,on-site,"public water","okres Čadca",Oščadnica,Oščadnica,"Nestor Capital s.r.o.",Bratislava
JuvMlRWqyJoo,house,240,unrenovated,NULL,2003,240,1619,NULL,other,"not available","not available","not available","okres Kysucké Nové Mesto",Nesluša,Nesluša,"MGM reality",Žilina
JuzSO8DcIjL,house,150,"fully renovated",NULL,2013,150,649,163,flat,"not available",NULL,"public water","okres Martin",Diaková,Diaková,"Reality Simply",Martin
JuT-mCUWMWu,house,120,"new construction",NULL,2020,120,1112,70,"gently sloped",A,NULL,NULL,"okres Liptovský Mikuláš",Bobrovník,Bobrovník,liptoreal,"Liptovský Mikuláš"
Ju14mSBpDUx,house,200,"partially renovated",835.00,1960,200,522,110,NULL,"not available",NULL,NULL,"okres Čadca",Oščadnica,Oščadnica,"HOLESTIAK.sk reality s.r.o.",Čadca
Ju07wpce3-e,house,50,unrenovated,1760.00,1922,50,182,50,NULL,NULL,NULL,NULL,"okres Ružomberok",Turík,Turík,"Romantické Chalupy, s.r.o.",Bratislava
JuiIP6qTDBs,house,100,"partially renovated",1750.00,1970,100,709,264,flat,A,NULL,"public water","okres Liptovský Mikuláš",Vlachy,Vlachy,"OVERENÉ REALITY","Banská Bystrica"
JuWA9aOrYrn,house,120,"partially renovated",1583.33,1960,120,1621,150,flat,"not available",on-site,"public water","okres Martin",Žabokreky,Žabokreky,"ALT REAL, s.r.o.",Martin
JuTaKGvu-_W,house,100,unrenovated,1160.00,1956,100,850,100,NULL,NULL,NULL,NULL,"okres Bytča",Štiavnik,Štiavnik,"Romantické Chalupy, s.r.o.",Bratislava
Juolbg2gxyQ,house,300,"new construction",1200.00,1900,300,769,150,other,"not available",NULL,NULL,"okres Liptovský Mikuláš",Ižipovce,Ižipovce,"RE/MAX Slovakia",Bratislava
JuOzMZP3NXD,house,70,"partially renovated",928.57,1989,70,NULL,34,"gently sloped","not available",NULL,well,"okres Čadca","Krásno nad Kysucou",Kalinov,"1. Reality Rent, s.r.o.",Žilina
JuhiXx9KEAl,house,612,"partially renovated",457.52,1980,612,NULL,414,"gently sloped","not available",on-site,"public water","okres Dolný Kubín","Dolný Kubín",Medzihradné,"Reality BL, s.r.o.","Kysucké Nové Mesto"
JuD_VuWF7qU,house,94,"new construction",3177.86,2018,94,1104,100,sloped,B,on-site,"public water","okres Dolný Kubín",Istebné,Istebné,"RK Dalmia s. r. o.","Dolný Kubín"
Ju7FT7K1T9V,house,156,unrenovated,961.47,1960,156,880,156,flat,"not available",NULL,NULL,"okres Žilina",Svederník,Svederník,"Reality IQ, s.r.o.",Žilina
Ju1tEs_gT7e,house,140,"new construction",2464.29,2016,140,639,143,sloped,A,NULL,NULL,"okres Žilina",Gbeľany,Gbeľany,"1. Reality Rent, s.r.o.",Žilina
JujDi-L-0hf,house,126,"new construction",2373.02,2020,126,1722,166,"mostly flat",A,NULL,NULL,"okres Čadca",Olešná,Olešná,"RE/MAX Slovakia",Bratislava
JuWVZLxkLMK,house,1375,"partially renovated",181.82,2025,1375,1375,165,"gently sloped","not available","not available",well,"okres Ružomberok",Ružomberok,Hrabovo,"Reality Alpia",Martin
JuUrENnUrd4,house,120,unrenovated,1625.00,1967,120,1074,205,flat,"not available",NULL,NULL,"okres Martin","Turčiansky Peter","Turčiansky Peter","Reality Center, s.r.o.",Martin
JuRBO1iDcGe,house,240,"partially renovated",1020.83,1975,240,816,215,flat,"not available",on-site,"public water","okres Martin",Sučany,Sučany,"Felicita Real s. r. o.",Martin
JuzawK4H-li,house,70,unrenovated,1271.43,1970,70,511,90,flat,"not available",NULL,"public water","okres Kysucké Nové Mesto","Dolný Vadičov","Dolný Vadičov","BR ACADEMY, s. r. o.","Kysucké Nové Mesto"
JuIGCsa_wh0,house,200,"new construction",1649.50,2018,200,1039,155,NULL,A,NULL,NULL,"okres Martin",Blatnica,Blatnica,"Buby reality, s.r.o.",Žilina
JuCbUaiZ-t8,house,180,unrenovated,204.44,1967,180,537,180,flat,"not available",NULL,NULL,"okres Čadca",Skalité,Skalité,"HOLESTIAK.sk reality s.r.o.",Čadca
JuPBoWiotP6,house,86,"new construction",2616.28,2010,86,986,136,sloped,F,NULL,NULL,"okres Turčianske Teplice","Horná Štubňa","Horná Štubňa","RIEŠIME BÝVANIE",Bratislava
JuyVW5GYHzb,house,100,"development project",1909.00,2025,100,407,113,"gently sloped",A,NULL,well,"okres Žilina",Lysica,Lysica,"YFE, s.r.o.",Žilina
JufXd7f876u,house,130,"under construction",3038.46,2025,130,530,110,flat,"not available",on-site,well,"okres Žilina",Žilina,Bánová,"RIEŠIME BÝVANIE",Bratislava
JuvDMV343M4,house,100,"new construction",1999.00,2025,100,116,74,flat,A,on-site,"public water","okres Bytča",Bytča,"Hliník nad Váhom","TOCA, s.r.o. Realitná činnosť",Bytča
JunqWaLvLjb,house,140,"new construction",2285.71,2019,140,391,70,flat,"not available",NULL,"public water","okres Liptovský Mikuláš","Liptovská Sielnica","Liptovská Sielnica","NajBývanie, s.r.o.",Ružomberok
JufxA_4siD5,house,180,unrenovated,1388.89,1990,180,972,80,"gently sloped","not available",NULL,NULL,"okres Námestovo",Námestovo,"Slanická Osada","GRAVITAS a. s.",Bratislava
JuNEJj6Bobe,house,278,unrenovated,604.32,1980,278,1769,109,"gently sloped","not available",NULL,NULL,"okres Liptovský Mikuláš",Ľubeľa,Ľubeľa,"New Ways Reality&Financie",Poprad
Ju7GkmUpk7w,house,84,"partially renovated",1190.48,1968,84,753,84,"gently sloped","not available",on-site,"public water","okres Ružomberok","Liptovská Lúžna","Liptovská Lúžna","NajBývanie, s.r.o.",Ružomberok
JuugYuyjxCy,house,461,unrenovated,NULL,2000,461,900,275,flat,"not available",NULL,NULL,"okres Čadca",Raková,Raková,NajlepšíMakléri.sk,Bratislava
JuENmSVbf52,house,773,"new construction",645.54,2019,773,570,203,"gently sloped","not available","not available",well,"okres Žilina",Rosina,Rosina,"Reality Alpia",Martin
JuSDor_pBw9,house,106,"new construction",933.96,2023,106,600,132,NULL,A,NULL,NULL,"okres Martin",Slovany,Slovany,"Buby reality, s.r.o.",Žilina
JuEl9XITon-,house,100,unrenovated,998.00,1950,100,1597,100,NULL,NULL,NULL,NULL,"okres Turčianske Teplice",Rudno,Rudno,"Romantické Chalupy, s.r.o.",Bratislava
JuQ4i8mNwlL,house,65,unrenovated,2753.85,2010,65,460,78,flat,"not available",NULL,"public water","okres Bytča",Kotešová,Kotešová,"TARGETreal s. r. o.",Žilina
Ju3IlwS0uHk,house,300,"partially renovated",933.33,1957,300,157,155,flat,"not available",on-site,"public water","okres Žilina",NULL,NULL,"DreamReality s.r.o.",Žilina
JurqmynKY4o,house,240,"new construction",NULL,2015,240,878,81,NULL,"not available",NULL,NULL,"okres Dolný Kubín","Oravský Podzámok","Oravský Podzámok","RE/MAX Slovakia",Bratislava
JuhsSA9jVzs,house,250,unrenovated,680.00,1961,250,716,100,flat,NULL,NULL,well,"okres Martin","Turčianske Kľačany","Turčianske Kľačany","B10 Slovensko, a. s.",Žilina
JuvA9DjdPST,house,140,"new construction",1607.14,2024,140,620,140,flat,"not available",on-site,"public water","okres Ružomberok",Lisková,Lisková,"ALT REAL, s.r.o.",Martin
JuXVSVVWVLI,house,60,"fully renovated",3083.33,2020,60,495,60,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš",Dúbrava,Dúbrava,"Romantické Chalupy, s.r.o.",Bratislava
Juv2ewXXJKK,house,300,"fully renovated",1300.00,2008,300,1517,200,NULL,"not available",NULL,NULL,"okres Martin",Vrútky,"Karvaša a Bláhovca","TARGETreal s. r. o.",Žilina
Juy6D0BMpPr,house,35,"new construction",NULL,2023,35,657,35,sloped,"not available",on-site,"public water","okres Martin",Belá-Dulice,Belá-Dulice,"Reality Center, s.r.o.",Martin
JuRvLvEuC6c,house,300,"partially renovated",440.00,1970,300,757,300,flat,"not available",on-site,"public water","okres Čadca",Turzovka,NULL,"SLNOVRAT, s.r.o.",Olešná
JupqlbF43-v,house,150,unrenovated,833.33,1970,150,1156,97,"gently sloped","not available",on-site,well,"okres Bytča","Veľké Rovné","Veľké Rovné","StorkReal s. r. o.","Rajecká Lesná"
JuZgj6k1S7C,house,348,"partially renovated",718.10,1969,348,772,116,"mostly flat","not available",on-site,"public water","okres Martin",Martin,Stráne,"TARGETreal s. r. o.",Žilina
JuvbGiTBrMG,house,168,"new construction",1782.74,2024,168,700,219,flat,A,NULL,NULL,"okres Liptovský Mikuláš",Lazisko,Lazisko,"New Ways Reality&Financie",Poprad
Ju6pNzkI7kN,house,882,unrenovated,374.15,2025,882,NULL,NULL,flat,"not available","not available",well,"okres Martin",Martin,Stráne,"Reality Alpia",Martin
JuIyY_wrQVH,house,81,"new construction",3913.58,2025,81,948,108,flat,"not available",NULL,NULL,"okres Bytča",Bytča,"Veľká Bytča","WFG reality, s.r.o.",Žilina
JuhQKNPNiRq,house,210,"fully renovated",1642.86,1980,210,444,NULL,NULL,"not available",NULL,NULL,"okres Žilina","Rajecké Teplice","Rajecké Teplice","AnoReal, s.r.o.",Stráňavy
JuQ6y__HQN4,house,1,"fully renovated",NULL,2000,1,815,1,flat,"not available",on-site,"public water","okres Martin","Kláštor pod Znievom","Kláštor pod Znievom","LIF REAL",Martin
JuL5-OdofNk,house,300,"new construction",NULL,2020,300,1811,1,flat,B,NULL,NULL,"okres Žilina",Terchová,Terchová,"RAJA, spol. s r.o.","Svätý Jur"
JudAAa45gzT,house,140,unrenovated,1151.07,1936,140,436,115,flat,NULL,on-site,well,"okres Martin",Martin,Jahodníky,"B10 Slovensko, a. s.",Žilina
JuptIY7K5YK,house,828,"partially renovated",235.51,1977,828,828,NULL,"gently sloped","not available","not available",well,"okres Čadca",Turzovka,Predmier,"Reality Alpia",Martin
JuMof2f50da,house,60,"partially renovated",2416.67,1964,60,235,80,flat,"not available",NULL,well,"okres Žilina",Žilina,"Považský Chlmec","Reality IQ, s.r.o.",Žilina
JuZgBXj7DfA,house,160,unrenovated,912.50,1900,160,745,103,flat,"not available",NULL,well,"okres Liptovský Mikuláš",Bobrovec,Bobrovec,"RE/MAX Slovakia",Bratislava
Ju5BwjQ6s7y,house,165,"partially renovated",542.42,1960,165,573,85,"mostly flat","not available",on-site,"public water","okres Čadca",Čierne,Čierne,"SLNOVRAT, s.r.o.",Olešná
JuEB6osELcj,house,100,"partially renovated",1499.50,2024,100,1759,100,NULL,NULL,NULL,NULL,"okres Turčianske Teplice",Sklené,Sklené,"Romantické Chalupy, s.r.o.",Bratislava
Ju34HqZzlYZ,house,220,"fully renovated",1409.09,1969,220,849,100,"mostly flat",NULL,NULL,NULL,"okres Žilina",Terchová,Terchová,"Realitná kancelária RED, s.r.o.",Žilina
