offer_id,property_type,area,condition,price_m2,built_in,house_area,land_area,built_up_area,terrain,energy_certificate,electricity,water,location_district,location_city,location_area,agency,office_city
Ju1tXdldNyS,house,115,"partially renovated",1521.74,1941,115,433,140,flat,"in preparation",NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto",liptoreal,"Liptovský Mikuláš"
JuQ2hrgTY7r,house,100,"fully renovated",1350.00,1995,100,309,203,"mostly flat",NULL,NULL,NULL,"okres Liptovský Mikuláš",Pribylina,Pribylina,"Realitná kancelária RED, s.r.o.",Žilina
JuqU9D7znCx,house,86,"new construction",2616.28,2010,86,986,136,"gently sloped",F,NULL,NULL,"okres Turčianske Teplice","Turčianske Teplice",Stred,"RIEŠIME BÝVANIE",Bratislava
Juo6QlN-W6H,house,250,unrenovated,660.00,1970,250,479,125,flat,"not available",NULL,NULL,"okres Žilina",Divinka,Divinka,"1. Reality Rent, s.r.o.",Žilina
JuXXQno7cBY,house,806,"partially renovated",NULL,1980,806,806,NULL,flat,"not available",NULL,well,"okres Liptovský Mikuláš",Podtureň,Podtureň,"TUreality s.r.o.",Žilina
Ju3zQ1Nh4jQ,house,102,"new construction",2441.18,2025,102,750,130,flat,A,on-site,"public water","okres Ružomberok","Liptovské Sliače","Liptovské Sliače","Apollo House",Bratislava
Junzj9FwgBR,house,110,"partially renovated",1044.55,1960,110,NULL,99,"gently sloped","not available",on-site,"public water","okres Liptovský Mikuláš",Važec,Važec,jabyvam.sk,"Liptovský Mikuláš"
JukPbMQp4vL,house,55,"new construction",1998.18,2019,55,243,55,"gently sloped",A,on-site,"public water","okres Ružomberok","Liptovské Sliače","Liptovské Sliače","VAŠA REALITKA s.r.o.",Ružomberok
JurZyKShYtB,house,240,"partially renovated",1204.17,2025,240,240,96,sloped,"not available",NULL,well,"okres Kysucké Nové Mesto","Horný Vadičov","Horný Vadičov","TUreality s.r.o.",Žilina
JuIgoGx2_v8,house,180,"partially renovated",861.11,1970,180,502,120,flat,"not available",NULL,"public water","okres Čadca",Čadca,Rieka,"SLNOVRAT, s.r.o.",Olešná
JuwqZ5PtbUb,house,180,"partially renovated",1500.00,1956,180,1300,180,flat,"not available",on-site,well,"okres Martin",Martin,Jahodníky,"RE/MAX Slovakia",Bratislava
JuxW1O4IZfX,house,100,unrenovated,1200.00,1930,100,NULL,907,flat,"not available",NULL,well,"okres Dolný Kubín",Kraľovany,Kraľovany,"AstonReal s.r.o.","Banská Bystrica"
JudwE3rIvVz,house,89,"under construction",1449.44,2025,89,510,116,flat,A,NULL,well,"okres Čadca",Oščadnica,Oščadnica,"SLNOVRAT, s.r.o.",Olešná
JuIGrD00dbC,house,140,"partially renovated",1778.57,2005,140,380,80,flat,"not available",on-site,NULL,"okres Žilina",Žilina,Bytčica,"TUreality s.r.o.",Žilina
JuFvFbiV3nGH,house,200,"partially renovated",1150.00,1971,200,890,100,NULL,NULL,NULL,NULL,"okres Kysucké Nové Mesto","Kysucký Lieskovec","Kysucký Lieskovec","PRIVAT Reality spol.s.r.o",Bratislava
JulkobtfeMA,house,140,"fully renovated",2213.57,1930,140,541,103,"gently sloped",A,NULL,"public water","okres Liptovský Mikuláš",Dúbrava,Dúbrava,"RK SPIRIT s.r.o.","Liptovský Mikuláš"
JuILcPMYY3I,house,320,unrenovated,NULL,1970,320,2182,126,NULL,"not available",NULL,NULL,"okres Čadca",Svrčinovec,Svrčinovec,"Reality IQ, s.r.o.",Žilina
JuOXuzHr_5v,house,430,"partially renovated",1186.05,1972,430,643,215,flat,"not available",NULL,NULL,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",NULL,"1. Reality Rent, s.r.o.",Žilina
JugA13oDi48,house,384,"under construction",1947.92,2025,384,1500,237,NULL,A,NULL,NULL,"okres Žilina","Dolný Hričov","Dolný Hričov","Tribeca Group s. r. o",Žilina
