offer_id,price_m2,property_type,condition,location_district,location_area,agency,price_index
JuKI6_CGWPh,3996.00,"holiday apartment","new construction","okres Liptovský Mikuláš",Demänová,jabyvam.sk,-0.1055
JuX5UJf-pU4,5325.58,"holiday apartment","new construction","okres Liptovský Mikuláš",Demänová,"RESIDENCE realitná kancelária",0.1922
JuogofXpdYk,5192.31,"holiday apartment","new construction","okres Liptovský Mikuláš",Demänová,liptoreal,0.1623
Ju6GKonKAZ1,4764.18,"holiday apartment","new construction","okres Liptovský Mikuláš",Demänová,"RESIDENCE realitná kancelária",0.0665
Ju5yq04Fo6g,4756.76,"holiday apartment","new construction","okres Liptovský Mikuláš",Demänová,"REALITY SPOLU",0.0648
JuZFqxjae7G,4189.19,"holiday apartment","new construction","okres Liptovský Mikuláš",Demänová,"ML realitný& finančny servis s.r.o. , BrokerSoft s.r.o. , Monika Launerová - SZČO",-0.0622
JuT9LmGMkpW,4540.91,"holiday apartment","new construction","okres Liptovský Mikuláš",Demänová,jabyvam.sk,0.0165
JuP6qyzD4rb,3997.50,"holiday apartment","new construction","okres Liptovský Mikuláš",Demänová,"RK SPIRIT s.r.o.",-0.1051
Jul7be3Lkz5,4230.77,"holiday apartment","new construction","okres Liptovský Mikuláš",Demänová,"RK SPIRIT s.r.o.",-0.0529
JuWV1dgtiBd,4841.63,"holiday apartment","new construction","okres Liptovský Mikuláš",Demänová,"Reality Alpia",0.0838
JulDE6qv7sX,1611.11,"4-room apartment",unrenovated,"okres Žilina","Staré mesto","Realitná kancelária DOM",-0.0746
JuVooxZWg4s,2031.25,"4-room apartment",unrenovated,"okres Žilina","Staré mesto","ŽILINAREAL, s.r.o.",0.1668
JuQUQOdCbAJ,1904.75,"4-room apartment",unrenovated,"okres Žilina","Staré mesto","Reality IQ, s.r.o.",0.0941
Judmv08qh2A,1416.67,"4-room apartment",unrenovated,"okres Žilina","Staré mesto","RIEŠIME BÝVANIE",-0.1863
JuDpUKm1R87,2713.43,"3-room apartment","under construction","okres Martin",Jahodníky,"CANGURU s.r.o.",-0.0025
Junbds6mBD4,2724.65,"3-room apartment","under construction","okres Martin",Jahodníky,"CANGURU s.r.o.",0.0016
JuhpxD8Q4V6,2756.60,"3-room apartment","under construction","okres Martin",Jahodníky,"CANGURU s.r.o.",0.0133
Ju90gNOpUS1,2692.80,"3-room apartment","under construction","okres Martin",Jahodníky,"CANGURU s.r.o.",-0.0101
Jus8fVVapj9,2714.34,"3-room apartment","under construction","okres Martin",Jahodníky,"CANGURU s.r.o.",-0.0022
Ju89eBckNJI,2723.61,"2-room apartment","under construction","okres Martin",Jahodníky,"CANGURU s.r.o.",0.0081
Ju4T4al4Vz1,2704.71,"2-room apartment","under construction","okres Martin",Jahodníky,"CANGURU s.r.o.",0.0011
JuF5BDGmyHN,2693.36,"2-room apartment","under construction","okres Martin",Jahodníky,"CANGURU s.r.o.",-0.0031
JuZyhdrORR4,2690.44,"2-room apartment","under construction","okres Martin",Jahodníky,"CANGURU s.r.o.",-0.0042
JulollxgJp5,2707.60,"2-room apartment","under construction","okres Martin",Jahodníky,"CANGURU s.r.o.",0.0022
JuUgt1O2AUN,3640.48,"2-room apartment","new construction","okres Liptovský Mikuláš","Malé Borové",NULL,0.1258
JuN_WBxnd6g,3108.89,"2-room apartment","new construction","okres Liptovský Mikuláš","Malé Borové",NULL,-0.0386
Ju1KgFqJaOR,2458.14,"2-room apartment","new construction","okres Liptovský Mikuláš","Malé Borové","REALITY FAIR",-0.2398
Ju2vUj8wFP4,3108.89,"2-room apartment","new construction","okres Liptovský Mikuláš","Malé Borové",NULL,-0.0386
Juiqajk1kjr,3253.49,"2-room apartment","new construction","okres Liptovský Mikuláš","Malé Borové",NULL,0.0061
Jubm9fi-mY2v,3502.13,"2-room apartment","new construction","okres Liptovský Mikuláš","Malé Borové",NULL,0.0830
JuqAM-ZO9ir,3563.64,"2-room apartment","new construction","okres Liptovský Mikuláš","Malé Borové",NULL,0.1020
JuXRtZdfweI,2189.35,"4-room apartment","partially renovated","okres Martin",Ľadoveň,"Reality Center, s.r.o.",-0.0353
JuOC5yzde-c,3267.24,"2-room apartment","new construction","okres Žilina","Rajecké Teplice","ŽILINAREAL, s.r.o.",-0.0094
Juea9VaEEz4,3033.44,"2-room apartment","new construction","okres Žilina","Rajecké Teplice","STAREA, s. r. o.",-0.0803
JujxzbLeFDf,3058.63,"2-room apartment","new construction","okres Žilina","Rajecké Teplice","STAREA, s. r. o.",-0.0727
JuKfm2wXtCP,4050.00,"2-room apartment","new construction","okres Žilina","Rajecké Teplice","B10 Slovensko, a. s.",0.2279
JuNZupA7Ru4,3082.34,"2-room apartment","new construction","okres Žilina","Rajecké Teplice","ŽILINAREAL, s.r.o.",-0.0655
JumbMyGo4iI,3816.13,"2-room apartment","fully renovated","okres Ružomberok",Bešeňová,"RESIDENCE realitná kancelária",0.0468
JuRDmAO0N5y,3267.11,"2-room apartment","under construction","okres Ružomberok",Roveň,"ODEKO manažment s.r.o.",0.0581
JuaCjfZIx81,2908.31,"2-room apartment","under construction","okres Ružomberok",Roveň,"ODEKO manažment s.r.o.",-0.0581
JuTcgjCG15n,3200.00,"2-room apartment","partially renovated","okres Žilina",Hájik,"B10 Slovensko, a. s.",0.1033
JuauRurLCyp,2924.49,"2-room apartment","partially renovated","okres Žilina",Hájik,"Realitné kancelárie SR",0.0083
JuUnD0myJmK,2576.57,"2-room apartment","partially renovated","okres Žilina",Hájik,"Piata Avenue",-0.1116
JuhxKlECA3G,2677.02,"4-room apartment","under construction","okres Ružomberok",Roveň,"ODEKO manažment s.r.o.",-0.0247
JuIP59md355,2812.66,"4-room apartment","under construction","okres Ružomberok",Roveň,"ODEKO manažment s.r.o.",0.0247
JuwnuvEmJ5E,2570.65,"3-room apartment","new construction","okres Námestovo",Zubrohlava,"RK Dalmia s. r. o.",0.2771
JuIh9K2txJ3,1455.00,"3-room apartment","new construction","okres Námestovo",Zubrohlava,"BeMi realitná kancelária",-0.2771
JudSBCw12x9,2620.52,"2-room apartment","partially renovated","okres Žilina",Vlčince,"TUreality s.r.o.",-0.0484
Jub5nNi4yTF,2887.10,"2-room apartment","partially renovated","okres Žilina",Vlčince,"RIEŠIME BÝVANIE",0.0484
Ju_q6RS-fKo,1948.31,"3-room apartment","new construction","okres Námestovo","Oravské Veselé","OREA, s.r.o.",0.0936
Juqj8-BDIgQ,1614.75,"3-room apartment","new construction","okres Námestovo","Oravské Veselé","OREA, s.r.o.",-0.0936
