offer_id,offer_type,property_type,condition,location_district,location_city,location_area,agency,office_city
JuSc9mnlTNp,sale,land,NULL,"okres Liptovský Mikuláš","Liptovská Sielnica","Liptovská Sielnica","Q REAL s.r.o.",Bratislava
JuE8ApW_7eF,sale,land,NULL,"okres Čadca",Raková,Raková,"TRI LIPY, s. r. o.",Čadca
JuM_aepmWiE,sale,land,NULL,"okres Martin",Sučany,Sučany,"Svoboda&Williams Slovakia s.r.o.",Bratislava
JubvMgx0Xlu,sale,land,NULL,"okres Dolný Kubín","Vyšný Kubín","Vyšný Kubín","OREA, s.r.o.","Dolný Kubín"
JuCafss2FQP,sale,land,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš",Vitálišovce,"BIZNIS REALITY, s.r.o.",Bratislava
Ju3KUswXUz_,sale,land,unrenovated,"okres Bytča","Hlboké nad Váhom","Hlboké nad Váhom","RADO Reality",Trenčín
Jup8u-k4Epi,sale,land,NULL,"okres Bytča",Predmier,Predmier,"bezmaklérov, s.r.o.",Žilina
JuMCxXCgucb,sale,land,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Mara - Tatralandia","RK SPIRIT s.r.o.","Liptovský Mikuláš"
Ju6EZukLTos,sale,land,NULL,"okres Čadca",Čadca,Podzávoz,"SLNOVRAT, s.r.o.",Olešná
JufB0mJ4fBT,sale,land,unrenovated,"okres Liptovský Mikuláš",Gôtovany,Gôtovany,"REALITY SPOLU",Bratislava
Ju0PCzCiNgB,sale,land,NULL,"okres Martin",Žabokreky,Žabokreky,"Buby reality, s.r.o.",Žilina
JuuPBY6Ot9Q,sale,land,NULL,"okres Turčianske Teplice","Turčianske Teplice","Turčiansky Michal","Reality Center, s.r.o.",Martin
Jut0tUa88wB,sale,land,NULL,"okres Žilina",Rosina,Rosina,"BeMi realitná kancelária",Nitra
JuXoUVcEWR0,sale,land,NULL,"okres Žilina",Ovčiarsko,Ovčiarsko,"BeMi realitná kancelária",Nitra
Juz3m4uVQID,sale,land,NULL,"okres Dolný Kubín","Oravská Poruba","Oravská Poruba","FINREA - ak vám záleží na výsledku","Dolný Kubín"
JuD0_PFG0ni,sale,land,NULL,"okres Turčianske Teplice",Sklené,Sklené,"BV REAL PD, s.r.o.",Prievidza
JuNxdVDCwxP,sale,land,NULL,"okres Námestovo",Novoť,Novoť,"RIEŠIME BÝVANIE",Bratislava
JuMd2LfAtcs,sale,land,unrenovated,"okres Čadca","Dlhá nad Kysucou","Dlhá nad Kysucou","1. Reality Rent, s.r.o.",Žilina
JurUF8OlH6u,sale,land,NULL,"okres Čadca",Turzovka,Hlinené,"SLNOVRAT, s.r.o.",Olešná
JuKqcvokzbp,sale,land,NULL,"okres Martin",Socovce,Socovce,"Buby reality, s.r.o.",Žilina
Jufivg-_9rM,sale,land,NULL,"okres Dolný Kubín","Dolný Kubín","Malý Bysterec","OREA, s.r.o.","Dolný Kubín"
JuT8srAbvDd,sale,land,"under construction","okres Žilina","Kamenná Poruba","Kamenná Poruba","MGM reality",Žilina
JuiaMHS2a8S,sale,land,NULL,"okres Čadca",Oščadnica,Oščadnica,"SLNOVRAT, s.r.o.",Olešná
Juuliwtz_LA,sale,land,NULL,"okres Martin",Necpaly,Necpaly,"Realitné kancelárie SR",Bratislava
Ju7kkzPHIc1,sale,land,NULL,"okres Žilina",Krasňany,Krasňany,"Reality Alpia",Martin
Ju78oHKGop9R,sale,land,"new construction","okres Žilina","Kotrčiná Lúčka","Kotrčiná Lúčka","RS Mansory s.r.o.",Bratislava
JuFPPvDcbTI,sale,land,NULL,"okres Liptovský Mikuláš",Východná,Východná,liptoreal,"Liptovský Mikuláš"
Juhz-iIvfOR,sale,land,NULL,"okres Dolný Kubín",Zázrivá,Zázrivá,NULL,NULL
Jul34-9Uznd,sale,land,NULL,"okres Žilina",Stránske,Stránske,"Realitné kancelárie SR",Bratislava
Juz8n3k63O_,sale,land,unrenovated,"okres Liptovský Mikuláš",Beňadiková,Beňadiková,"Direct Real, spol. s r.o.",Bratislava
JuBCn0k3F8q,sale,land,NULL,"okres Ružomberok",Ružomberok,"Nová Hrboltová","RK SPIRIT s.r.o.","Liptovský Mikuláš"
JuPab66wdox,sale,land,NULL,"okres Dolný Kubín","Dolný Kubín",Mokraď,"RK Dalmia s. r. o.","Dolný Kubín"
JulxtEGlU-r,sale,land,unrenovated,"okres Turčianske Teplice",Budiš,Budiš,"Reality AK, spol. s r.o.",Martin
JuGjdMCF3ve,sale,land,NULL,"okres Žilina",Žilina,Bytčica,"DreamReality s.r.o.",Žilina
