offer_id,offer_type,property_type,area,condition,location_district,location_city,location_area,built_in
JuLJzHZSfxX,sale,"2-room apartment",70,unrenovated,"okres Martin",Martin,Sever,1956
JuxE6cxjVt5,rent,"3-room apartment",72,"fully renovated","okres Martin",Martin,Priekopa,1979
JuSt-eGDLO6,sale,"studio apartment",123,"partially renovated","okres Ružomberok",Ružomberok,"Staré mesto",NULL
JuaEFYi_BYt,sale,"2-room apartment",55,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto",NULL
Ju8vp_eBF_v,sale,"3-room apartment",65,"under construction","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,2025
JuRTwACBCKF,sale,"3-room apartment",NULL,"new construction","okres Námestovo",Zubrohlava,Zubrohlava,NULL
JubsYNuv_gH,sale,"2-room apartment",NULL,"development project","okres Dolný Kubín","Dolný Kubín",Stred,NULL
Jubm9fi-mY2v,sale,"2-room apartment",47,"new construction","okres Liptovský Mikuláš","Malé Borové","Malé Borové",NULL
JudLF_FsgcX,sale,"4-room apartment",81,"partially renovated","okres Žilina",Žilina,Vlčince,2025
JuS9mzdfL46,rent,"2-room apartment",80,"new construction","okres Žilina",Žilina,Vlčince,NULL
Juopd9f8gHL,rent,"2-room apartment",53,"fully renovated","okres Martin",Martin,Priekopa,NULL
Ju2UJpNwB9y,sale,"2-room apartment",55,"fully renovated","okres Čadca",Staškov,Staškov,NULL
JuUmF3RUVmb,sale,"studio apartment",25,unrenovated,"okres Martin",Martin,Sever,NULL
JudlhMNjWfy,sale,"3-room apartment",59,"new construction","okres Martin",Martin,Záturčie,NULL
JuKXKn_6Mq6,sale,"2-room apartment",50,unrenovated,"okres Žilina",Žilina,Solinky,1995
JuKVuQz4tJM,rent,"2-room apartment",43,"fully renovated","okres Dolný Kubín","Dolný Kubín",Mokraď,NULL
JuFvtb1f76m,sale,"3-room apartment",72,"fully renovated","okres Žilina",Žilina,Vlčince,NULL
JufchRWgj96,sale,"1-room apartment",39,"new construction","okres Žilina",Žilina,"Staré mesto",2025
JuXqaBy1YwX,sale,"2-room apartment",54,"partially renovated","okres Žilina",Žilina,"Staré mesto",NULL
JuMU6JiyoDi,sale,"3-room apartment",63,"fully renovated","okres Žilina",Višňové,Višňové,1980
JuFIplbJnri,sale,"4-room apartment",142,"new construction","okres Čadca",Čadca,Centrum,NULL
JuXU3OM1vfY,rent,"3-room apartment",65,"fully renovated","okres Žilina",Žilina,"Staré mesto",NULL
Ju7W5q5NyuP,rent,"holiday apartment",40,"new construction","okres Tvrdošín",NULL,NULL,2018
Ju1cXQ08ziY,sale,"2-room apartment",70,"new construction","okres Dolný Kubín","Dolný Kubín",Brezovec,2011
Ju4Mn0S0K8V,sale,"1-room apartment",50,"new construction","okres Martin",Martin,Tomčany,2025
JuyiYLCVsIz,sale,"2-room apartment",55,"partially renovated","okres Ružomberok",Ružomberok,Roveň,1952
JupinWd8ZQVD,sale,"2-room apartment",60,"fully renovated","okres Žilina",Žilina,"Staré mesto",1915
Ju-7v4T1AY6H,rent,"2-room apartment",59,"partially renovated","okres Martin",Martin,Priekopa,2025
Juqwj6nqGVe,rent,"3-room apartment",73,"new construction","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,2021
JueZM646cTy,sale,"holiday apartment",40,"new construction","okres Ružomberok",Bešeňová,Bešeňová,NULL
JufIYFnXqFe,rent,"3-room apartment",70,"fully renovated","okres Martin",Martin,Stred,1900
JuhmvsftjdY,sale,"3-room apartment",96,"new construction","okres Martin",Martin,Jahodníky,2025
JuUk6PkKhU1,rent,"2-room apartment",65,"fully renovated","okres Žilina",Žilina,"Staré mesto",NULL
JumYoLK7UqZ,rent,"1-room apartment",40,"fully renovated","okres Martin",Martin,Stred,NULL
Jub_GkQafv9,sale,"2-room apartment",59,"fully renovated","okres Martin",Martin,Podháj,1970
JuCMuZyrXT9,sale,"3-room apartment",72,"fully renovated","okres Čadca",Čadca,Žarec,1978
JuGtWZEOQoM,sale,"2-room apartment",53,"fully renovated","okres Žilina",Žilina,"Staré mesto",1980
JuJZH5W0xc8,rent,"2-room apartment",70,"fully renovated","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto",NULL
JursQitkieS,sale,"studio apartment",29,"fully renovated","okres Žilina",Žilina,Bánová,2021
JuhY6PtUUUQ,sale,"4-room apartment",77,"under construction","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,2025
JuwolRsTXje,sale,"3-room apartment",65,"partially renovated","okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny,1994
JulmjMPVf2y,sale,"4-room apartment",120,"fully renovated","okres Martin",Martin,Stred,1995
JuXYI9YrjoJ,sale,"3-room apartment",83,"new construction","okres Žilina",Žilina,Hájik,2025
Juluyhlg8Mb,rent,"studio apartment",19,"partially renovated","okres Martin",Martin,Sever,NULL
JumN63g2ReF,sale,"3-room apartment",70,"fully renovated","okres Žilina",Varín,Varín,NULL
JuF-0hmTSgb,sale,"holiday apartment",35,"new construction","okres Ružomberok",Bešeňová,Bešeňová,2024
JuiYcneQxM0,sale,"3-room apartment",62,unrenovated,"okres Čadca",Čadca,Kyčerka,NULL
JuJrPj7p6LA,sale,"holiday apartment",27,"new construction","okres Liptovský Mikuláš","Pavčina Lehota","Pavčina Lehota",NULL
Ju-S5IE7Y0K,sale,"holiday apartment",23,"under construction","okres Liptovský Mikuláš","Závažná Poruba","Závažná Poruba",NULL
JutAxM54sI9,sale,"2-room apartment",74,"partially renovated","okres Martin",Martin,Sever,1978
JuBT9IU3F1g,sale,"3-room apartment",101,"new construction","okres Žilina",Žilina,"Staré mesto",2022
Ju-j_zRPy7a,sale,"2-room apartment",59,"new construction","okres Martin",Martin,Záturčie,2009
Jub-qUAwi4z,sale,"3-room apartment",64,"fully renovated","okres Martin",Martin,Košúty,NULL
JuluCbW3ZHE,sale,"3-room apartment",79,"new construction","okres Žilina",Žilina,Vlčince,2024
JunIK4vBJDk,sale,"4-room apartment",120,"new construction","okres Martin",Martin,Tomčany,2025
JuNrqMazgdo,sale,"3-room apartment",90,"fully renovated","okres Martin",Martin,Priekopa,1975
Ju9yeRQLBJd,sale,"2-room apartment",47,"new construction","okres Dolný Kubín","Dolný Kubín","Kubínska hoľa",NULL
JuE57rFMsYf,rent,"2-room apartment",60,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto",NULL
Ju6xkslUZo-,rent,"2-room apartment",75,"development project","okres Žilina",Žilina,Bôrik,2009
JujUQv7hvyj,sale,"3-room apartment",96,"fully renovated","okres Žilina","Dlhé Pole","Dlhé Pole",1986
Ju_noeKeCn0,sale,"holiday apartment",30,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová,2025
JuFKoH6piMc,sale,"3-room apartment",78,unrenovated,"okres Ružomberok",Ružomberok,Klačno,2025
JuwbdEJILXn,rent,"2-room apartment",50,"partially renovated","okres Žilina",Žilina,Hájik,NULL
JuoCz53ml38,sale,"holiday apartment",53,"new construction","okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina",NULL
JuvOvL67CnW,rent,"4-room apartment",75,"fully renovated","okres Dolný Kubín","Dolný Kubín",Stred,1980
Ju6NLOs0FvZ,sale,"3-room apartment",76,unrenovated,"okres Martin",Martin,Jahodníky,1973
Jum6U0_5m9N,rent,"2-room apartment",59,"fully renovated","okres Žilina",Žilina,Vlčince,NULL
Ju79Oyn1X3B,sale,"holiday apartment",40,"new construction","okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina",2024
JuQVA2vA49W,sale,"1-room apartment",30,unrenovated,"okres Martin",Vrútky,"Horné Vrútky",1980
JuoiWz-kUDq,rent,"2-room apartment",50,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka,2018
JueA04xvA0H,sale,"3-room apartment",66,"fully renovated","okres Žilina",Žilina,Hliny,1970
JuD4zRss3yP,sale,"3-room apartment",72,"fully renovated","okres Žilina",Žilina,Solinky,NULL
JuCYzVbHujF,sale,"3-room apartment",87,"fully renovated","okres Martin",Príbovce,Príbovce,1989
JuGDxnx-MGv,sale,"3-room apartment",72,"partially renovated","okres Turčianske Teplice","Turčianske Teplice",Stred,NULL
JuuYTb7aXin,sale,"3-room apartment",73,"new construction","okres Liptovský Mikuláš","Liptovský Hrádok",NULL,2011
JuZdV5jCSUO,sale,"3-room apartment",89,"partially renovated","okres Liptovský Mikuláš","Liptovský Hrádok",Dovalovo,2024
JuKVTIO-aDH,sale,"3-room apartment",74,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto",2006
JuNgEGp-EQa,sale,"holiday apartment",29,"fully renovated","okres Liptovský Mikuláš","Liptovský Ján","Liptovský Ján",2025
JuxN0XX5d2L,rent,"3-room apartment",74,"fully renovated","okres Bytča",Bytča,"Veľká Bytča",2025
Judr92_ylzz,sale,"2-room apartment",60,"partially renovated","okres Tvrdošín",Tvrdošín,Medvedzie,2012
JuXHjhU272A,sale,"3-room apartment",64,unrenovated,"okres Žilina",Žilina,Hliny,1962
Ju_ePT-_LMH,sale,"2-room apartment",66,"fully renovated","okres Námestovo",Námestovo,Brehy,1985
JuzuxPMP-Xr,sale,"3-room apartment",60,"new construction","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko,2024
JuDXnrUS-p1,sale,"holiday apartment",37,unrenovated,"okres Ružomberok",Ružomberok,Hrabovo,2025
JuQfDarw60S,rent,"2-room apartment",64,"fully renovated","okres Martin",Martin,Podháj,1980
Jux_7MHZ0xE,sale,"1-room apartment",35,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš",Stošice,NULL
JuUTD1Lj0lr,sale,"3-room apartment",80,"fully renovated","okres Žilina",Žilina,"Staré mesto",1969
JuPs0jZ4Upm,rent,"3-room apartment",60,"fully renovated","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Nábrežie,NULL
JuZ2eoxoyai,rent,"3-room apartment",80,"new construction","okres Liptovský Mikuláš","Partizánska Ľupča","Partizánska Ľupča",NULL
JuuvbPIMl4t,sale,"4-room apartment",84,"partially renovated","okres Žilina",Žilina,Solinky,1983
Ju7DJIriKhh,sale,"4-room apartment",118,"fully renovated","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Stred,2000
Ju2ogwd19a4,sale,"3-room apartment",68,"partially renovated","okres Martin",Martin,Záturčie,1990
JuVooxZWg4s,sale,"4-room apartment",128,unrenovated,"okres Žilina",Žilina,"Staré mesto",1942
JuuvunHgeuI,sale,"2-room apartment",52,"partially renovated","okres Tvrdošín",Tvrdošín,Medvedzie,1900
JuhpxD8Q4V6,sale,"3-room apartment",97,"under construction","okres Martin",Martin,Jahodníky,NULL
Jun8Wp9H-1m,sale,"3-room apartment",83,"new construction","okres Liptovský Mikuláš","Liptovský Hrádok",Celiny,2023
JuKMOepiUjn,sale,"1-room apartment",40,unrenovated,"okres Žilina",Žilina,Vlčince,1988
JuyIru5Z-bn,sale,"2-room apartment",55,"fully renovated","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto",1900
JurHWDFucoi,sale,"2-room apartment",47,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš",Stošice,2023
JuuLiOVYceV,sale,"3-room apartment",100,"fully renovated","okres Čadca",Raková,Raková,NULL
Ju6KRY_ibJj,rent,"3-room apartment",70,"fully renovated","okres Ružomberok",Ružomberok,Polík,NULL
JuuS6FA8WTM,rent,"1-room apartment",38,"fully renovated","okres Čadca",Čadca,Žarec,1990
JuGqA0i3EO8,sale,"3-room apartment",80,"partially renovated","okres Žilina",Žilina,"Staré mesto",NULL
JuFxU-EPo7k,sale,"3-room apartment",84,"partially renovated","okres Liptovský Mikuláš","Liptovská Porúbka","Liptovská Porúbka",1994
JuJDcaBGFgv,sale,"3-room apartment",80,"new construction","okres Čadca",Čadca,Škrabákovci,NULL
JuwDKSHdYOM,rent,"3-room apartment",57,"fully renovated","okres Čadca",Čadca,Centrum,1970
JuKE1haIfBQ,rent,"1-room apartment",36,"new construction","okres Žilina",Žilina,"Staré mesto",NULL
Juf3UQk266Q,sale,"1-room apartment",36,"under construction","okres Martin",Sučany,Sučany,2025
JuiUg7kx_Xo,sale,"4-room apartment",79,"under construction","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,2025
JuX_Y10XQMs,sale,"holiday apartment",54,"new construction","okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina",2023
JuhdlIDH7jm,sale,"1-room apartment",30,"partially renovated","okres Martin",Martin,Podháj,NULL
JukH94BLOrl,rent,"1-room apartment",38,"partially renovated","okres Martin",Turany,Turany,1984
JuiXegD6ESI,sale,"3-room apartment",63,unrenovated,"okres Dolný Kubín","Dolný Kubín","Veľký Bysterec",1988
Ju-U6VvTf4d,sale,"3-room apartment",65,unrenovated,"okres Martin",Martin,Stred,1960
Ju_P4weQ1yi,rent,"3-room apartment",72,"partially renovated","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto",NULL
Ju4jUNHrCaa,rent,"2-room apartment",37,"fully renovated","okres Žilina",Žilina,Hliny,1984
JuRDmAO0N5y,sale,"2-room apartment",48,"under construction","okres Ružomberok",Ružomberok,Roveň,2025
JuOLPMJrkFk,sale,"3-room apartment",93,"partially renovated","okres Žilina",Žilina,"Staré mesto",1970
JueFBhJMkEL,rent,"studio apartment",26,"fully renovated","okres Čadca",Čadca,Žarec,1978
JuiowNIBmX1,rent,"3-room apartment",74,"partially renovated","okres Čadca",Čadca,Kyčerka,NULL
Ju1swh97q_w,sale,"2-room apartment",62,"new construction","okres Liptovský Mikuláš","Liptovský Ján","Liptovský Ján",2019
JuJjSbvP3y1,sale,"2-room apartment",54,"under construction","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,2025
JueVg_uFAEX,sale,"3-room apartment",68,"partially renovated","okres Martin",Martin,Záturčie,1987
JubLUnnldKg,sale,"2-room apartment",70,"new construction","okres Martin",Martin,Ľadoveň,2017
JuNlpRocmfd,sale,"3-room apartment",82,"partially renovated","okres Martin",Martin,Stred,NULL
JujxzbLeFDf,sale,"2-room apartment",52,"new construction","okres Žilina","Rajecké Teplice","Rajecké Teplice",2024
Jut2p_8fnwk,sale,"3-room apartment",76,"fully renovated","okres Ružomberok",Ružomberok,Klačno,1988
JuZUmgJDVA2,sale,"4-room apartment",118,"new construction","okres Ružomberok",Ružomberok,"Staré mesto",NULL
JuIVoMRmHSz,sale,"1-room apartment",30,"partially renovated","okres Martin",Turany,Turany,1980
Ju7NnD-cxZu,sale,"4-room apartment",89,"partially renovated","okres Ružomberok",Ružomberok,Klačno,1980
JuLyRXzb7sF,sale,"holiday apartment",42,"fully renovated","okres Ružomberok",Bešeňová,Bešeňová,2025
JuFzCj_c-LQ,sale,"2-room apartment",65,"fully renovated","okres Žilina",Žilina,"Staré mesto",1980
JuuDv2Zd85o,sale,"3-room apartment",103,"new construction","okres Žilina",Žilina,Bôrik,2009
Ju5JJVitOH3,sale,"3-room apartment",60,"new construction","okres Tvrdošín",Trstená,Trstená,2024
Jue8OEdDtFX,sale,"2-room apartment",55,"development project","okres Ružomberok",Ružomberok,Baničné,2024
JusujBj0j9H,rent,"3-room apartment",80,"fully renovated","okres Žilina",Žilina,Vlčince,NULL
JuwJKqBh04b,sale,"2-room apartment",50,"fully renovated","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto",2008
JuMDiaehTE4,sale,"holiday apartment",71,"new construction","okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina",NULL
JuGTmonCdFp,sale,"2-room apartment",65,"fully renovated","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto",NULL
JucNmI_DO7B,sale,"holiday apartment",78,"fully renovated","okres Čadca",Oščadnica,Oščadnica,NULL
JultM3IWcXG,sale,"2-room apartment",98,"new construction","okres Liptovský Mikuláš","Liptovský Peter","Liptovský Peter",2018
JuZGQrt1Ff6m,sale,"2-room apartment",55,"fully renovated","okres Liptovský Mikuláš","Liptovský Mikuláš",Iľanovo,2025
Juwy9k5pZPS,sale,"holiday apartment",22,"new construction","okres Martin",Valča,Valča,NULL
Jux-AEYjDab,sale,"2-room apartment",52,"fully renovated","okres Žilina",Žilina,Solinky,NULL
JuuQ3yxLaqS,sale,"2-room apartment",66,"new construction","okres Ružomberok","Liptovská Teplá","Liptovská Teplá",2024
JuXUHfW6DDJ,sale,"2-room apartment",50,"partially renovated","okres Liptovský Mikuláš","Liptovský Hrádok",Prekážka,1900
Jup1HeEGFtW,sale,"1-room apartment",39,"new construction","okres Žilina",Žilina,Hájik,2025
JuCX2-0gKW3,sale,"4-room apartment",118,"fully renovated","okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová,2020
Ju1sYuOumZf,rent,"3-room apartment",NULL,"fully renovated","okres Ružomberok",Ružomberok,Klačno,NULL
JuAtADtbyIN,sale,"3-room apartment",78,"new construction","okres Žilina",Žilina,Budatín,2025
JupXiFdQKs1,rent,"3-room apartment",70,"partially renovated","okres Žilina",Žilina,Solinky,NULL
Jux885vgQgO,sale,"holiday apartment",44,"new construction","okres Liptovský Mikuláš","Liptovský Trnovec","Liptovský Trnovec",2024
JuIZkq9C4-v,sale,"2-room apartment",71,"under construction","okres Martin",Martin,Jahodníky,2024
Jus-du7SK4F,sale,"3-room apartment",67,"new construction","okres Žilina",Žilina,Bytčica,2025
JuqmAmZk9jG,sale,"1-room apartment",37,unrenovated,"okres Žilina",Žilina,Vlčince,2025
JuJF4572cY0,sale,"2-room apartment",56,"fully renovated","okres Martin",Martin,Sever,1962
JufKPFE3Y2M,sale,"2-room apartment",49,unrenovated,"okres Ružomberok","Liptovská Lúžna","Liptovská Lúžna",2001
JuQPXllO6ks,sale,"2-room apartment",47,"new construction","okres Žilina",Žilina,Hájik,2025
JuFnOWI1i1c,sale,"3-room apartment",500,"partially renovated","okres Turčianske Teplice",Jazernica,Jazernica,1980
JufGDO__GbO,sale,"4-room apartment",128,"new construction","okres Žilina",Žilina,"Staré mesto",2022
Jut7GOvY7Cs,rent,"3-room apartment",118,"new construction","okres Námestovo","Oravské Veselé","Oravské Veselé",2024
JuUusk-Q8GE,sale,"2-room apartment",43,"new construction","okres Žilina",Žilina,Bytčica,2025
JuucDO18CeY,rent,"3-room apartment",NULL,"fully renovated","okres Žilina",Žilina,Bôrik,NULL
JuBD3ecZzdA,sale,"2-room apartment",48,"new construction","okres Žilina",Žilina,Závodie,NULL
Juga_SyTI4R,sale,"2-room apartment",35,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Mara - Tatralandia",2020
Ju7kGUvVlwS,sale,"3-room apartment",80,unrenovated,"okres Liptovský Mikuláš","Partizánska Ľupča","Partizánska Ľupča",1969
JuCKdo4C-vu,sale,"3-room apartment",88,"new construction","okres Žilina",Žilina,Vlčince,2025
JuD_7kPVbjf,sale,"3-room apartment",74,"partially renovated","okres Žilina",Žilina,"Staré mesto",1980
JuxM7Oxk3ZF,sale,"3-room apartment",33,"new construction","okres Ružomberok","Liptovská Teplá","Liptovská Teplá",2024
JujtAMfUep-,sale,"4-room apartment",93,"fully renovated","okres Martin",Martin,Stred,NULL
JubYzTZOLz1,sale,"3-room apartment",90,"new construction","okres Žilina","Rajecké Teplice","Rajecké Teplice",2024
JuhBW328SAS,sale,"3-room apartment",67,"fully renovated","okres Martin",Vrútky,"Horné Vrútky",NULL
JuOr71wM3AE,sale,"2-room apartment",60,"fully renovated","okres Martin",Vrútky,"Horné Vrútky",2010
Juiqajk1kjr,sale,"2-room apartment",43,"new construction","okres Liptovský Mikuláš","Malé Borové","Malé Borové",NULL
Ju_N2iy5JWS,rent,"studio apartment",18,"fully renovated","okres Martin",Necpaly,Necpaly,2022
JuYWFp89fWK,sale,"3-room apartment",68,"partially renovated","okres Martin",Martin,Sever,1973
JuVCZnRxN5m,sale,"4-room apartment",121,"new construction","okres Liptovský Mikuláš","Liptovský Hrádok",Celiny,2023
JukxcpBCVX8,rent,"1-room apartment",29,"new construction","okres Žilina",Žilina,Vlčince,NULL
Ju-cA70OjPb,sale,"2-room apartment",35,"new construction","okres Liptovský Mikuláš","Liptovský Ján","Liptovský Ján",1980
Junbds6mBD4,sale,"3-room apartment",97,"under construction","okres Martin",Martin,Jahodníky,NULL
JuIhf4tExMf,sale,"3-room apartment",69,"partially renovated","okres Martin",Vrútky,"Horné Vrútky",1976
JuupBH8LvJz,sale,"2-room apartment",53,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová,2023
JuuqMAsXTsE,sale,"2-room apartment",46,"under construction","okres Martin",Sučany,Sučany,2025
JuqDuiRmYdZ,sale,"1-room apartment",37,unrenovated,"okres Žilina",Žilina,Vlčince,NULL
Ju-fM3SCXjma,sale,"3-room apartment",91,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto",2025
JuRhJZ24FBr,sale,"3-room apartment",78,"partially renovated","okres Ružomberok",Ľubochňa,Ľubochňa,NULL
JuH66opZMTi,sale,"3-room apartment",65,"partially renovated","okres Martin",Martin,Sever,1980
Jujvvp196-y,sale,"2-room apartment",52,"partially renovated","okres Žilina",Žilina,"Staré mesto",1980
JurBk73cOr3,sale,"holiday apartment",150,"new construction","okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina",2023
Ju42s8vNbRj,sale,"2-room apartment",62,"partially renovated","okres Martin",Vrútky,NULL,NULL
JuyD0Z9BTN-,rent,"2-room apartment",62,"fully renovated","okres Bytča",Bytča,"Veľká Bytča",2025
Ju9LPOOoAn-,rent,"3-room apartment",92,"fully renovated","okres Martin",Martin,Stred,2012
Ju1uEl1Mf6f,sale,"holiday apartment",37,unrenovated,"okres Ružomberok",Ružomberok,Hrabovo,NULL
Juq3cdm2VSm,rent,"2-room apartment",51,"fully renovated","okres Bytča",Bytča,"Veľká Bytča",2025
JuoeNbuLPVP,sale,"holiday apartment",94,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto",NULL
Ju7EPTNZ0Hy,sale,"3-room apartment",70,"partially renovated","okres Martin",Turany,Turany,1985
JuR8QLXp0Yx,sale,"3-room apartment",72,"partially renovated","okres Ružomberok",Ružomberok,Roveň,NULL
Ju_cu57wiSa,sale,"1-room apartment",35,unrenovated,"okres Martin",Martin,Priekopa,1980
JuQKd8tqljP,sale,"3-room apartment",80,unrenovated,"okres Martin",Martin,Záturčie,1985
Jum7aZZZlIy,rent,"1-room apartment",27,"fully renovated","okres Martin",Martin,Košúty,NULL
JujQYigyRBf,rent,"2-room apartment",63,"partially renovated","okres Martin",Martin,Sever,2025
Ju6nNzmPk_9,rent,"2-room apartment",53,"fully renovated","okres Bytča",Bytča,"Veľká Bytča",2025
JuVihEbzRbP,sale,"holiday apartment",66,"new construction","okres Ružomberok",Ružomberok,Hrabovo,NULL
Ju6oJmE8oWf,rent,"2-room apartment",56,"new construction","okres Čadca",Čadca,Centrum,NULL
JuKUZKmUiwu,sale,"4-room apartment",86,"under construction","okres Martin",Sučany,Sučany,2025
JunzJsFHg6A,sale,"4-room apartment",147,unrenovated,"okres Čadca",Čadca,Centrum,NULL
JuyxsUVgHii,sale,"4-room apartment",89,"fully renovated","okres Dolný Kubín","Dolný Kubín",Brezovec,1980
JuLIL3RkWDn,sale,"3-room apartment",90,"fully renovated","okres Martin",Martin,Priekopa,1975
JuUPsPRqomX,sale,"1-room apartment",39,unrenovated,"okres Námestovo",Námestovo,Brehy,NULL
JuXmK-edCSR,rent,"3-room apartment",74,"fully renovated","okres Bytča",Bytča,"Veľká Bytča",2025
JuURItmx0gz,rent,"2-room apartment",52,"new construction","okres Žilina",Terchová,Terchová,2024
Ju3ft9crnfA,sale,"3-room apartment",78,"fully renovated","okres Dolný Kubín","Dolný Kubín","Veľký Bysterec",1980
JuUveEvLKHX,sale,"studio apartment",20,"partially renovated","okres Martin",Vrútky,NULL,NULL
JuBNi2HSNwg,rent,"3-room apartment",90,"fully renovated","okres Martin",Martin,Ľadoveň,NULL
Ju9HXOkK5Vc,sale,"2-room apartment",67,"new construction","okres Čadca","Krásno nad Kysucou",Kalinov,2022
JuWN3KhPvB7,sale,"2-room apartment",60,"partially renovated","okres Čadca",Čadca,Centrum,1985
JuJGytVBKhB,rent,"2-room apartment",57,"fully renovated","okres Martin",Martin,Podháj,1956
JunoLrzCTv8,sale,"3-room apartment",85,"fully renovated","okres Čadca",Raková,Raková,NULL
JuxK_a_NiWB,sale,"2-room apartment",69,"fully renovated","okres Ružomberok",Ružomberok,Roveň,1970
JuvOboUvobu,sale,"3-room apartment",56,"new construction","okres Liptovský Mikuláš","Malé Borové","Malé Borové",NULL
Ju5YBv9ykGI,sale,"4-room apartment",87,"under construction","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,2025
JuUwCeqXqPl,sale,"3-room apartment",74,"new construction","okres Martin",Martin,Jahodníky,2025
JuaIL0ybcDR,rent,"3-room apartment",81,"fully renovated","okres Žilina",Žilina,"Staré mesto",1934
JuHMn6qkBSk,sale,"holiday apartment",93,"new construction","okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina",NULL
JubGyQoKm-F,rent,"2-room apartment",55,"partially renovated","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Nábrežie,NULL
JuZFqxjae7G,sale,"holiday apartment",37,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová,2021
JueQ0ot5J2r,sale,"3-room apartment",71,"partially renovated","okres Čadca",Čadca,Žarec,1975
Ju-sWIMoFGT,sale,"1-room apartment",NULL,unrenovated,"okres Námestovo",Námestovo,Stred,NULL
JuMlNRioczT,rent,"3-room apartment",212,"partially renovated","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto",NULL
Ju7yQFu2G0Z,sale,"3-room apartment",67,"fully renovated","okres Martin",Vrútky,"Horné Vrútky",NULL
JudVZxPODEn,sale,"3-room apartment",70,"fully renovated","okres Žilina",Žilina,Solinky,1995
JuNPxF24aaA,sale,"4-room apartment",90,"fully renovated","okres Žilina",Žilina,Vlčince,1995
Juy6Dr8MOeS,sale,"4-room apartment",106,"fully renovated","okres Žilina",Žilina,Vlčince,NULL
Ju4RLACJEuN,sale,"4-room apartment",156,"fully renovated","okres Žilina",Žilina,Bôrik,NULL
JuIQ6bOnZsGz,sale,"3-room apartment",121,"fully renovated","okres Žilina",Žilina,"Staré mesto",NULL
JuIZo2BnWQa,sale,"holiday apartment",40,"new construction","okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina",NULL
JusjmbO9Bnp,sale,"2-room apartment",52,"new construction","okres Žilina",Gbeľany,Gbeľany,2018
Ju3_oCKPJ8H,sale,"3-room apartment",67,"partially renovated","okres Liptovský Mikuláš","Liptovský Peter","Liptovský Peter",1988
JuKy-dL9Ryo,rent,"2-room apartment",62,"new construction","okres Žilina",Žilina,Vlčince,2025
JuR0t0CZHt8,rent,"2-room apartment",66,"partially renovated","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto",2010
JuhcvPxM513,sale,"4-room apartment",78,"fully renovated","okres Námestovo",Námestovo,NULL,1980
JunH7oZsc9z,sale,"1-room apartment",47,"new construction","okres Žilina",Žilina,Vlčince,2024
JuyBFHxJEo2F,rent,"2-room apartment",36,"partially renovated","okres Čadca",Čadca,Centrum,1975
JuUknu_3A4k,sale,"2-room apartment",54,"partially renovated","okres Žilina",Žilina,"Staré mesto",NULL
Ju7faBpvibU,sale,"3-room apartment",61,"fully renovated","okres Martin",Martin,Záturčie,NULL
JuUS8gVE7MB,sale,"2-room apartment",67,"partially renovated","okres Čadca",Čadca,Žarec,1988
JuS8GjjsXwr,sale,"holiday apartment",23,"fully renovated","okres Martin",Valča,Valča,2020
