property_type,condition,location_district,gen_count,gen_avg_price,dis_count,dis_avg_price,price_diff
"studio apartment",unrenovated,"okres Liptovský Mikuláš",4,3037.586667,1,2952.760000,-2.7925677947
"4-room apartment","development project","okres Žilina",5,3955.702000,4,4174.330000,5.5269077398
"other apartment type",unrenovated,"okres Žilina",2,2888.370000,1,726.740000,-74.8390960992
"2-room apartment","development project","okres Ružomberok",9,3654.186250,4,2706.292500,-25.9399408008
"3-room apartment","development project","okres Ružomberok",3,2359.596667,2,1725.015000,-26.8936499138
"2-room apartment","under construction","okres Kysucké Nové Mesto",25,3072.047727,3,3120.960000,1.5921716505
"5+ room apartment",unrenovated,"okres Žilina",2,1509.125000,1,1611.110000,6.7578895055
"5+ room apartment",unrenovated,"okres Martin",2,1509.125000,1,1407.140000,-6.7578895055
"3-room apartment","partially renovated","okres Tvrdošín",121,2016.158090,1,2149.100000,6.5938237016
"4-room apartment","partially renovated","okres Kysucké Nové Mesto",27,2030.536667,2,1735.425000,-14.5336783027
"2-room apartment","partially renovated","okres Dolný Kubín",67,2358.305690,1,NULL,NULL
"4-room apartment",unrenovated,"okres Tvrdošín",12,1876.870000,1,1752.940000,-6.6030145934
"4-room apartment","fully renovated","okres Dolný Kubín",40,2351.017179,2,2287.120000,-2.7178524926
"studio apartment","new construction","okres Liptovský Mikuláš",8,3284.020000,3,3370.863333,2.6444215626
"studio apartment","partially renovated","okres Ružomberok",7,2914.662000,1,1003.710000,-65.5634169588
"3-room apartment",unrenovated,"okres Ružomberok",68,1900.298036,3,1637.220000,-13.8440408302
"1-room apartment",unrenovated,"okres Martin",11,2780.075000,2,2633.330000,-5.2784547179
"holiday apartment","fully renovated","okres Liptovský Mikuláš",18,3390.796875,3,3384.775000,-0.1775946841
"2-room apartment","fully renovated","okres Námestovo",99,2597.321264,1,2111.700000,-18.6970041300
"holiday apartment",unrenovated,"okres Ružomberok",6,3556.341667,3,3371.286667,-5.2035214085
"4-room apartment","fully renovated","okres Kysucké Nové Mesto",40,2351.017179,2,1693.190000,-27.9805347607
"1-room apartment",unrenovated,"okres Žilina",11,2780.075000,4,3173.545000,14.1532152910
"1-room apartment","under construction","okres Martin",8,2954.628571,1,2892.360000,-2.1074923465
"4-room apartment","new construction","okres Ružomberok",38,2797.552667,2,2482.890000,-11.2477834899
"4-room apartment","partially renovated","okres Ružomberok",27,2030.536667,2,1890.550000,-6.8940723541
"4-room apartment","fully renovated","okres Liptovský Mikuláš",40,2351.017179,4,2814.925000,19.7322174055
"4-room apartment","under construction","okres Martin",18,2779.408889,1,2542.520000,-8.5229953008
"4-room apartment",unrenovated,"okres Čadca",12,1876.870000,1,1517.010000,-19.1734110514
"studio apartment","partially renovated","okres Martin",7,2914.662000,1,3750.000000,28.6598583301
"1-room apartment","fully renovated","okres Čadca",20,2915.345556,1,2796.610000,-4.0727781225
"4-room apartment","partially renovated","okres Liptovský Mikuláš",27,2030.536667,2,1758.930000,-13.3761025553
"studio apartment","new construction","okres Žilina",8,3284.020000,2,4720.000000,43.7262866852
maisonette,"new construction","okres Žilina",3,2384.420000,1,NULL,NULL
"3-room apartment","under construction","okres Liptovský Mikuláš",24,2895.789524,4,3442.430000,18.8770789959
"studio apartment","partially renovated","okres Čadca",7,2914.662000,1,NULL,NULL
"1-room apartment","partially renovated","okres Dolný Kubín",20,2834.321111,1,2291.670000,-19.1457174310
"holiday apartment","new construction","okres Žilina",93,4666.350909,2,3809.015000,-18.3727269063
"2-room apartment",unrenovated,"okres Dolný Kubín",35,2167.317353,3,2106.426667,-2.8094956152
"4-room apartment","under construction","okres Žilina",18,2779.408889,3,2200.266667,-20.8368845725
"studio apartment","new construction","okres Bytča",8,3284.020000,1,2343.750000,-28.6316770300
maisonette,"fully renovated","okres Čadca",1,NULL,1,NULL,NULL
"1-room apartment","development project","okres Žilina",1,4008.410000,1,4008.410000,0.0000000000
