offer_id,property_type,area,price_m2,condition,position,floor,elevator,built_in,energy_certificate,north,south,east,west,location_district,location_city,location_area,agency,office_city
JuTc88Wux9w,"2-room apartment",56,2017.86,"fully renovated","upper floor",3,NULL,1968,"not available",NULL,NULL,NULL,NULL,"okres Ružomberok",Ružomberok,Polík,"GARANT REALITY",Ružomberok
Ju-cD3Eglt7,"2-room apartment",48,2354.82,"under construction","upper floor",2,yes,2025,"not available",yes,NULL,NULL,yes,"okres Liptovský Mikuláš",Východná,Východná,"REALITY TATRY",Levoča
Jua8nBfq4pP,"4-room apartment",91,2065.93,"fully renovated","ground floor",1,NULL,1995,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Strečno,Strečno,"Realitná kancelária RED, s.r.o.",Žilina
Ju5Yoj_C-t-,"2-room apartment",56,2946.43,"new construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Martin",Martin,Stred,NULL,NULL
Ju0FWK0oDmX,"1-room apartment",36,3931.19,"under construction",NULL,NULL,NULL,2025,A,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Hájik,"Reality Alpia",Martin
JucrRlUBTDv,"3-room apartment",75,NULL,"fully renovated","top floor",7,NULL,1970,"not available",NULL,NULL,NULL,NULL,"okres Čadca","Krásno nad Kysucou",NULL,"SLNOVRAT, s.r.o.",Olešná
JuXll0okDmg,"2-room apartment",52,4653.85,"new construction","ground floor",1,NULL,2025,A,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Bôrik,"Realitná kancelária RED, s.r.o.",Žilina
Ju8oShU9enl,"4-room apartment",84,1903.57,"partially renovated","upper floor",4,NULL,1975,B,NULL,NULL,NULL,NULL,"okres Bytča",Bytča,"Veľká Bytča","HALO reality, s.r.o.",Prievidza
JuOobPaFHGD,"2-room apartment",47,NULL,"new construction","top floor",5,yes,NULL,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Kunerad,Kunerad,"JKV REAL",Prievidza
Ju6hdfe5kDA,"holiday apartment",51,10451.26,"under construction","upper floor",5,yes,2025,A,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina","Tatry mountain resorts, a.s.","Liptovský Mikuláš"
JukheJ1B1aD,"2-room apartment",76,5986.84,"new construction","upper floor",7,yes,NULL,A,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina","RESIDENCE realitná kancelária","Liptovský Mikuláš"
JuXvJNkXrX-,"holiday apartment",44,4291.85,"new construction","ground floor",1,NULL,2022,"not available",NULL,NULL,yes,yes,"okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina","Reality Now",Bratislava
JuARmayf-nL,"2-room apartment",62,NULL,"partially renovated",NULL,NULL,NULL,2025,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Hliny,"Reality Alpia",Martin
JueWH91Qt062,"holiday apartment",32,3093.75,"new construction","upper floor",2,NULL,2010,"not available",NULL,NULL,NULL,NULL,"okres Ružomberok",Ružomberok,Hrabovo,"DOMUM realitná spoločnosť s. r. o.","Nové Mesto nad Váhom"
JuaBQ-omPcs,"studio apartment",25,3080.00,unrenovated,"upper floor",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Martin",Martin,Sever,"Realitná kancelária",Bratislava
JuKfjwtr3uv,"3-room apartment",43,NULL,"fully renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Dolný Kubín",Leštiny,Leštiny,"FINREA - ak vám záleží na výsledku","Dolný Kubín"
JuBgCxlwRO1,"3-room apartment",78,2397.44,unrenovated,"ground floor",1,NULL,2007,"in preparation",NULL,NULL,NULL,NULL,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,"Pro Real, s. r. o. realitná kancelária",Žilina
Juq8SVDOmLX,"2-room apartment",48,3208.33,"partially renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Solinky,NULL,NULL
Ju8f4W9RYX2,"holiday apartment",41,5634.15,"new construction","ground floor",1,NULL,2025,A,NULL,yes,NULL,yes,"okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina","Tatra Invest",Podtureň
JuUrbdc3pDN,"2-room apartment",69,2413.75,"new construction","upper floor",2,NULL,2023,A,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Hrádok",Celiny,"RK SPIRIT s.r.o.","Liptovský Mikuláš"
JucfuBBHTMn,"1-room apartment",36,2277.78,"fully renovated","upper floor",2,NULL,1900,"not available",NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto","KA Real","Banská Bystrica"
JuDyAq3LxaR,"2-room apartment",56,2053.57,unrenovated,"ground floor",1,NULL,1969,NULL,NULL,NULL,NULL,NULL,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko,"Realitná kancelária RED, s.r.o.",Žilina
JuPoZE57z5D,"4-room apartment",123,2430.89,"fully renovated","upper floor",4,yes,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Vlčince,"RK4 REALITY",Bratislava
JuQ010q_mPp,"studio apartment",25,4719.60,"fully renovated","raised ground floor",1,NULL,1976,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Hliny,"House Real Žilina",Žilina
Ju2W2fwASSP,"3-room apartment",87,3049.48,"new construction",NULL,NULL,NULL,2025,"not available",NULL,NULL,NULL,NULL,"okres Dolný Kubín","Dolný Kubín",Brezovec,"TUreality s.r.o.",Žilina
Jun4cFPr-JJ,"2-room apartment",52,3212.07,"new construction","top floor",5,yes,2007,B,NULL,yes,yes,NULL,"okres Žilina",Žilina,Závodie,"R2 SK, s.r.o.",Žilina
JuU41-eIe2m,"4-room apartment",77,2905.85,"under construction","upper floor",3,yes,2025,A,NULL,yes,NULL,yes,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,"Istrofinal, s. r. o.",Žilina
JuC7FB5n3i0,"1-room apartment",32,2918.75,"new construction","top floor",3,yes,2024,A,NULL,NULL,NULL,NULL,"okres Tvrdošín",Trstená,Trstená,"RK SPIRIT s.r.o.","Liptovský Mikuláš"
JuL2CqQ6bTm,"2-room apartment",55,1617.27,"partially renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Čadca",Turzovka,Stred,"BeMi realitná kancelária",Nitra
JudWcaYczoj,"studio apartment",25,2952.76,unrenovated,"upper floor",3,yes,NULL,NULL,NULL,NULL,yes,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto","RESIDENCE realitná kancelária","Liptovský Mikuláš"
JuTaGlgOIm6,"4-room apartment",120,NULL,"new construction","top floor",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina","Occam New Home",Bratislava
JuF5BDGmyHN,"2-room apartment",69,2693.36,"under construction","upper floor",2,yes,2024,A,NULL,yes,yes,NULL,"okres Martin",Martin,Jahodníky,"CANGURU s.r.o.","Rajecké Teplice"
Ju-q6Oh2szF,"3-room apartment",60,2491.67,"new construction","top floor",5,NULL,2024,"not available",NULL,NULL,NULL,NULL,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko,"Realitná kancelária DOM",Žilina
Ju4T4al4Vz1,"2-room apartment",70,2704.71,"under construction","upper floor",3,yes,NULL,A,yes,NULL,NULL,yes,"okres Martin",Martin,Jahodníky,"CANGURU s.r.o.","Rajecké Teplice"
JuU5AQijDSV,"2-room apartment",44,3937.73,"new construction","ground floor",1,NULL,2025,A,yes,NULL,yes,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto",G-REAL,"Liptovský Mikuláš"
JuMBGx19jQm,"2-room apartment",55,2727.09,"fully renovated","upper floor",3,NULL,1900,"not available",NULL,NULL,NULL,NULL,"okres Martin",Martin,Stred,"RE/MAX Slovakia",Bratislava
JuhxKlECA3G,"4-room apartment",86,2677.02,"under construction","top floor",8,NULL,2025,A,NULL,NULL,NULL,NULL,"okres Ružomberok",Ružomberok,Roveň,"ODEKO manažment s.r.o.",Žilina
Ju9BdsvYTHj,"4-room apartment",100,5654.99,"development project","top floor",5,NULL,2026,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto","Teraz, a.s.",Žilina
Ju6Co8ebtz8,"4-room apartment",131,2557.25,"new construction","top floor",NULL,NULL,2011,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Hájik,"B10 Slovensko, a. s.",Žilina
Ju0fvkzNIT_,"3-room apartment",212,1792.45,"partially renovated",attic,6,yes,NULL,"not available",NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto","RESIDENCE realitná kancelária","Liptovský Mikuláš"
Ju4lV1--VGV,"3-room apartment",93,3361.88,"fully renovated","top floor",4,yes,1970,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto","Realitka pre každého",Žilina
JuuN3hIqf_p,"2-room apartment",61,2049.18,unrenovated,"upper floor",6,NULL,1986,"in preparation",NULL,NULL,yes,yes,"okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny,"OVERENÉ REALITY","Banská Bystrica"
Jug3tmEab8dn,"3-room apartment",65,2261.54,"fully renovated",NULL,NULL,NULL,1980,"not available",NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny,"TUreality s.r.o.",Žilina
Ju0wXtJ_miO,"3-room apartment",82,4024.39,"new construction","top floor",3,NULL,2020,A,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Mara - Tatralandia","Prvá Realitná Kancelária, s.r.o.",Bratislava
JuGN2-1NoX2,"2-room apartment",52,4056.31,"new construction","upper floor",4,yes,2025,A,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Vlčince,"Reinoo a.s.",Žilina
Ju_mj9AejcW,"3-room apartment",82,NULL,"partially renovated",attic,NULL,NULL,NULL,"not available",NULL,NULL,yes,NULL,"okres Martin",Martin,Priekopa,"RECLOUD Reality a.s.",Bratislava
Jul4sW3x805,"other apartment type",172,726.74,unrenovated,NULL,NULL,NULL,NULL,"not available",NULL,yes,yes,NULL,"okres Žilina",Žilina,"Staré mesto","WFG reality, s.r.o.",Žilina
Ju-1tp0yEDG,"3-room apartment",72,1527.78,"partially renovated","ground floor",1,yes,NULL,NULL,NULL,NULL,NULL,NULL,"okres Martin",Martin,Stred,"FINREA - ak vám záleží na výsledku","Dolný Kubín"
JuDeBuW3pN0,"3-room apartment",74,2669.46,"new construction","upper floor",2,yes,2025,A,NULL,NULL,NULL,NULL,"okres Martin",Martin,Jahodníky,"Buby reality, s.r.o.",Žilina
JuDjC6lbUrb,"2-room apartment",54,2740.92,"development project","upper floor",2,yes,2024,A,NULL,NULL,NULL,yes,"okres Ružomberok",Ružomberok,Baničné,"ODEKO manažment s.r.o.",Žilina
JukiyEnJ5hw,"4-room apartment",115,1956.52,"fully renovated","top floor",4,NULL,2006,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Hliny,"Realitná kancelária RED, s.r.o.",Žilina
Ju35wiOj2hS,"3-room apartment",88,2872.24,"new construction","upper floor",2,yes,2025,A,yes,yes,yes,yes,"okres Žilina",Žilina,Vlčince,"Reinoo a.s.",Žilina
JuIYGEaJFQ7,"2-room apartment",42,4500.00,"new construction","ground floor",1,NULL,2014,B,NULL,yes,NULL,yes,"okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina",G-REAL,"Liptovský Mikuláš"
JuK5fZIIPNG,"3-room apartment",80,2875.00,unrenovated,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Dolný Kubín","Dolný Kubín",Brezovec,NULL,NULL
JuFG7fBeyGR,"3-room apartment",69,NULL,"fully renovated","upper floor",NULL,NULL,1970,NULL,NULL,NULL,NULL,NULL,"okres Martin",Martin,Ľadoveň,"B10 Slovensko, a. s.",Žilina
JuKfm2wXtCP,"2-room apartment",41,4050.00,"new construction","ground floor",NULL,NULL,2024,NULL,NULL,NULL,NULL,NULL,"okres Žilina","Rajecké Teplice","Rajecké Teplice","B10 Slovensko, a. s.",Žilina
JufWdbgp6A3,"3-room apartment",102,1960.78,"new construction","raised ground floor",4,NULL,2025,A,NULL,NULL,NULL,NULL,"okres Martin",Martin,Stred,"TARGETreal s. r. o.",Žilina
Ju5fikmM7T5,"3-room apartment",75,NULL,"fully renovated","ground floor",1,NULL,2023,A,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto","RK SPIRIT s.r.o.","Liptovský Mikuláš"
JuGV5aus1Gq,"3-room apartment",72,1943.06,unrenovated,"upper floor",10,yes,1981,"not available",NULL,NULL,NULL,NULL,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,"WFG reality, s.r.o.",Žilina
JuTVD1EJqzO,"2-room apartment",44,2909.63,"under construction","upper floor",2,NULL,2025,A,NULL,NULL,NULL,NULL,"okres Martin",Martin,Záturčie,"BENCONT DEVELOPMENT, a.s.",Bratislava
JuH7sCfx0Xw,"2-room apartment",53,1803.71,"fully renovated","ground floor",1,NULL,2024,"in preparation",NULL,NULL,NULL,NULL,"okres Čadca",Staškov,Staškov,"SLNOVRAT, s.r.o.",Olešná
Jux9NoUYkfu,"3-room apartment",89,1951.25,"development project","ground floor",1,yes,2024,A,yes,NULL,yes,NULL,"okres Ružomberok",Ružomberok,Baničné,"ODEKO manažment s.r.o.",Žilina
JuEE_KosY1x,"2-room apartment",86,2732.56,"new construction","upper floor",4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto","Realitné kancelárie SR",Bratislava
JuYp1Zctty0,"2-room apartment",56,1875.00,"partially renovated",NULL,NULL,NULL,2025,"not available",NULL,yes,NULL,yes,"okres Martin",Turany,Turany,"Reality Alpia",Martin
Juwpt8fo8iw,"3-room apartment",64,2062.50,unrenovated,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Martin",Martin,Sever,"KARIN & PARTNERS, s.r.o.",Bratislava
Jut7vhqlQ5I,"2-room apartment",57,1928.07,unrenovated,"top floor",2,NULL,1957,"not available",yes,NULL,NULL,NULL,"okres Martin",Lipovec,Lipovec,"Like Reality s.r.o.","Považská Bystrica"
JubDyUATEXA,"4-room apartment",85,NULL,"partially renovated","upper floor",5,yes,2025,"not available",NULL,NULL,NULL,NULL,"okres Martin",Martin,Priekopa,"Reality D.P.A.",Martin
JuqdVslmKGx,"2-room apartment",55,2727.27,"under construction","raised ground floor",4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Martin",Martin,Sever,"Realitné kancelárie SR",Bratislava
Ju1AWDIaxaK,"3-room apartment",85,NULL,"under construction","upper floor",3,yes,2025,"in preparation",NULL,NULL,NULL,NULL,"okres Ružomberok",Ružomberok,Roveň,"RK SPIRIT s.r.o.","Liptovský Mikuláš"
JuFQj_B37XO,"2-room apartment",45,3222.22,"partially renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto","ROMDOM, s. r. o",Žilina
JuRxO-wu66d,"4-room apartment",83,2500.00,"fully renovated","upper floor",7,yes,1976,B,yes,yes,yes,yes,"okres Žilina",Žilina,Vlčince,"LAVENTURA s.r.o.",Žilina
Juq924pqMXb,"3-room apartment",86,1685.20,"partially renovated","raised ground floor",NULL,NULL,NULL,NULL,NULL,yes,NULL,yes,"okres Žilina","Horný Hričov","Horný Hričov","Buby reality, s.r.o.",Žilina
JuEVkw9ddDA,"3-room apartment",76,1820.32,"partially renovated","top floor",4,NULL,1990,"not available",NULL,NULL,NULL,NULL,"okres Martin",Martin,Stred,"Reality ASTORIA, s.r.o.",Martin
JumX8n0CV3C,"1-room apartment",39,3611.20,"under construction","upper floor",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Hájik,"Realitná kancelária",Bratislava
JuHfT6EkWLg,"2-room apartment",53,3737.83,"fully renovated","top floor",5,yes,2018,A,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Vrbica - Nábrežie","J.M.H. s.r.o.","Liptovský Hrádok"
JucNvh6xi3X,"4-room apartment",113,3802.29,"development project","upper floor",2,yes,2022,A,NULL,yes,yes,NULL,"okres Žilina",Žilina,"Staré mesto","KORSO Project, s.r.o.",Žilina
Jujveqa78vA,"3-room apartment",78,2410.26,"fully renovated","upper floor",2,NULL,1960,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto","ŽILINAREAL, s.r.o.",Žilina
JuSTaf-asxr,"3-room apartment",61,2129.51,unrenovated,"upper floor",5,yes,1900,B,NULL,yes,NULL,yes,"okres Liptovský Mikuláš","Liptovský Hrádok",Prekážka,"HALO reality, s.r.o.",Prievidza
JujKiw_LZU1,"3-room apartment",78,1535.48,unrenovated,"ground floor",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Kysucké Nové Mesto","Horný Vadičov","Horný Vadičov","RK4 REALITY",Bratislava
JueIY5hIK7c,"3-room apartment",74,3631.29,"new construction","upper floor",4,NULL,2025,A,yes,yes,yes,yes,"okres Žilina",Žilina,Vlčince,"Reinoo a.s.",Žilina
JubxOFYENrS,"holiday apartment",57,2738.52,"new construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš",Smrečany,Smrečany,"Pegas real s.r.o.",Bratislava
Julrxc4m4jW,"2-room apartment",50,3539.80,"fully renovated",NULL,NULL,NULL,NULL,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Solinky,"MGM reality",Žilina
Jugmk_Ze8Rz,"3-room apartment",75,2386.67,"fully renovated","top floor",4,NULL,2000,"not available",NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Vrbica - Nábrežie","OVERENÉ REALITY","Banská Bystrica"
Ju3RyhBnxqn,"3-room apartment",77,6428.57,"new construction","ground floor",1,NULL,2020,"not available",NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina","DLUGO reality",Poprad
Ju7JTdVZY88,"4-room apartment",77,2892.94,"under construction","upper floor",2,yes,2025,A,NULL,yes,NULL,yes,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,"Istrofinal, s. r. o.",Žilina
Juacbmz9XNp,"2-room apartment",68,1925.93,"fully renovated","upper floor",3,yes,2025,"not available",NULL,NULL,NULL,NULL,"okres Ružomberok",Ružomberok,Roveň,"Reality Alpia",Martin
JuWeCQ_05jp,"holiday apartment",175,NULL,"new construction","upper floor",7,yes,NULL,A,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina","RESIDENCE realitná kancelária","Liptovský Mikuláš"
Ju7dMBplPsC,"2-room apartment",54,3120.96,"under construction","upper floor",2,yes,2025,A,NULL,yes,NULL,yes,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,"Istrofinal, s. r. o.",Žilina
JuEJsd-IFWc,"2-room apartment",51,3934.15,"under construction","upper floor",3,yes,2027,A,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto","TATRA CITY RESIDENCE s. r. o.",Zvolen
Jus-41FaUT-,"2-room apartment",48,2768.75,"fully renovated","upper floor",6,yes,1980,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto","Safe reality s. r. o.",Žilina
Jugd0CIH9AR,"3-room apartment",123,NULL,"new construction","upper floor",4,NULL,2025,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Hliny,"MGM reality",Žilina
JuULfuWRHXy,"2-room apartment",74,1270.27,unrenovated,"upper floor",3,NULL,1977,"not available",NULL,NULL,NULL,NULL,"okres Martin",Turany,Turany,"Reality D.P.A.",Martin
JuG0SlTwzlu,"4-room apartment",138,NULL,"new construction","upper floor",4,NULL,2025,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Hliny,"MGM reality",Žilina
JuzhJPXxvIr,"2-room apartment",665,NULL,"new construction","ground floor",1,NULL,2026,A,NULL,NULL,NULL,NULL,"okres Martin",Martin,Tomčany,"Reality AK, spol. s r.o.",Martin
Ju3GPN81c0G6,"5+ room apartment",180,1611.11,unrenovated,"top floor",4,NULL,2002,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto","Realitná kancelária DOM",Žilina
JupEyEEjkVM,"3-room apartment",69,2549.28,"fully renovated","upper floor",6,yes,2005,A,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Vlčince,"Jacek reality s. r. o.","Považská Bystrica"
Juo3yMu_z5E,"5+ room apartment",140,1407.14,unrenovated,NULL,NULL,NULL,NULL,C,NULL,NULL,NULL,NULL,"okres Martin",Martin,Stred,"RS Mansory s.r.o.",Bratislava
JueaMJQ3i3k,"3-room apartment",67,2149.10,"partially renovated",NULL,NULL,NULL,1980,"not available",NULL,NULL,NULL,NULL,"okres Tvrdošín",Tvrdošín,Medvedzie,"TUreality s.r.o.",Žilina
JukApNg-M8K,"3-room apartment",83,3674.58,"fully renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Malá Praha",NULL,NULL
Ju9y0Y4mbAj,"3-room apartment",85,NULL,"fully renovated","ground floor",1,NULL,2015,A,NULL,NULL,NULL,NULL,"okres Martin",Vrútky,"Horné Vrútky","GRAVITAS a. s.",Bratislava
JuLuLPY-Qsq,"2-room apartment",71,2309.43,"new construction","ground floor",1,yes,2025,A,NULL,NULL,NULL,NULL,"okres Martin",Martin,Stred,"Buby reality, s.r.o.",Žilina
JuMLTI5Qk7o,"holiday apartment",72,3180.56,"new construction","ground floor",1,NULL,2022,A,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina","MK-CORP s.r.o.",Malacky
JuRdtZI3MuC,"2-room apartment",50,NULL,"new construction","upper floor",3,NULL,2024,A,NULL,NULL,NULL,yes,"okres Liptovský Mikuláš",Ľubeľa,Ľubeľa,G-REAL,"Liptovský Mikuláš"
Ju5ImCNB76o,"4-room apartment",78,1923.06,"partially renovated",NULL,NULL,NULL,2017,"not available",NULL,NULL,NULL,NULL,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,"MGM reality",Žilina
Juxpt8YRG2_,"3-room apartment",73,1854.40,"partially renovated","top floor",8,yes,2025,"not available",NULL,NULL,NULL,NULL,"okres Ružomberok",Ružomberok,Baničné,"Reality Alpia",Martin
Ju4y_fscQPu,"3-room apartment",85,1645.88,"fully renovated","ground floor",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Martin",Vrútky,"Horné Vrútky","FINREA - ak vám záleží na výsledku","Dolný Kubín"
Juso4TLY6UW,"2-room apartment",50,2400.00,"fully renovated","top floor",7,yes,NULL,NULL,NULL,NULL,NULL,NULL,"okres Martin",Martin,Košúty,"FINREA - ak vám záleží na výsledku","Dolný Kubín"
JukGyJ3rkzi,"3-room apartment",73,NULL,"partially renovated","upper floor",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Čadca",Čadca,Kyčerka,"Realitná kancelária",Bratislava
JueH_k99MSI,"3-room apartment",71,NULL,"partially renovated","top floor",2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto","RESIDENCE realitná kancelária","Liptovský Mikuláš"
JuVD_m1Cal89,"2-room apartment",55,NULL,"partially renovated","ground floor",1,NULL,NULL,C,NULL,NULL,NULL,NULL,"okres Dolný Kubín",Istebné,Istebné,"FINREA - ak vám záleží na výsledku","Dolný Kubín"
Juh1ajbcNdb,"3-room apartment",68,1801.47,unrenovated,"top floor",4,NULL,1970,NULL,NULL,NULL,NULL,NULL,"okres Martin",Martin,Ľadoveň,"Realitná kancelária",Bratislava
JulVwlSvctK,"2-room apartment",60,4000.00,"new construction","upper floor",2,NULL,2020,A,NULL,NULL,NULL,yes,"okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Mara - Tatralandia","Prvá Realitná Kancelária, s.r.o.",Bratislava
JuSBcLlOavm,"2-room apartment",50,3599.98,"new construction","top floor",4,yes,2018,A,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Hájik,"RIEŠIME BÝVANIE",Bratislava
JufTJtipeK4,"3-room apartment",65,2510.77,"fully renovated","upper floor",5,NULL,1984,"not available",NULL,NULL,NULL,NULL,"okres Martin",Martin,Ľadoveň,"Felicita Real s. r. o.",Martin
JuauRurLCyp,"2-room apartment",49,2924.49,"partially renovated","upper floor",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Hájik,"Realitné kancelárie SR",Bratislava
Ju3sbzAOfWW,"4-room apartment",81,1666.54,"partially renovated","top floor",NULL,NULL,1978,NULL,NULL,NULL,NULL,NULL,"okres Bytča","Veľké Rovné","Veľké Rovné","B10 Slovensko, a. s.",Žilina
Ju9DwSC6oJu,"2-room apartment",70,2142.86,"fully renovated","upper floor",2,NULL,1959,"not available",NULL,NULL,NULL,NULL,"okres Ružomberok",Ružomberok,Polík,"RK Dalmia s. r. o.","Dolný Kubín"
Ju1eGXbZzUb,"3-room apartment",60,2498.33,unrenovated,"upper floor",3,yes,1980,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Vlčince,"Wealth Group, s.r.o.","Nová Dedinka"
JuU7r63X4wA,"3-room apartment",70,2427.14,"fully renovated","upper floor",NULL,NULL,1978,A,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny,"AstonReal s.r.o.","Banská Bystrica"
JuwIRVaQL-Z,"2-room apartment",46,3878.26,"new construction","upper floor",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Fačkov,Fačkov,"Realitné kancelárie SR",Bratislava
JuZIrRq5Yby,"4-room apartment",85,1752.94,unrenovated,"ground floor",1,NULL,NULL,A,NULL,NULL,NULL,NULL,"okres Tvrdošín",Trstená,Trstená,"BeMi realitná kancelária",Nitra
Juzc7VOLXGcb,"3-room apartment",NULL,NULL,"fully renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Čadca",Raková,Raková,"RECLOUD Reality a.s.",Bratislava
Juh069sIM8t,"4-room apartment",99,2386.97,"new construction","ground floor",NULL,NULL,2023,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Závodie,"TUreality s.r.o.",Žilina
JuHNiSC8Wtj,"holiday apartment",41,3878.05,"new construction","raised ground floor",1,yes,2022,A,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina","J.M.H. s.r.o.","Liptovský Hrádok"
JuMvD_EgmbK,"3-room apartment",60,4150.00,"fully renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Hliny,"RIEŠIME BÝVANIE",Bratislava
Ju6MXg-E6En,"1-room apartment",38,3145.39,"new construction","ground floor",1,NULL,NULL,NULL,NULL,yes,yes,NULL,"okres Martin",Martin,Podháj,"Buby reality, s.r.o.",Žilina
JukVrVsK1ht,"3-room apartment",75,2932.00,"new construction","upper floor",5,NULL,2013,B,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Hájik,"Realitná kancelária RED, s.r.o.",Žilina
