property_type,condition,location_district,location_area,gen_count,gen_avg_price,area_count,dis_avg_price,price_diff
house,unrenovated,"okres Žilina",Porúbka,364,1025.187980,1,996.550000,-2.7934369656
house,"fully renovated","okres Ružomberok","Biely Potok",198,1549.545062,1,NULL,NULL
house,"new construction","okres Martin","Turčiansky Peter",340,2114.287185,8,2200.000000,4.0539816733
house,"partially renovated","okres Tvrdošín",Nižná,331,1370.453684,2,945.830000,-30.9841688893
house,"new construction","okres Dolný Kubín","Oravská Poruba",340,2114.287185,2,1898.165000,-10.2219881260
house,"fully renovated","okres Martin",Stred,198,1549.545062,6,2396.654000,54.6682351339
house,"new construction","okres Námestovo","Oravská Lesná",340,2114.287185,2,2491.725000,17.8517761295
house,unrenovated,"okres Ružomberok","Staré mesto",364,1025.187980,2,865.035000,-15.6218160108
house,"under construction","okres Turčianske Teplice",Budiš,51,1843.917727,1,1109.120000,-39.8498108804
house,unrenovated,"okres Žilina","Dolný Hričov",364,1025.187980,1,1280.000000,24.8551509549
house,"new construction","okres Turčianske Teplice","Malý Čepčín",340,2114.287185,1,273.210000,-87.0779143941
house,"new construction","okres Žilina",Bitarová,340,2114.287185,16,2321.286429,9.7904979734
house,"partially renovated","okres Martin",Stráne,331,1370.453684,9,825.555000,-39.7604596464
house,"new construction","okres Dolný Kubín",Párnica,340,2114.287185,1,536.910000,-74.6056257726
house,"fully renovated","okres Čadca",Oščadnica,198,1549.545062,4,1530.922500,-1.2018083537
house,"new construction","okres Kysucké Nové Mesto","Horný Vadičov",340,2114.287185,4,1825.460000,-13.6607357340
house,"new construction","okres Čadca","Nová Bystrica",340,2114.287185,1,1472.180000,-30.3699133001
house,"fully renovated","okres Martin","Turčianska Štiavnička",198,1549.545062,1,1811.110000,16.8801117447
house,"partially renovated","okres Martin",Sučany,331,1370.453684,7,821.814000,-40.0334349424
house,"new construction","okres Čadca","Stará Bystrica",340,2114.287185,2,NULL,NULL
house,"new construction","okres Ružomberok","Pod Skalami",340,2114.287185,1,1833.330000,-13.2885062632
