offer_id,agency,property_type,property_category,condition,location_district,location_area,agency_listings,district_listings,agency_price_m2,district_avg_price,price_index
JuKY6m4zwWy,"ROMDOM, s. r. o","standard plot",land,NULL,"okres Žilina","Teplička nad Váhom",1,2,267.18,315.470000,-0.1530731924
JuDPVSkdjbb,"Safe reality s. r. o.","standard plot",land,NULL,"okres Bytča",Kotešová,1,2,123.07,93.180000,0.3207769908
JuNyZWoxw0A,"TARGETreal s. r. o.","standard plot",land,NULL,"okres Martin","Turčiansky Peter",1,2,106.27,105.635000,0.0060112652
JuvJszhFBaP,"Real Reality Development s.r.o.","large plot",land,NULL,"okres Turčianske Teplice",Mošovce,1,2,45.19,53.590000,-0.1567456615
JuaAqZtT-Nl,"Reality ASTORIA, s.r.o.","standard plot",land,NULL,"okres Martin","Dolné Vrútky",1,2,113.00,108.295000,0.0434461425
JugiMieeEs_,"RECLOUD Reality a.s.","standard plot",land,NULL,"okres Martin","Dolné Vrútky",1,2,103.59,108.295000,-0.0434461425
JutbpFV_5ly,"Reality AK, spol. s r.o.","standard plot",land,NULL,"okres Martin",Lipovec,1,2,100.00,131.505000,-0.2395726398
JuWPMQs-4VM,"Real Reality Development s.r.o.","standard plot",land,NULL,"okres Martin",Lipovec,1,2,163.01,131.505000,0.2395726398
JuL88g5odPF,"1. Reality Rent, s.r.o.","large plot",land,NULL,"okres Čadca",Rieka,1,2,99.00,62.000000,0.5967741935
Jur2dnOd-h4,"SLNOVRAT, s.r.o.","large plot",land,NULL,"okres Čadca",Rieka,1,2,25.00,62.000000,-0.5967741935
Ju0fo_oieoh,"RECLOUD Reality a.s.","large plot",land,NULL,"okres Čadca",Korňa,1,2,24.91,24.455000,0.0186056021
JuaD2PNZ2ay,"1. Reality Rent, s.r.o.","large plot",land,NULL,"okres Čadca",Korňa,1,2,24.00,24.455000,-0.0186056021
JuCeJvEPD_0,"Real Estate Group4U","standard plot",land,NULL,"okres Žilina",Lietava,1,2,361.50,200.145000,0.8061905119
Ju7iSwFbAaJ,"RE/MAX Slovakia","standard plot",land,NULL,"okres Žilina",Lietava,1,2,38.79,200.145000,-0.8061905119
JuDEvr7ONsp,"RS Mansory s.r.o.","large plot",land,NULL,"okres Žilina","Dolný Hričov",1,2,85.00,80.000000,0.0625000000
JujdKV83oGm,"Realitné kancelárie SR","large plot",land,NULL,"okres Žilina","Dolný Hričov",1,2,75.00,80.000000,-0.0625000000
