house_no,actual_price_m2,predicted_price_m2
655,1353.57,1082.3
656,475.71,709.92
657,912.50,961.44
658,2330.00,1416.85
659,2079.90,2100.55
660,1139.24,2027.67
661,718.18,737.28
662,1223.08,1049.52
663,1533.33,1570.67
664,353.92,823.69
665,3500.00,1519.49
666,1998.67,1989.77
667,187.11,58.03
668,460.99,569.55
669,1215.69,943.52
670,1011.90,1179.99
671,230.29,53.96
672,916.67,1673.14
673,1662.50,1946.91
674,399.00,-174.45
675,0.00,1051.83
676,306.25,-226.86
677,1250.00,1001.27
678,861.11,806.68
679,861.11,759.57
680,2050.43,2098.96
681,484.38,446.98
682,1951.05,2206.26
683,1088.24,1238.03
684,668.27,659.36
685,1047.06,1024.74
686,329.41,932.16
687,2081.82,2147.44
688,933.33,1068.26
689,1218.75,585.2
690,566.67,902.75
691,1467.92,1322.06
692,532.92,626.48
693,656.00,1095.2
694,312.50,351.15
695,1666.67,949.38
696,998.00,755.61
697,1483.33,1517.93
698,2062.50,2051.13
699,2203.88,2099.08
700,1625.00,2359.46
701,1232.39,2195.1
702,3155.56,2655.21
703,1231.34,1202.54
704,276.67,156.75
705,660.00,993.75
706,1355.36,1390.66
707,977.80,1201.37
708,141.21,-253.29
709,1173.91,930.65
710,100.35,-347.14
711,3490.00,2630.3
712,1125.00,1537.12
713,933.33,781.42
714,1370.00,2086.94
715,1665.00,1670.36
716,479.60,644.99
717,1595.18,1603.44
718,687.50,1186.22
719,888.16,1340.09
720,1236.00,1180.16
721,540.94,435.69
722,561.88,706.96
723,1078.22,1664.07
724,1400.00,1135.21
725,1025.00,1528.37
726,214.29,1005.79
