offer_id,agency,property_type,property_category,condition,location_district,location_area,agency_listings,district_listings,agency_price_m2,district_avg_price,price_index,area_price_index,area_category
Jub25_ejcJA,"Nestor Capital s.r.o.","large house",house,"fully renovated","okres Čadca",Oščadnica,2,3,1895.42,1785.190000,0.0617469289,-0.2204248485,average
JuDgbTTsbUm,"Nestor Capital s.r.o.","large house",house,"fully renovated","okres Čadca",Oščadnica,2,3,1922.07,1785.190000,0.0766753119,-0.2204248485,average
Ju7FT7K1T9V,"Reality IQ, s.r.o.","large house",house,unrenovated,"okres Žilina",Svederník,1,2,961.47,1258.515000,-0.2360281761,0.2498052070,expensive
JuUrENnUrd4,"Reality Center, s.r.o.","standard house",house,unrenovated,"okres Martin","Turčiansky Peter",1,2,1625.00,1383.930000,0.1741923363,0.1415844401,expensive
JuVWSdPVacq,"RE/MAX Slovakia","large house",house,unrenovated,"okres Liptovský Mikuláš",Ľubeľa,1,2,931.25,767.785000,0.2129046543,-0.0759337989,average
JuNEJj6Bobe,"New Ways Reality&Financie","large house",house,unrenovated,"okres Liptovský Mikuláš",Ľubeľa,1,2,604.32,767.785000,-0.2129046543,-0.0759337989,average
JuSDor_pBw9,"Buby reality, s.r.o.","standard house",house,"new construction","okres Martin",Slovany,1,2,933.96,1620.825000,-0.4237749294,-0.1788322464,average
JuZgj6k1S7C,"TARGETreal s. r. o.","extra large house",house,"partially renovated","okres Martin",Stráne,1,2,718.10,596.790000,0.2032708323,-0.0089918347,average
Ju6pNzkI7kN,"Reality Alpia","extra large house",house,unrenovated,"okres Martin",Stráne,2,3,374.15,477.556667,-0.2165327680,-0.0089918347,average
JupsrE6Y27i,"Reality Alpia","extra large house",house,unrenovated,"okres Martin",Stráne,2,3,351.62,477.556667,-0.2637104153,-0.0089918347,average
JuEB6osELcj,"Romantické Chalupy, s.r.o.","standard house",house,"partially renovated","okres Turčianske Teplice",Sklené,1,2,1499.50,1543.280000,-0.0283681510,-0.1200984333,average
Jubpxb0JsTj,"Trioreality, s.r.o.","standard house",house,unrenovated,"okres Čadca",Klokočov,1,2,464.29,746.035000,-0.3776565443,-0.4236469874,cheap
Jucbi7PZEnm,"1. Reality Rent, s.r.o.","standard house",house,unrenovated,"okres Čadca",Klokočov,1,2,1027.78,746.035000,0.3776565443,-0.4236469874,cheap
Ju6dKyzXet6,"ŽILINAREAL, s.r.o.","standard house",house,"new construction","okres Žilina",Strážov,1,3,2053.44,2088.110000,-0.0166035314,0.0247320758,average
JuJRg0E5VNn,"ALT REAL, s.r.o.","standard house",house,"new construction","okres Martin",Valča,1,2,1857.14,2246.750000,-0.1734104818,-0.1600821041,average
JuU-CdEC7dE,"1. Reality Rent, s.r.o.","standard house",house,unrenovated,"okres Čadca",Svrčinovec,1,2,914.29,533.810000,0.7127629681,-0.5161943179,cheap
Juh02qpId7f,"HOLESTIAK.sk reality s.r.o.","large house",house,"partially renovated","okres Čadca",Rieka,1,2,861.11,861.110000,0.0000000000,-0.3545781653,cheap
JuZSCNK7v3l,"RIEŠIME BÝVANIE","large house",house,"fully renovated","okres Žilina","Staré mesto",1,2,2500.00,2025.545000,0.2342357242,0.2523570386,expensive
