offer_id,agency,office_city,location_district,location_city,location_area
Juh8S_7FwJj,"Vianema s.r.o.",Bratislava,"okres Tvrdošín",Tvrdošín,Medvedzie
JukRhMNGZ-C,NULL,NULL,"okres Ružomberok",Ružomberok,Roveň
JunH90jZGku,"Effecting s.r.o.",Bratislava,"okres Žilina",Žilina,Bytčica
JuzxsN9HYse,"OVERENÉ REALITY","Banská Bystrica","okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová
JulRM1RZW6m,"Realitná kancelária RED, s.r.o.",Žilina,"okres Žilina",Žilina,"Staré mesto"
JuIVEdX9aqM,"FINREA - ak vám záleží na výsledku","Dolný Kubín","okres Martin",Martin,Sever
Ju23LHSYosl,G-REAL,"Liptovský Mikuláš","okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina"
JuNnPRzxLFf,NULL,NULL,"okres Žilina",Žilina,Hliny
JuMfaZM03jX,"TUreality s.r.o.",Žilina,"okres Dolný Kubín","Dolný Kubín","Veľký Bysterec"
Ju1KgFqJaOR,"REALITY FAIR","Banská Bystrica","okres Liptovský Mikuláš","Malé Borové","Malé Borové"
Ju4lgcUtMo2,"X-REAL, s. r. o.",Žilina,"okres Žilina",Žilina,"Staré mesto"
Ju2DPhpZEXH,"KORSO Project, s.r.o.",Žilina,"okres Žilina",Žilina,"Staré mesto"
JuqFaXjCOjj,"Reality ASTORIA, s.r.o.",Martin,"okres Martin",Martin,Košúty
JuoHqPCC27P,"REALITY SPOLU",Bratislava,"okres Ružomberok",Bešeňová,Bešeňová
Ju8yXTZyQ0c,"TUreality s.r.o.",Žilina,"okres Liptovský Mikuláš","Liptovský Hrádok",Dovalovo
Juh0xQ8lAwr,"MK-CORP s.r.o.",Malacky,"okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina"
JuFMzwDkckH,NULL,NULL,"okres Žilina",Žilina,Vlčince
JuB3Z9PEAiq,"Safe reality s. r. o.",Žilina,"okres Žilina",Žilina,Závodie
JuolQI_qYfx,"RESIDENCE realitná kancelária","Liptovský Mikuláš","okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina"
JujVD_-rIKd,NULL,NULL,"okres Ružomberok",Ružomberok,Hrabovo
JuGX51SpwM8,"OREA, s.r.o.","Dolný Kubín","okres Dolný Kubín","Dolný Kubín","Veľký Bysterec"
Ju8MQ6z2y19,"WFG reality, s.r.o.",Žilina,"okres Žilina",Žilina,"Staré mesto"
JudIm98MNcc,"Realitná kancelária RED, s.r.o.",Žilina,"okres Žilina",Žilina,Vlčince
JuEn89TLzyn,NULL,NULL,"okres Žilina",Žilina,Hliny
JuDVCgxcWoV,"KES - RV s.r.o.",Rožňava,"okres Dolný Kubín","Dolný Kubín",Stred
JurCt3kGKjX,"ROSA reality","Kysucké Nové Mesto","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko
Ju4rzPnW6--,NULL,NULL,"okres Žilina",Rajec,Rajec
JudLFAAMGyd,"RESIDENCE realitná kancelária","Liptovský Mikuláš","okres Liptovský Mikuláš","Liptovský Mikuláš","Vrbica - Nábrežie"
JuAF6zTk4aw,"ODEKO manažment s.r.o.",Žilina,"okres Žilina",Žilina,Hájik
JurXcD9fbrUY,"Realitná kancelária RED, s.r.o.",Žilina,"okres Žilina",Žilina,"Staré mesto"
JuPIcosPUIK,NULL,NULL,"okres Žilina",Žilina,Hliny
JuviN4c9fMi,G-REAL,"Liptovský Mikuláš","okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová
Jux3fZyBY08,"HD reality group s.r.o","Banská Bystrica","okres Martin",Martin,Sever
JuzYHHeYN5Y,"Safe reality s. r. o.",Žilina,"okres Žilina",Žilina,Vlčince
JulrtoBvNUl,"MGM reality",Žilina,"okres Žilina",Žilina,Vlčince
JunJQlPuUZ5,NULL,NULL,"okres Ružomberok",Ružomberok,"Staré mesto"
Ju7Y_BuXfpd,"Reality Center, s.r.o.",Martin,"okres Martin",Martin,Sever
JuIQRanSNHE,"MK-CORP s.r.o.",Malacky,"okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina"
Ju-oy7KMPvG,"CANGURU s.r.o.","Rajecké Teplice","okres Martin",Martin,Priekopa
JuGK6bfHjeP,"Reality ELIÁŠ",Nitra,"okres Ružomberok",Ružomberok,Hrabovo
Juow0UUu95a,"RIEŠIME BÝVANIE",Bratislava,"okres Liptovský Mikuláš","Liptovský Ján","Liptovský Ján"
Jua2VQSxknR,"Safe reality s. r. o.",Žilina,"okres Žilina",Žilina,"Staré mesto"
Jute43unDDv,"FINREA - ak vám záleží na výsledku","Dolný Kubín","okres Martin",Martin,Sever
JuhboaiL4kD,"Apollo House",Bratislava,"okres Čadca",Makov,Makov
JuvEgSpY9yR,NULL,NULL,"okres Ružomberok",Ružomberok,"Staré mesto"
JunTVXk3Mti,"Real Reality Development s.r.o.",Martin,"okres Martin",Martin,Stred
JuuSRj_dS1E,NULL,NULL,"okres Martin",Martin,Ľadoveň
Ju4H966Coro,"OREA, s.r.o.","Dolný Kubín","okres Ružomberok",Bešeňová,Bešeňová
Ju6-B7-KyuQ,"WFG reality, s.r.o.",Žilina,"okres Žilina",Žilina,"Staré mesto"
JuhnGApypwY,NULL,NULL,"okres Žilina",Žilina,Vlčince
Ju7xovoPDxC,"RE/MAX Slovakia",Bratislava,"okres Ružomberok",Ružomberok,Roveň
Ju_EiSHONLK,"Realitná kancelária",Bratislava,"okres Bytča",Kotešová,Kotešová
JuNbmfaprZN,"Reality Alpia",Martin,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
JukTLg0JPLo,"ŽILINAREAL, s.r.o.",Žilina,"okres Žilina",Žilina,"Staré mesto"
Ju5nlrwa9YA,"Vianema s.r.o.",Bratislava,"okres Čadca",Čadca,Centrum
JuxqWwCd3Bc,"Reality Alpia",Martin,"okres Ružomberok",Bešeňová,Bešeňová
Ju-lEoc2XSC,"ODEKO manažment s.r.o.",Žilina,"okres Žilina",Žilina,Hájik
JuPFzcSTrpI,"MGM reality",Žilina,"okres Žilina",Žilina,Hájik
JuBGOlYijOs,"FINREA - ak vám záleží na výsledku","Dolný Kubín","okres Dolný Kubín",Leštiny,Leštiny
JuzSVrg19-5,"OREA, s.r.o.","Dolný Kubín","okres Dolný Kubín","Dolný Kubín",Stred
Ju4DmwiiW-b,"Istrofinal, s. r. o.",Žilina,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence
JuqfZpnefqB,NULL,NULL,"okres Žilina",Žilina,"Staré mesto"
Juu9JOj3Rtxf,"FINREA - ak vám záleží na výsledku","Dolný Kubín","okres Dolný Kubín",Leštiny,Leštiny
JuqrzDEx4zp,"DRR INVEST, s. r. o.","Horný Hričov","okres Žilina","Dlhé Pole","Dlhé Pole"
JuMDbkTFIEs,"Reality ASTORIA, s.r.o.",Martin,"okres Martin",Martin,Sever
JuKOSky-gaQ,"Fortio Popper s.r.o.",Bytča,"okres Bytča",Bytča,"Veľká Bytča"
Ju6HxyuWwow,"RENOME REAL",Žilina,"okres Žilina",Žilina,"Staré mesto"
Jug-3hxWFLu,"Realitné kancelárie SR",Bratislava,"okres Žilina",Žilina,Hliny
Ju7k48dIljM,"HALO reality, s.r.o.",Prievidza,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
Jumh9UnxAYr,"ROMDOM, s. r. o",Žilina,"okres Žilina",Žilina,Vlčince
JuN_WBxnd6g,NULL,NULL,"okres Liptovský Mikuláš","Malé Borové","Malé Borové"
JujoQo2VGUJ,"PRIMA reality s.r.o.",Žilina,"okres Bytča",Bytča,"Veľká Bytča"
JuVrf5-P_w2,"Reality AK, spol. s r.o.",Martin,"okres Martin",Martin,Sever
JuhprznFXvm,"4FIN s.r.o.",Beluša,"okres Bytča",Bytča,"Thurzove sady"
JubdDMCwkS-,"Realitná kancelária DR, s.r.o.",Martin,"okres Martin",Martin,Záturčie
Jur10DDDefn,"Fortio Popper s.r.o.",Bytča,"okres Bytča",Bytča,"Veľká Bytča"
JuAFSeapxAr,"ODEKO manažment s.r.o.",Žilina,"okres Žilina",Žilina,Hájik
JunM5Oyfta7,"Direct Real, spol. s r.o.",Bratislava,"okres Liptovský Mikuláš","Liptovský Hrádok",NULL
JulljNn3BQ6,"JKV REAL",Prievidza,"okres Žilina",Žilina,"Staré mesto"
Ju-DQSmNMMQ,"Realitná kancelária RED, s.r.o.",Žilina,"okres Žilina",Žilina,"Staré mesto"
Juzy2CD4C3Q,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
JuyFJFlxmNe,"Reality Alpia",Martin,"okres Ružomberok",Ružomberok,Hrabovo
JudFUrfv3xN,"OREA, s.r.o.","Dolný Kubín","okres Dolný Kubín","Dolný Kubín",Brezovec
JuTZyCvuUzR,"Reality ASTORIA, s.r.o.",Martin,"okres Martin",Martin,Sever
Juip-IYlQVA,"Realitná kancelária",Bratislava,"okres Martin",Martin,Záturčie
JuRjoCvdqrS,"Realitná kancelária",Bratislava,"okres Martin",Martin,Košúty
Jubh97mv2uS,"RE/MAX Slovakia",Bratislava,"okres Martin",Martin,Stred
JuX28I09sjk,"TUreality s.r.o.",Žilina,"okres Martin",Martin,Podháj
JuC150gf4x0,"Reality ASTORIA, s.r.o.",Martin,"okres Martin",Martin,Stred
JuWE0lIaFPD,"TUreality s.r.o.",Žilina,"okres Žilina",Žilina,Hliny
JuOHtDh4ssx,"JKV REAL",Prievidza,"okres Žilina",Žilina,"Staré mesto"
JucmQgleApT,"KORSO Project, s.r.o.",Žilina,"okres Žilina",Žilina,"Staré mesto"
Juwx2mgp7mc,"Reality AK, spol. s r.o.",Martin,"okres Martin",Martin,Sever
Juefy0T6TSp,"Safe reality s. r. o.",Žilina,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",NULL
JuOlH8L9nB_,"Reinoo a.s.",Žilina,"okres Žilina",Žilina,Vlčince
JuP6ftsrJ5D,NULL,NULL,"okres Žilina",Žilina,Hliny
JuXhj_2xCZd,"B10 Slovensko, a. s.",Žilina,"okres Martin",Martin,Stráne
JuFDFkP8ndy,"WFG reality, s.r.o.",Žilina,"okres Žilina",Žilina,"Staré mesto"
Ju99QRQeIB6,"Reality Alpia",Martin,"okres Liptovský Mikuláš","Liptovský Mikuláš",Okoličné
Ju0vPaBxKXU,"RESIDENCE realitná kancelária","Liptovský Mikuláš","okres Liptovský Mikuláš","Liptovský Mikuláš","Vrbica - Nábrežie"
JuY5LGMMCXw,"iO Partners Slovakia s.r.o.",Bratislava,"okres Martin",Sučany,Sučany
Jul_zSmXyuk,"Realitná kancelária RED, s.r.o.",Žilina,"okres Žilina",Žilina,Bytčica
Juc13_FCZgH,"GERT , s.r.o.","Liptovský Mikuláš","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
JuTx27ZW8X8,"RK SPIRIT s.r.o.","Liptovský Mikuláš","okres Liptovský Mikuláš",Lazisko,Lazisko
Jun0m0ZrnOH,"Tatry mountain resorts, a.s.","Liptovský Mikuláš","okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina"
JuIW7C6rFGH,"LIF REAL",Martin,"okres Martin",Turany,Turany
JupsSzyT0cr,"Reality AK, spol. s r.o.",Martin,"okres Martin",Vrútky,"Horné Vrútky"
JuL2iQbOhc4,"KUBALA REALITY, s.r.o.",Čadca,"okres Námestovo","Oravská Lesná","Oravská Lesná"
JuDUhZhbscW,NULL,NULL,"okres Martin",Martin,Sever
JuU_yP2Leq5,"ROMDOM, s. r. o",Žilina,"okres Žilina",Žilina,Hliny
JudTzF1WzhJ,NULL,NULL,"okres Žilina",Žilina,"Malá Praha"
JuZZDPtR2IXg,"PRIMA reality s.r.o.",Žilina,"okres Bytča",Bytča,"Veľká Bytča"
Ju6CbHXXMaR,"RESIDENCE realitná kancelária","Liptovský Mikuláš","okres Liptovský Mikuláš","Liptovský Mikuláš","Vrbica - Nábrežie"
JuJyLb9uZkF,"FINREA - ak vám záleží na výsledku","Dolný Kubín","okres Martin",Martin,Stred
JuZsnFqHRPo,"MGM reality",Žilina,"okres Žilina",Žilina,Závodie
JubcX2eX1Ec,NULL,NULL,"okres Martin",Martin,Stred
JuHVIRVpUCc,"RK SPIRIT s.r.o.","Liptovský Mikuláš","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
Ju43Fk0eYYh,"1. Reality Rent, s.r.o.",Žilina,"okres Čadca",Čadca,Žarec
JuN7uIfPm4u,"AnoReal, s.r.o.",Stráňavy,"okres Žilina",Žilina,Vlčince
JuunJga2z_k,"RE/MAX Slovakia",Bratislava,"okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina"
JuAChQKUc2K,"Reality Center, s.r.o.",Martin,"okres Martin",Martin,Stred
Ju0haPUlmUa,NULL,NULL,"okres Žilina",Žilina,Hliny
JuMd5Se4xMY,"Realitná kancelária",Bratislava,"okres Martin",Martin,Košúty
JusbD5cQ3a4,"B10 Slovensko, a. s.",Žilina,"okres Martin",Martin,Košúty
JuM34gAq3oh,"SLNOVRAT, s.r.o.",Olešná,"okres Čadca",Čadca,Centrum
JuMB3dfOXp8,"AstonReal s.r.o.","Banská Bystrica","okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka
JubzWbhcDfO,"TUreality s.r.o.",Žilina,"okres Turčianske Teplice","Turčianske Teplice",NULL
JuVAMiylcZs,"RK SPIRIT s.r.o.","Liptovský Mikuláš","okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Mara - Tatralandia"
JunEHNrbeFP,"GERT , s.r.o.","Liptovský Mikuláš","okres Liptovský Mikuláš","Liptovský Ján","Liptovský Ján"
JuUPtRtKqg1,"Realitné kancelárie SR",Bratislava,"okres Tvrdošín",Nižná,Nižná
Juqo7TnYgwu,"Direct Real, spol. s r.o.",Bratislava,"okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka
JuS-j-NozyD,"Realitná kancelária RED, s.r.o.",Žilina,"okres Žilina",Žilina,Hliny
Ju6448VMXkm,"TUreality s.r.o.",Žilina,"okres Martin",Vrútky,NULL
Ju1i5P66bxL,"Realitná kancelária",Bratislava,"okres Martin",Martin,Ľadoveň
JuYIUYhGIcc,"Realitné kancelárie SR",Bratislava,"okres Žilina",Žilina,Vlčince
JuNO1HdGb3E,"Buby reality, s.r.o.",Žilina,"okres Martin",Martin,Stred
JuR_dv_w6nb,"Reality Turiec s.r o.",Martin,"okres Martin",Martin,Záturčie
JulFrto6Z8R,"Tatra Invest",Podtureň,"okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina"
Ju3o-SF0dKF,"WFG reality, s.r.o.",Žilina,"okres Žilina",Žilina,"Staré mesto"
Juena3XeNrr,"Direct Real, spol. s r.o.",Bratislava,"okres Liptovský Mikuláš",Ľubeľa,Ľubeľa
JuvUgr_LkF7,"Bosen Group s.r.o.",Bratislava,"okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Ondrašová"
Ju-oP3i-Pkz,"Reality ASTORIA, s.r.o.",Martin,"okres Martin",Martin,Priekopa
JuEWaQqDH0I,"Reality Center, s.r.o.",Martin,"okres Martin",Martin,Jahodníky
JuqQMoNXFYc,"Reality Center, s.r.o.",Martin,"okres Martin",Martin,Stred
Ju6LKRO0_U9,"Realitná kancelária RED, s.r.o.",Žilina,"okres Žilina",Žilina,"Staré mesto"
Ju_TYGvbGhv,"RESIDENCE realitná kancelária","Liptovský Mikuláš","okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina"
Juq7WGTR85M,"HD reality group s.r.o","Banská Bystrica","okres Tvrdošín",Trstená,Trstená
JuOvpv4GR0X,"BeMi realitná kancelária",Nitra,"okres Liptovský Mikuláš","Liptovský Mikuláš",NULL
Ju65g8tl_o6,"Fortio Popper s.r.o.",Bytča,"okres Bytča",Bytča,"Veľká Bytča"
Ju7s-G2xWRrv,"OREA, s.r.o.","Dolný Kubín","okres Dolný Kubín","Dolný Kubín","Veľký Bysterec"
Jur9DmBKE6k,NULL,NULL,"okres Čadca",Turzovka,Stred
Juethr02QAh,"OREA, s.r.o.","Dolný Kubín","okres Dolný Kubín","Dolný Kubín",Mokraď
JuRPpAPhQaY,"Realitná kancelária RED, s.r.o.",Žilina,"okres Žilina",Žilina,"Staré mesto"
JuXIhW2sDRX,"Direct Real, spol. s r.o.",Bratislava,"okres Žilina",Žilina,Vlčince
JukVWGCXzBK,"MGM reality",Žilina,"okres Žilina",Žilina,"Staré mesto"
JuA1hP6Bd3t,G-REAL,"Liptovský Mikuláš","okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová
JunJ76UrnXo,"FINREA - ak vám záleží na výsledku","Dolný Kubín","okres Martin",Martin,Sever
Juy4b8nUUh5,"TARGETreal s. r. o.",Žilina,"okres Žilina",Žilina,Hájik
JuoKym-eugj,"Reality Alpia",Martin,"okres Ružomberok",Ružomberok,Hrabovo
JuxugnKSQZO,"RE/MAX Slovakia",Bratislava,"okres Dolný Kubín","Dolný Kubín",NULL
Ju0Ee02A6Iy,"HMS Services, a. s.",Žilina,"okres Žilina",Žilina,Vlčince
JuZUv2TX6Jz,"Reality Alpia",Martin,"okres Ružomberok",Bešeňová,Bešeňová
Ju-GH82Bvcv,"ŠIRINY, s.r.o.",Zvolen,"okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka
JumwKAHAQZ-,"RIEŠIME BÝVANIE",Bratislava,"okres Bytča",Súľov-Hradná,Súľov-Hradná
Ju36lkCzKpS,"NajBývanie, s.r.o.",Ružomberok,"okres Martin",Martin,Priekopa
JuVL9EcWc2t,"Fortio Popper s.r.o.",Bytča,"okres Bytča",Bytča,"Veľká Bytča"
JuXRr8c0-gp,"KRUPPKY, s.r.o.","Liptovský Mikuláš","okres Liptovský Mikuláš","Liptovský Ján","Liptovský Ján"
JuUYkSiI3DC,"ARCHEUS Partners a.s.",Bratislava,"okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Mara - Tatralandia"
JuqLWeKD7Wh,liptoreal,"Liptovský Mikuláš","okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny
Juq8LRZ6yKQ,"AstonReal s.r.o.","Banská Bystrica","okres Ružomberok",Ružomberok,Roveň
Ju_IKpLJHsv,"OREA, s.r.o.","Dolný Kubín","okres Ružomberok",Bešeňová,Bešeňová
JugAp1u_qk1,"EASY centrum bývania, s.r.o.",Žilina,"okres Žilina",Žilina,Vlčince
JuJPy3KQ41X,"Reality Alpia",Martin,"okres Martin",Martin,Priekopa
Ju_bbWxDvZ7,"RESIDENCE realitná kancelária","Liptovský Mikuláš","okres Liptovský Mikuláš","Liptovský Mikuláš",NULL
JuuKGKckyxy,"Reality MT s.r.o.",Martin,"okres Martin",Vrútky,"Horné Vrútky"
Ju7lyYOfLaW,"RIEŠIME BÝVANIE",Bratislava,"okres Žilina",Žilina,Hliny
Ju7UlN5liG9,"Buby reality, s.r.o.",Žilina,"okres Martin",Martin,Jahodníky
JuVUnBR3tKh,"Realitná kancelária RED, s.r.o.",Žilina,"okres Žilina",Žilina,Bôrik
JuQBqq7Pwpu,"Realitná kancelária RED, s.r.o.",Žilina,"okres Žilina",Žilina,"Staré mesto"
Jux-89v_b-H,"MGM reality",Žilina,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence
JuRirU25uGC,"Realitná kancelária RED, s.r.o.",Žilina,"okres Žilina",Žilina,"Staré mesto"
JuH61G00WWP,"HALO reality, s.r.o.",Prievidza,"okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny
JuzhlHJjU2y,"Renovo Reality",Žilina,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence
JuTPBH57dwB,"TATRA CITY RESIDENCE s. r. o.",Zvolen,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
JuA6AvNGWkt,"XEMAR realitná spoločnosť s.r.o.","Banská Bystrica","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
JuV3Qm6Wkc0,"Buby reality, s.r.o.",Žilina,"okres Martin",Martin,Priekopa
JuzpWPdpylQ,"Reinoo a.s.",Žilina,"okres Žilina",Žilina,Vlčince
JukmrMnXO9z,"ALFA SALUTO REAL s.r.o",Bratislava,"okres Martin",Martin,Košúty
JuYVsYrHNhK,"Ing.Zuzana Paverová","Turčianske Teplice","okres Turčianske Teplice","Turčianske Teplice",Stred
JulaIQCE-Uz,"RESIDENCE realitná kancelária","Liptovský Mikuláš","okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka
JuVfkYvfV4D,"Financial Hotels Management, s.r.o.",Žilina,"okres Žilina",Žilina,"Staré mesto"
JuXClsCim_Y,NULL,NULL,"okres Žilina",Žilina,"Staré mesto"
JufDkMDnCvm,"Stanislav Motyčík - MK",Žilina,"okres Žilina",Žilina,Bytčica
JukJYQ0D3dC,"TUreality s.r.o.",Žilina,"okres Žilina",Čičmany,Čičmany
JuF1TjEV1Ru,"B10 Slovensko, a. s.",Žilina,"okres Martin","Košťany nad Turcom","Košťany nad Turcom"
JuNLjCrLJ47,"Reality MT s.r.o.",Martin,"okres Martin",Martin,Stred
JuVvtE4iYcW,"RK SPIRIT s.r.o.","Liptovský Mikuláš","okres Dolný Kubín","Dolný Kubín",Stred
Ju8ym9e1pKJ,"1. Reality Rent, s.r.o.",Žilina,"okres Čadca",Čadca,Žarec
JugsT-r1Fjq,"RECLOUD Reality a.s.",Bratislava,"okres Martin",Martin,Sever
JuRvKY-BDAM,"HALO reality, s.r.o.",Prievidza,"okres Liptovský Mikuláš","Liptovská Porúbka","Liptovská Porúbka"
JuXB6L99RjI,"MGM reality",Žilina,"okres Žilina",Žilina,Vlčince
Ju6Fxzj1aPV,"TARGETreal s. r. o.",Žilina,"okres Turčianske Teplice","Turčianske Teplice",Stred
JuvyqEQLT9W,"Reality Alpia",Martin,"okres Martin",Martin,Priekopa
Ju8nwr--d8J,"Tatry mountain resorts, a.s.","Liptovský Mikuláš","okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina"
JuB0hydoQt_,"ADOMOS REAL s.r.o.",Košice,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
JuM_6zn3dEU,"TARGETreal s. r. o.",Žilina,"okres Martin",Martin,Ľadoveň
JuCSthEMyi8,"R2 SK, s.r.o.",Žilina,"okres Žilina",Žilina,"Staré mesto"
JuUgt1O2AUN,NULL,NULL,"okres Liptovský Mikuláš","Malé Borové","Malé Borové"
JuNZ8PQ1HeL,"AstonReal s.r.o.","Banská Bystrica","okres Ružomberok",Ružomberok,Polík
JubK5ISUXOm,"Istrofinal, s. r. o.",Žilina,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence
JuktNGvsiwv,"WFG reality, s.r.o.",Žilina,"okres Žilina",Žilina,"Staré mesto"
Ju5B5pSVvke,"RIEŠIME BÝVANIE",Bratislava,"okres Žilina",Žilina,"Staré mesto"
JugR8pX-gZX,"TUreality s.r.o.",Žilina,"okres Martin",Martin,Ľadoveň
JumTQJJZB7H,"TUreality s.r.o.",Žilina,"okres Žilina",Žilina,Hájik
JuaFAuw30OV,"Renovo Reality",Žilina,"okres Žilina",Žilina,"Staré mesto"
Ju-FXGTnvER,"Reality Alpia",Martin,"okres Žilina",Žilina,Vlčince
JuHXoN0ryfa,"MGM reality",Žilina,"okres Žilina",Žilina,Vlčince
JuYsJLbvRpN,"1. Reality Rent, s.r.o.",Žilina,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko
JuRYP3Oa6YZ,"RK Dalmia s. r. o.","Dolný Kubín","okres Dolný Kubín","Dolný Kubín",Stred
JuKfypJ44Pi,"Trioreality, s.r.o.",Čadca,"okres Čadca",Klubina,Klubina
JuB63TyYdjm,"TATRA CITY RESIDENCE s. r. o.",Zvolen,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
JuwdDOrpGK5,"Buby reality, s.r.o.",Žilina,"okres Martin",Martin,Priekopa
JuQLJpNFPOX,"FINREA - ak vám záleží na výsledku","Dolný Kubín","okres Dolný Kubín","Dolný Kubín","Veľký Bysterec"
JupfL7Qxmcc,"STAREA, s. r. o.",Žilina,"okres Žilina",Žilina,Hliny
JuF5xNSQO5x,"BeMi realitná kancelária",Nitra,"okres Čadca",Čadca,Žarec
Juk3yNZ7Eva,"Realitná kancelária",Bratislava,"okres Žilina","Rajecké Teplice","Rajecké Teplice"
JuiS9BjPEIo,"HD reality group s.r.o","Banská Bystrica","okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina"
Jug3a9-mziM,"RK SPIRIT s.r.o.","Liptovský Mikuláš","okres Liptovský Mikuláš","Liptovský Hrádok",Celiny
JuZzvx283W0,NULL,NULL,"okres Martin",Martin,Stred
Ju8DPYGWH3G,"RK SPIRIT s.r.o.","Liptovský Mikuláš","okres Dolný Kubín","Dolný Kubín",Stred
JuP5uFTNe1Q,"KVArent, s.r.o.",Žilina,"okres Žilina",Žilina,Vlčince
JuALKaJfivV,"B10 Slovensko, a. s.",Žilina,"okres Žilina",Žilina,Hájik
Juns9vrGm9z,"Occam New Home",Bratislava,"okres Námestovo","Oravská Lesná","Oravská Lesná"
JuviBInVrFn,NULL,NULL,"okres Martin",Martin,Stred
JuqUuNNcs6x,"RESIDENCE realitná kancelária","Liptovský Mikuláš","okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka
Juy-j07S1W7,"TARGETreal s. r. o.",Žilina,"okres Turčianske Teplice","Turčianske Teplice",Stred
JuIG-Ap8rLX,"OREA, s.r.o.","Dolný Kubín","okres Tvrdošín",Zuberec,Zuberec
Ju3G8jSFFI9,"JPE. Reality - Jozef Pajer",Čadca,"okres Čadca",Čadca,Centrum
JuQKqXinTqJ,"ODEKO manažment s.r.o.",Žilina,"okres Žilina",Žilina,Hájik
Ju7FBuvMeEz,"RIEŠIME BÝVANIE",Bratislava,"okres Žilina",Žilina,"Považský Chlmec"
Jus3m-rZi5G,"Fortio Popper s.r.o.",Bytča,"okres Bytča",Bytča,"Veľká Bytča"
JuIV5E-BtYf,"IDEÁLNE BÝVANIE, s.r.o.",Žilina,"okres Turčianske Teplice","Turčianske Teplice",Stred
JuoJ6B-WiVu,"RE/MAX Slovakia",Bratislava,"okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová
JuCUhlSV9_h,"YNI reality",Žilina,"okres Martin",Martin,Záturčie
Juk5yDVhn6R,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
Julv6O2K4io,"B10 Slovensko, a. s.",Žilina,"okres Martin",Martin,Sever
Ju1Hfz04CkU,"RENOME REAL",Žilina,"okres Bytča",Súľov-Hradná,Súľov-Hradná
JuT66Fppd38,"RE/MAX Slovakia",Bratislava,"okres Dolný Kubín","Oravský Podzámok","Oravský Podzámok"
Ju75IN_Zjx0,"SLNOVRAT, s.r.o.",Olešná,"okres Čadca",Turzovka,Stred
JupU33o9uCP,"RK SPIRIT s.r.o.","Liptovský Mikuláš","okres Ružomberok",Ružomberok,Hrabovo
JuxRPO2xwZZ,"DreamReality s.r.o.",Žilina,"okres Martin",Martin,Stred
Jugu2Y2-InX,"Buby reality, s.r.o.",Žilina,"okres Žilina",Žilina,Bôrik
JuxFFLySNPg,"ODEKO manažment s.r.o.",Žilina,"okres Ružomberok",Ružomberok,Roveň
Ju7ymmOZXTG,"WFG reality, s.r.o.",Žilina,"okres Žilina",Žilina,"Staré mesto"
JuPbmK8oIXM,"STRATEGIC REALITY","Liptovský Mikuláš","okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka
JuFA8PJP0f8,"RE/MAX Slovakia",Bratislava,"okres Martin",Martin,Stred
