offer_id,property_type,area,terrain,price_m2,location_district,location_city,location_area,agency,office_city
JuuLvwvMnqi,land,1072,"gently sloped",120.00,"okres Dolný Kubín",Veličná,Veličná,"RK Dalmia s. r. o.","Dolný Kubín"
Ju7-tv2yvGe,land,697,flat,88.95,"okres Bytča",Štiavnik,Štiavnik,"Romantické Chalupy, s.r.o.",Bratislava
Ju2XjdxAKiA,land,3225,"gently sloped",NULL,"okres Dolný Kubín","Dlhá nad Oravou","Dlhá nad Oravou","RE/MAX Slovakia",Bratislava
JuMA67ZT6Dj,land,1205,flat,97.93,"okres Žilina",Svederník,Svederník,"Realitné kancelárie SR",Bratislava
Ju5G02PfLPf,land,1095,"gently sloped",105.00,"okres Martin","Turčiansky Jaseno","Turčiansky Jaseno","ALT REAL, s.r.o.",Martin
Jurrvwf7__Y,land,9735,"gently sloped",NULL,"okres Martin","Turčianske Kľačany","Turčianske Kľačany","Reality AK, spol. s r.o.",Martin
JuxqyTwKPA7,land,NULL,NULL,NULL,"okres Čadca",Oščadnica,Oščadnica,"MGM reality",Žilina
Ju3pFJiSu2s,land,4234,"gently sloped",35.43,"okres Dolný Kubín",Zázrivá,Zázrivá,"RK Dalmia s. r. o.","Dolný Kubín"
JupsaGq4wbB,land,1537,"gently sloped",46.84,"okres Martin",Turany,Turany,"MartinTham s. r. o.",Bratislava
JusMGCS4uqf,land,692,flat,91.04,"okres Žilina",Stránske,Stránske,"Ing. Gerlinda Bérešová - Esti",Žilina
JuCWsWXxn1N,land,645,NULL,91.32,"okres Liptovský Mikuláš",Jamník,Jamník,"Delta Property s.r.o.",Poprad
Jus70LjxyN8,land,679,NULL,79.00,"okres Čadca",Skalité,Skalité,"BeMi realitná kancelária",Nitra
JuWllUMOah9,land,567,"gently sloped",264.53,"okres Žilina",Žilina,Budatín,"DRR INVEST, s. r. o.","Horný Hričov"
JuZjAAYPCXKg,land,1415,"gently sloped",38.00,"okres Dolný Kubín","Horná Lehota","Horná Lehota","OREA, s.r.o.","Dolný Kubín"
JulXTVjCmG0,land,25000,flat,NULL,"okres Turčianske Teplice",Jazernica,Jazernica,"Reality AK, spol. s r.o.",Martin
JuRVHpRHSGQ,land,636,"gently sloped",114.78,"okres Martin","Dolný Kalník","Dolný Kalník","Like Reality s.r.o.","Považská Bystrica"
JumCABBKmrv,land,1095,sloped,NULL,"okres Žilina",Žilina,Hájik,"Buby reality, s.r.o.",Žilina
JuyrQlq623r,land,836,flat,270.00,"okres Žilina",Rosina,Rosina,"Realitné kancelárie SR",Bratislava
JuHPJ-p52W2,land,1665,"mostly flat",70.00,"okres Ružomberok","Liptovský Michal","Liptovský Michal","OVERENÉ REALITY","Banská Bystrica"
Ju7mSPUl1TY3,land,1045,other,113.00,"okres Námestovo","Oravská Jasenica","Oravská Jasenica","RE/MAX Slovakia",Bratislava
Juarq9_UTUn,land,746,NULL,89.81,"okres Námestovo",Ťapešovo,Ťapešovo,"TUreality s.r.o.",Žilina
Jud1n40d-dn,land,381,flat,123.36,"okres Žilina",Krasňany,Krasňany,"B10 Slovensko, a. s.",Žilina
Ju2_HPkQ8s2,land,762,other,164.04,"okres Dolný Kubín",Párnica,Párnica,"RE/MAX Slovakia",Bratislava
JuXDdV7DuGH,land,883,"gently sloped",151.52,"okres Dolný Kubín",Veličná,Veličná,"bezmaklérov, s.r.o.",Žilina
JuXGG7E_fDg,land,1176,flat,84.18,"okres Ružomberok","Liptovská Štiavnica","Liptovská Štiavnica","AstonReal s.r.o.","Banská Bystrica"
Ju9QSsEf9gw,land,800,sloped,NULL,"okres Dolný Kubín",Párnica,Párnica,"GRAVITAS a. s.",Bratislava
JuWNTIbPUJS,land,27773,flat,20.40,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto","Reality Alpia",Martin
Jue_9ALQet2b,land,900,"gently sloped",0.00,"okres Martin","Turčianske Kľačany","Turčianske Kľačany","B10 Slovensko, a. s.",Žilina
Jut36Rci3LJ,land,NULL,NULL,NULL,"okres Žilina",Žilina,Strážov,"MGM reality",Žilina
JumDim2HAtJ,land,922,NULL,189.80,"okres Žilina",Žilina,Budatín,"X-REAL, s. r. o.",Žilina
JuhJeiPLlID,land,1468,"gently sloped",185.00,"okres Žilina",Žilina,Trnové,"WFG reality, s.r.o.",Žilina
JuWSeZfgL-Y,land,4525,flat,4.40,"okres Liptovský Mikuláš",Vavrišovo,Vavrišovo,"SCHNEIDER Real",Bratislava
Jub-7EwQ_Rho,land,947,flat,NULL,"okres Ružomberok",Ružomberok,Černová,"AstonReal s.r.o.","Banská Bystrica"
Ju5nXGRiNlM,land,5260,NULL,NULL,"okres Martin",Ratkovo,Ratkovo,"BALAŽI REAL ESTATE s.r.o.",Topoľčany
Ju_bN-ewyhS,land,1114,flat,125.67,"okres Žilina",Kunerad,Kunerad,"AnReal s. r. o.",Mojš
JujRK5xYV79,land,933,flat,118.00,"okres Dolný Kubín","Vyšný Kubín","Vyšný Kubín","RK Dalmia s. r. o.","Dolný Kubín"
JueuBN1Nu8x,land,946,NULL,116.28,"okres Ružomberok","Liptovská Osada","Liptovská Osada","XEMAR realitná spoločnosť s.r.o.","Banská Bystrica"
JudQL3RTdOS,land,2836,NULL,90.00,"okres Žilina",Turie,Turie,"Realitné kancelárie SR",Bratislava
JuhckkiisBJp,land,1502,NULL,91.88,"okres Čadca",Čierne,Čierne,"BeMi realitná kancelária",Nitra
Ju9e7LtrfAt,land,1607,NULL,59.12,"okres Žilina",Lysica,Lysica,"DOBRÉ REALITY s.r.o.",Prievidza
