property_type,condition,location_district,dis_avg_price,agency,agency_avg_price,price_diff
"2-room apartment","new construction","okres Martin",2847.854545,"Reality Center, s.r.o.",3163.270000,0.1107554652
"2-room apartment","new construction","okres Turčianske Teplice",4070.915000,"Estate Invest",4961.830000,0.2188488337
"2-room apartment","new construction","okres Žilina",3561.193182,"AnReal s. r. o.",3568.700000,0.0021079502
"2-room apartment","new construction","okres Čadca",2014.910000,"MGM reality",1859.500000,-0.0771299959
"2-room apartment","new construction","okres Liptovský Mikuláš",3530.526486,"TUreality s.r.o.",3428.570000,-0.0288785501
"2-room apartment","new construction","okres Žilina",3561.193182,"ODEKO manažment s.r.o.",3403.293333,-0.0443390293
"2-room apartment","new construction","okres Ružomberok",3005.420000,"AstonReal s.r.o.",2549.880000,-0.1515728251
"2-room apartment","new construction","okres Liptovský Mikuláš",3530.526486,"REINVEST s.r.o.",1468.040000,-0.5841866629
"2-room apartment","new construction","okres Žilina",3561.193182,"STAREA, s. r. o.",3046.035000,-0.1446588701
"2-room apartment","new construction","okres Liptovský Mikuláš",3530.526486,"RE/MAX Slovakia",4211.657500,0.1929261873
"2-room apartment","new construction","okres Liptovský Mikuláš",3530.526486,"HALO reality, s.r.o.",3287.230000,-0.0689122393
"2-room apartment","new construction","okres Dolný Kubín",3896.190000,"OREA, s.r.o.",4252.380000,0.0914200796
"2-room apartment","new construction","okres Martin",2847.854545,"Real Reality Development s.r.o.",NULL,NULL
"2-room apartment","new construction","okres Dolný Kubín",3896.190000,"RK Dalmia s. r. o.",2585.710000,-0.3363491000
"2-room apartment","new construction","okres Liptovský Mikuláš",3530.526486,"Realitné kancelárie SR",2715.420000,-0.2308739190
"2-room apartment","new construction","okres Žilina",3561.193182,"RIEŠIME BÝVANIE",3599.980000,0.0108915232
"2-room apartment","new construction","okres Liptovský Mikuláš",3530.526486,"Prvá Realitná Kancelária, s.r.o.",4000.000000,0.1329754970
"2-room apartment","new construction","okres Žilina",3561.193182,"Realitné kancelárie SR",3305.410000,-0.0718251353
"2-room apartment","new construction","okres Žilina",3561.193182,"B10 Slovensko, a. s.",4050.000000,0.1372592817
"2-room apartment","new construction","okres Liptovský Mikuláš",3530.526486,G-REAL,4078.111667,0.1551001481
"2-room apartment","new construction","okres Žilina",3561.193182,"R2 SK, s.r.o.",3212.070000,-0.0980354516
"2-room apartment","new construction","okres Liptovský Mikuláš",3530.526486,"RESIDENCE realitná kancelária",3655.290000,0.0353385011
"2-room apartment","new construction","okres Žilina",3561.193182,"JKV REAL",NULL,NULL
"2-room apartment","new construction","okres Žilina",3561.193182,"Renovo Reality",4464.290000,0.2535938861
"2-room apartment","new construction","okres Dolný Kubín",3896.190000,"FINREA - ak vám záleží na výsledku",4278.070000,0.0980137006
"2-room apartment","new construction","okres Žilina",3561.193182,"KORSO Project, s.r.o.",4489.500000,0.2606729741
"2-room apartment","new construction","okres Žilina",3561.193182,"GAMA Reality, s.r.o.",3019.230000,-0.1521858417
"2-room apartment","new construction","okres Žilina",3561.193182,"Financial Hotels Management, s.r.o.",3950.550000,0.1093332482
"2-room apartment","new construction","okres Martin",2847.854545,"B10 Slovensko, a. s.",2128.570000,-0.2525706751
"2-room apartment","new construction","okres Turčianske Teplice",4070.915000,"TARGETreal s. r. o.",3180.000000,-0.2188488337
"2-room apartment","new construction","okres Tvrdošín",2988.100000,"RK SPIRIT s.r.o.",2988.100000,0.0000000000
"2-room apartment","new construction","okres Žilina",3561.193182,"Realitná kancelária RED, s.r.o.",3623.877000,0.0176019145
"2-room apartment","new construction","okres Martin",2847.854545,"Buby reality, s.r.o.",2605.810000,-0.0849918917
"2-room apartment","new construction","okres Ružomberok",3005.420000,donidDevelop,2620.690000,-0.1280120582
"2-room apartment","new construction","okres Ružomberok",3005.420000,Limaxreal,2731.710000,-0.0910721297
"2-room apartment","new construction","okres Martin",2847.854545,"Reality AK, spol. s r.o.",3357.410000,0.1789260817
"2-room apartment","new construction","okres Žilina",3561.193182,"WFG reality, s.r.o.",3722.142500,0.0451953348
"2-room apartment","new construction","okres Žilina",3561.193182,"Reinoo a.s.",3651.348750,0.0253161127
"2-room apartment","new construction","okres Martin",2847.854545,NULL,2997.770000,0.0526415421
"2-room apartment","new construction","okres Žilina",3561.193182,"MGM reality",NULL,NULL
"2-room apartment","new construction","okres Žilina",3561.193182,"ŽILINAREAL, s.r.o.",2530.136667,-0.2895255782
"2-room apartment","new construction","okres Liptovský Mikuláš",3530.526486,NULL,3239.645714,-0.0823901968
"2-room apartment","new construction","okres Čadca",2014.910000,"Trioreality, s.r.o.",2170.320000,0.0771299959
"2-room apartment","new construction","okres Liptovský Mikuláš",3530.526486,"Bosen Group s.r.o.",3968.250000,0.1239825040
"2-room apartment","new construction","okres Bytča",3041.110000,"PRIMA reality s.r.o.",3082.220000,0.0135180904
"2-room apartment","new construction","okres Ružomberok",3005.420000,"OREA, s.r.o.",4137.930000,0.3768225406
"2-room apartment","new construction","okres Liptovský Mikuláš",3530.526486,"RK SPIRIT s.r.o.",2177.653333,-0.3831930332
"4-room apartment",unrenovated,"okres Čadca",1517.010000,"BeMi realitná kancelária",1517.010000,0.0000000000
"4-room apartment",unrenovated,"okres Žilina",2022.186667,"ŽILINAREAL, s.r.o.",2031.250000,0.0044819468
"4-room apartment",unrenovated,"okres Tvrdošín",1752.940000,"BeMi realitná kancelária",1752.940000,0.0000000000
"4-room apartment",unrenovated,"okres Žilina",2022.186667,"Reality IQ, s.r.o.",1904.750000,-0.0580740982
"4-room apartment",unrenovated,"okres Martin",1488.760000,Time4dreams,1488.760000,0.0000000000
"4-room apartment",unrenovated,"okres Žilina",2022.186667,"RIEŠIME BÝVANIE",1416.670000,-0.2994365836
"4-room apartment",unrenovated,"okres Martin",1488.760000,Reality+,NULL,NULL
"holiday apartment","fully renovated","okres Martin",4312.805000,"RIGHT POWER DEVELOPMENT, s.r.o.",3286.320000,-0.2380086742
"holiday apartment","fully renovated","okres Čadca",1641.275000,"NIKO-REAL, s.r.o.",NULL,NULL
"holiday apartment","fully renovated","okres Liptovský Mikuláš",3384.775000,"Reality Alpia",3438.600000,0.0159020910
"holiday apartment","fully renovated","okres Ružomberok",3557.504000,NULL,3547.600000,-0.0027839744
"holiday apartment","fully renovated","okres Ružomberok",3557.504000,"REALITY SPOLU",3804.120000,0.0693227611
"holiday apartment","fully renovated","okres Martin",4312.805000,donidDevelop,5339.290000,0.2380086742
"holiday apartment","fully renovated","okres Ružomberok",3557.504000,"Reality Alpia",3345.904000,-0.0594799050
"holiday apartment","fully renovated","okres Čadca",1641.275000,"Ing. Gerlinda Bérešová - Esti",1641.275000,0.0000000000
