agency,apt_listings,apt_pricing_idx,apt_top5,house_listings,house_pricing_idx,house_top5,land_listings,land_pricing_idx,land_top5
"VAŠA REALITKA s.r.o.",NULL,NULL,NULL,3,-0.15193333,NULL,NULL,NULL,NULL
"VAŠE REALITY s.r.o.",NULL,NULL,NULL,2,0.09090000,NULL,NULL,NULL,NULL
"Vianema s.r.o.",6,-0.02035000,NULL,9,0.00000000,NULL,4,-0.04372500,NULL
"VICTORY REALITY Residence s. r. o.",NULL,NULL,NULL,2,0.00000000,NULL,NULL,NULL,NULL
"Vivid House s. r. o.",NULL,NULL,NULL,NULL,NULL,NULL,1,0.00000000,NULL
"Wealth Group, s.r.o.",1,-0.02640000,NULL,10,-0.16954286,NULL,1,NULL,NULL
"WFG reality, s.r.o.",21,-0.00629524,NULL,13,0.03468462,NULL,19,-0.06241579,NULL
"Winners Reality Slovakia, s.r.o.",NULL,NULL,NULL,1,0.00000000,NULL,NULL,NULL,NULL
"X-REAL, s. r. o.",NULL,NULL,NULL,1,0.23600000,NULL,3,-0.16225000,NULL
"XEMAR realitná spoločnosť s.r.o.",6,-0.01330000,NULL,2,0.00000000,NULL,2,0.01035000,NULL
"YFE, s.r.o.",1,-0.23310000,NULL,1,0.00000000,NULL,2,0.00000000,NULL
"YNI reality",2,0.00000000,NULL,3,NULL,NULL,1,NULL,NULL
"ZAJO Reality, s.r.o.",NULL,NULL,NULL,NULL,NULL,NULL,1,0.06060000,NULL
ZEIRA,1,0.19990000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"ŽILINAREAL, s.r.o.",9,-0.10567778,NULL,14,0.03592727,NULL,9,0.00993750,NULL
"ZRUBY RAJEC, s.r.o.",NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL
