property_type,condition,location_district,location_area,gen_count,gen_avg_rent,area_count,dis_avg_rent,rent_diff
"1-room apartment","partially renovated","okres Martin",Záturčie,11,12.093000,1,10.670000,-11.7671380137
"2-room apartment","new construction","okres Martin",Záturčie,69,11.685484,1,11.560000,-1.0738451227
"3-room apartment","partially renovated","okres Žilina",Hliny,23,8.347273,1,11.750000,40.7645347169
"3-room apartment","partially renovated","okres Čadca",NULL,23,8.347273,1,6.670000,-20.0936641224
"2-room apartment","new construction","okres Liptovský Mikuláš","Liptovská Mara - Tatralandia",69,11.685484,1,15.380000,31.6162856412
"2-room apartment","new construction","okres Námestovo","Oravské Veselé",69,11.685484,1,11.210000,-4.0690141718
"1-room apartment","new construction","okres Čadca",Oščadnica,16,13.524375,1,10.500000,-22.3624012200
"3-room apartment","fully renovated","okres Dolný Kubín",Brezovec,77,9.839863,1,8.840000,-10.1613508237
"1-room apartment","fully renovated","okres Liptovský Mikuláš","Staré mesto",24,14.052273,2,13.585000,-3.3252485203
"1-room apartment","new construction","okres Martin",Stred,16,13.524375,1,12.790000,-5.4300106290
"studio apartment","fully renovated","okres Čadca",Kyčerka,13,14.678462,1,14.580000,-0.6707923487
"1-room apartment","fully renovated","okres Martin",Jahodníky,24,14.052273,1,13.240000,-5.7803673470
"2-room apartment","partially renovated","okres Martin",NULL,26,9.940800,1,8.200000,-17.5116690810
"4-room apartment","new construction","okres Žilina","Staré mesto",6,9.275000,1,8.820000,-4.9056603774
"2-room apartment",unrenovated,"okres Žilina","Staré mesto",8,9.495000,1,8.530000,-10.1632438125
"3-room apartment","fully renovated","okres Žilina",Závodie,77,9.839863,1,8.110000,-17.5801533009
"3-room apartment",unrenovated,"okres Dolný Kubín","Veľký Bysterec",4,7.365000,1,8.130000,10.3869653768
"1-room apartment","partially renovated","okres Dolný Kubín",Stred,11,12.093000,1,15.130000,25.1137021417
"1-room apartment","new construction","okres Žilina",Rajec,16,13.524375,1,9.550000,-29.3867553954
"studio apartment",unrenovated,"okres Martin",Sever,1,13.040000,1,13.040000,0.0000000000
"1-room apartment","new construction","okres Bytča","Veľká Bytča",16,13.524375,2,12.685000,-6.2063866168
"3-room apartment","fully renovated","okres Martin",Košúty,77,9.839863,1,9.530000,-3.1490580712
"3-room apartment","fully renovated","okres Martin",Podháj,77,9.839863,1,8.750000,-11.0759977044
