offer_id,property_type,area,monthly_rent_m2,condition,position,floor,elevator,built_in,energy_certificate,north,south,east,west,location_district,location_city,location_area,agency,office_city
JuFU83JdcqO,"3-room apartment",66,8.88,"partially renovated","upper floor",6,yes,NULL,C,NULL,NULL,NULL,NULL,"okres Dolný Kubín","Dolný Kubín","Veľký Bysterec","FINREA - ak vám záleží na výsledku","Dolný Kubín"
JucGgWWz-uF,"1-room apartment",42,10.71,unrenovated,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Čadca",Čadca,Centrum,"Realitné kancelárie SR",Bratislava
JueR5kVH0gB,"2-room apartment",56,9.00,"new construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Martin",Martin,"Horné Vrútky",NULL,NULL
Jugl5WLVOis,"2-room apartment",50,12.20,unrenovated,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Vrbica - Nábrežie",NULL,NULL
Ju65cZ1we6J,"1-room apartment",37,17.57,"new construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto",NULL,NULL
JuqmFIXrbkG,"studio apartment",22,18.18,"new construction","ground floor",1,NULL,2024,A,NULL,NULL,NULL,NULL,"okres Dolný Kubín","Dolný Kubín",Brezovec,"FINREA - ak vám záleží na výsledku","Dolný Kubín"
JuNbGbpkzSB,"4-room apartment",110,10.00,"new construction","upper floor",2,yes,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Vlčince,"Piata Avenue",Žilina
JuOHl43if-S,"2-room apartment",38,13.95,"fully renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Dolný Kubín","Dolný Kubín",Mokraď,"OREA, s.r.o.","Dolný Kubín"
Juv-PlaXTBH,"3-room apartment",60,9.67,"fully renovated",NULL,NULL,NULL,2025,"not available",NULL,NULL,NULL,NULL,"okres Martin",Martin,Záturčie,"Reality Alpia",Martin
JuiXqsf4YYv,"4-room apartment",99,13.13,"fully renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto",NULL,NULL
Juuc5eYfRcY,"2-room apartment",49,10.61,"fully renovated","upper floor",3,NULL,1900,"not available",NULL,NULL,NULL,NULL,"okres Martin",Martin,Podháj,"RE/MAX Slovakia",Bratislava
JuvU6HPzzl0,"2-room apartment",42,13.10,"fully renovated","upper floor",2,NULL,2015,"not available",NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Ondrašová","OVERENÉ REALITY","Banská Bystrica"
Ju67d-dUTmu,"3-room apartment",81,9.88,"fully renovated","upper floor",3,yes,NULL,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto","JKV REAL",Prievidza
JutGSTAuW2R,"2-room apartment",72,10.42,"fully renovated",NULL,NULL,NULL,2025,"not available",NULL,NULL,yes,NULL,"okres Martin",Martin,Stred,"Reality Alpia",Martin
Ju4LJ_g_D6K,"3-room apartment",73,10.92,"fully renovated","upper floor",3,NULL,2025,A,yes,NULL,NULL,yes,"okres Bytča",Bytča,"Veľká Bytča","Fortio Popper s.r.o.",Bytča
JudMJ6hNCSy,"2-room apartment",60,10.00,"fully renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka,NULL,NULL
Ju6MmU5y4t_,"4-room apartment",260,6.54,"new construction","top floor",2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Rosinky,"Realitné kancelárie SR",Bratislava
Juq_j6YQYsV,"2-room apartment",56,8.75,"fully renovated","ground floor",1,NULL,1980,E,NULL,NULL,yes,yes,"okres Martin",Martin,Stred,"Reality ASTORIA, s.r.o.",Martin
JuoJ3kkyC7Y,"2-room apartment",60,9.17,"fully renovated","ground floor",1,NULL,NULL,C,NULL,NULL,NULL,NULL,"okres Martin",Martin,Stred,"FINREA - ak vám záleží na výsledku","Dolný Kubín"
JuVvUzJnXTu,"2-room apartment",70,12.86,"new construction","upper floor",9,yes,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto","Realitné kancelárie SR",Bratislava
JuNw9r8KaEc,"studio apartment",38,11.32,"fully renovated","top floor",2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Martin",Martin,Stred,"FINREA - ak vám záleží na výsledku","Dolný Kubín"
Ju_V7mSpqiT,"1-room apartment",25,20.00,"fully renovated","top floor",4,NULL,1970,"in preparation",NULL,NULL,NULL,yes,"okres Žilina",Žilina,Závodie,"TARGETreal s. r. o.",Žilina
JuZMRwuUCim,"3-room apartment",65,11.54,"fully renovated","ground floor",1,NULL,1980,"not available",NULL,NULL,NULL,NULL,"okres Kysucké Nové Mesto",Nesluša,Nesluša,"Reality IQ, s.r.o.",Žilina
Juq7qf85SJ_x,"2-room apartment",48,9.58,unrenovated,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Suľkov,"Realitné kancelárie SR",Bratislava
JuW48-9PwOZ,"1-room apartment",50,10.00,"new construction","ground floor",1,NULL,2023,"not available",NULL,NULL,NULL,NULL,"okres Čadca","Krásno nad Kysucou",Stred,"JPE. Reality - Jozef Pajer",Čadca
Ju5kidrwmrO2,"2-room apartment",50,9.20,"new construction","top floor",3,NULL,2010,"not available",NULL,NULL,NULL,NULL,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko,"Safe reality s. r. o.",Žilina
JuokG910TrR,"1-room apartment",30,14.33,"fully renovated",NULL,NULL,NULL,NULL,"not available",NULL,NULL,NULL,yes,"okres Martin",Martin,Stred,"FINREA - ak vám záleží na výsledku","Dolný Kubín"
JuJqHGEd9oq,"holiday apartment",25,14.40,"fully renovated","raised ground floor",1,NULL,2000,"not available",NULL,NULL,NULL,NULL,"okres Žilina","Rajecké Teplice","Rajecké Teplice","AnoReal, s.r.o.",Stráňavy
Ju9itHE-Ye8,"2-room apartment",55,11.82,"fully renovated",NULL,NULL,NULL,2025,"not available",NULL,NULL,NULL,NULL,"okres Martin",Martin,Stred,"Reality Alpia",Martin
JuE1GXKIL78,"1-room apartment",38,15.79,"fully renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Vlčince,NULL,NULL
Juhxp3dqjhf,"1-room apartment",30,15.00,"fully renovated","upper floor",3,yes,NULL,NULL,NULL,NULL,NULL,NULL,"okres Martin",Martin,Podháj,"Realitné kancelárie SR",Bratislava
JufwsWkzi_8,"1-room apartment",30,14.33,"fully renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,yes,"okres Martin",Martin,Stred,"Realitná kancelária",Bratislava
Juq2JDI17SL,"1-room apartment",37,17.57,"new construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Vlčince,NULL,NULL
JufIcrH5ACA,"2-room apartment",70,11.29,"fully renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto","Piata Avenue",Žilina
Ju9Ws1QPS3n,"4-room apartment",80,8.77,"fully renovated",NULL,NULL,NULL,NULL,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Vlčince,"MGM reality",Žilina
JuazplczVyT,"1-room apartment",25,15.20,"partially renovated","upper floor",3,NULL,1980,B,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto","KA Real","Banská Bystrica"
JuuM-q0SgiK,"4-room apartment",84,8.93,unrenovated,NULL,NULL,NULL,NULL,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Vlčince,"Direct Real, spol. s r.o.",Bratislava
JuUOO-LXy23,"3-room apartment",63,11.10,"fully renovated","ground floor",1,NULL,1969,"not available",NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto",jabyvam.sk,"Liptovský Mikuláš"
JucyrM14fby,"4-room apartment",89,8.98,"fully renovated","upper floor",NULL,NULL,NULL,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Vlčince,"Realitné kancelárie SR",Bratislava
JuxE6cxjVt5,"3-room apartment",72,11.11,"fully renovated","ground floor",1,yes,1979,"not available",yes,NULL,NULL,NULL,"okres Martin",Martin,Priekopa,"Reality Center, s.r.o.",Martin
JuS9mzdfL46,"2-room apartment",80,6.63,"new construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Vlčince,NULL,NULL
Juopd9f8gHL,"2-room apartment",53,11.32,"fully renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Martin",Martin,Priekopa,"Realitné kancelárie SR",Bratislava
JuKVuQz4tJM,"2-room apartment",43,12.56,"fully renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Dolný Kubín","Dolný Kubín",Mokraď,"OREA, s.r.o.","Dolný Kubín"
JuXU3OM1vfY,"3-room apartment",65,10.77,"fully renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto",NULL,NULL
Ju-7v4T1AY6H,"2-room apartment",59,10.00,"partially renovated","upper floor",4,yes,2025,"not available",NULL,NULL,NULL,NULL,"okres Martin",Martin,Priekopa,"Reality Alpia",Martin
Juqwj6nqGVe,"3-room apartment",73,16.44,"new construction","added floor",3,yes,2021,A,NULL,yes,NULL,yes,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,Reality+,Žilina
JufIYFnXqFe,"3-room apartment",70,7.86,"fully renovated","ground floor",1,NULL,1900,"not available",NULL,NULL,NULL,NULL,"okres Martin",Martin,Stred,"RE/MAX Slovakia",Bratislava
JuUk6PkKhU1,"2-room apartment",65,12.31,"fully renovated",NULL,NULL,NULL,NULL,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto","JKV REAL",Prievidza
JumYoLK7UqZ,"1-room apartment",40,12.50,"fully renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Martin",Martin,Stred,NULL,NULL
JuJZH5W0xc8,"2-room apartment",70,8.29,"fully renovated","upper floor",2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto","RESIDENCE realitná kancelária","Liptovský Mikuláš"
Juluyhlg8Mb,"studio apartment",19,17.89,"partially renovated","raised ground floor",NULL,NULL,NULL,B,NULL,NULL,NULL,NULL,"okres Martin",Martin,Sever,"Realitná kancelária",Bratislava
JuE57rFMsYf,"2-room apartment",60,11.00,"new construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto",NULL,NULL
Ju6xkslUZo-,"2-room apartment",75,12.67,"development project","upper floor",4,NULL,2009,"not available",yes,NULL,NULL,yes,"okres Žilina",Žilina,Bôrik,"Renovo Reality",Žilina
JuwbdEJILXn,"2-room apartment",50,12.60,"partially renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Hájik,NULL,NULL
JuvOvL67CnW,"4-room apartment",75,8.53,"fully renovated","raised ground floor",1,NULL,1980,"not available",NULL,yes,NULL,yes,"okres Dolný Kubín","Dolný Kubín",Stred,"VAŠA REALITKA s.r.o.",Ružomberok
Jum6U0_5m9N,"2-room apartment",59,8.47,"fully renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Vlčince,NULL,NULL
JuoiWz-kUDq,"2-room apartment",50,14.00,"new construction","ground floor",1,NULL,2018,A,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka,"OVERENÉ REALITY","Banská Bystrica"
JuxN0XX5d2L,"3-room apartment",74,10.90,"fully renovated","upper floor",4,NULL,2025,A,yes,NULL,yes,NULL,"okres Bytča",Bytča,"Veľká Bytča","Fortio Popper s.r.o.",Bytča
JuQfDarw60S,"2-room apartment",64,9.38,"fully renovated","top floor",3,NULL,1980,C,NULL,NULL,NULL,NULL,"okres Martin",Martin,Podháj,"ALT REAL, s.r.o.",Martin
JuPs0jZ4Upm,"3-room apartment",60,11.67,"fully renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Nábrežie,"Realitné kancelárie SR",Bratislava
JuZ2eoxoyai,"3-room apartment",80,5.00,"new construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Partizánska Ľupča","Partizánska Ľupča",NULL,NULL
Ju6KRY_ibJj,"3-room apartment",70,6.86,"fully renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Ružomberok",Ružomberok,Polík,NULL,NULL
JuuS6FA8WTM,"1-room apartment",38,11.05,"fully renovated","ground floor",1,NULL,1990,"not available",NULL,NULL,NULL,NULL,"okres Čadca",Čadca,Žarec,"JPE. Reality - Jozef Pajer",Čadca
JuwDKSHdYOM,"3-room apartment",57,8.25,"fully renovated","upper floor",2,NULL,1970,"not available",NULL,NULL,NULL,NULL,"okres Čadca",Čadca,Centrum,"SLNOVRAT, s.r.o.",Olešná
JuKE1haIfBQ,"1-room apartment",36,16.67,"new construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto",NULL,NULL
JukH94BLOrl,"1-room apartment",38,10.53,"partially renovated","upper floor",3,NULL,1984,"not available",NULL,NULL,NULL,NULL,"okres Martin",Turany,Turany,"Like Reality s.r.o.","Považská Bystrica"
Ju_P4weQ1yi,"3-room apartment",72,9.72,"partially renovated","ground floor",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto","RESIDENCE realitná kancelária","Liptovský Mikuláš"
Ju4jUNHrCaa,"2-room apartment",37,15.95,"fully renovated","upper floor",2,NULL,1984,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Hliny,"EASY centrum bývania, s.r.o.",Žilina
JueFBhJMkEL,"studio apartment",26,14.23,"fully renovated","upper floor",4,yes,1978,"not available",NULL,NULL,yes,NULL,"okres Čadca",Čadca,Žarec,"KUBALA REALITY, s.r.o.",Čadca
JuiowNIBmX1,"3-room apartment",74,8.38,"partially renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Čadca",Čadca,Kyčerka,NULL,NULL
JusujBj0j9H,"3-room apartment",80,9.50,"fully renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Vlčince,NULL,NULL
JupXiFdQKs1,"3-room apartment",70,10.43,"partially renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Solinky,"PRIVAT Reality spol.s.r.o",Bratislava
Jut7GOvY7Cs,"3-room apartment",118,5.76,"new construction","top floor",4,NULL,2024,"in preparation",NULL,NULL,NULL,NULL,"okres Námestovo","Oravské Veselé","Oravské Veselé","OREA, s.r.o.","Dolný Kubín"
Ju_N2iy5JWS,"studio apartment",18,14.44,"fully renovated","raised ground floor",1,NULL,2022,"not available",NULL,NULL,NULL,NULL,"okres Martin",Necpaly,Necpaly,"Reality ASTORIA, s.r.o.",Martin
JukxcpBCVX8,"1-room apartment",29,17.93,"new construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Vlčince,NULL,NULL
JuyD0Z9BTN-,"2-room apartment",62,10.34,"fully renovated","upper floor",2,NULL,2025,A,NULL,NULL,NULL,yes,"okres Bytča",Bytča,"Veľká Bytča","Fortio Popper s.r.o.",Bytča
Ju9LPOOoAn-,"3-room apartment",92,9.67,"fully renovated","upper floor",3,NULL,2012,"not available",yes,NULL,NULL,yes,"okres Martin",Martin,Stred,"Financie a reality od A po Z",Martin
Juq3cdm2VSm,"2-room apartment",51,11.02,"fully renovated","upper floor",4,NULL,2025,A,yes,NULL,NULL,NULL,"okres Bytča",Bytča,"Veľká Bytča","Fortio Popper s.r.o.",Bytča
Jum7aZZZlIy,"1-room apartment",27,14.81,"fully renovated","upper floor",2,yes,NULL,NULL,NULL,NULL,NULL,NULL,"okres Martin",Martin,Košúty,"Vianema s.r.o.",Bratislava
JujQYigyRBf,"2-room apartment",63,6.90,"partially renovated","upper floor",3,NULL,2025,D,yes,NULL,NULL,NULL,"okres Martin",Martin,Sever,"Reality ASTORIA, s.r.o.",Martin
Ju6nNzmPk_9,"2-room apartment",53,13.12,"fully renovated","top floor",6,yes,2025,"not available",NULL,NULL,NULL,yes,"okres Bytča",Bytča,"Veľká Bytča","Fortio Popper s.r.o.",Bytča
Ju6oJmE8oWf,"2-room apartment",56,10.68,"new construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Čadca",Čadca,Centrum,"SLNOVRAT, s.r.o.",Olešná
JuXmK-edCSR,"3-room apartment",74,10.95,"fully renovated","upper floor",3,NULL,2025,A,yes,NULL,yes,NULL,"okres Bytča",Bytča,"Veľká Bytča","Fortio Popper s.r.o.",Bytča
JuURItmx0gz,"2-room apartment",52,11.46,"new construction","top floor",3,NULL,2024,A,NULL,NULL,NULL,NULL,"okres Žilina",Terchová,Terchová,"WFG reality, s.r.o.",Žilina
JuBNi2HSNwg,"3-room apartment",90,7.78,"fully renovated","top floor",2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Martin",Martin,Ľadoveň,"FINREA - ak vám záleží na výsledku","Dolný Kubín"
JuJGytVBKhB,"2-room apartment",57,11.40,"fully renovated","ground floor",1,NULL,1956,"not available",yes,NULL,yes,NULL,"okres Martin",Martin,Podháj,"Like Reality s.r.o.","Považská Bystrica"
JuaIL0ybcDR,"3-room apartment",81,8.02,"fully renovated","upper floor",4,yes,1934,"not available",yes,NULL,yes,NULL,"okres Žilina",Žilina,"Staré mesto","1. Reality Rent, s.r.o.",Žilina
JubGyQoKm-F,"2-room apartment",55,9.82,"partially renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Nábrežie,NULL,NULL
JuMlNRioczT,"3-room apartment",212,4.48,"partially renovated",attic,6,yes,NULL,"not available",NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto","RESIDENCE realitná kancelária","Liptovský Mikuláš"
JuKy-dL9Ryo,"2-room apartment",62,13.71,"new construction","top floor",5,yes,2025,C,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Vlčince,"WFG reality, s.r.o.",Žilina
JuR0t0CZHt8,"2-room apartment",66,9.09,"partially renovated","upper floor",3,NULL,2010,A,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto","Loviu, s.r.o.","Liptovský Mikuláš"
JuyBFHxJEo2F,"2-room apartment",36,12.50,"partially renovated","upper floor",NULL,NULL,1975,NULL,NULL,NULL,NULL,NULL,"okres Čadca",Čadca,Centrum,"B10 Slovensko, a. s.",Žilina
Jus0-bkZHge,"3-room apartment",68,8.53,"partially renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,yes,"okres Martin",Martin,Ľadoveň,"Realitná kancelária",Bratislava
Jubh8FOR_C9,"studio apartment",22,14.55,"fully renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Martin",Martin,Sever,NULL,NULL
JurzQ4OXOH_,"studio apartment",30,17.33,"new construction","upper floor",2,yes,2018,A,NULL,NULL,yes,NULL,"okres Žilina",Žilina,Hliny,"Reality Alpia",Martin
Ju88ayVM-YP5,"4-room apartment",161,4.04,unrenovated,"upper floor",2,NULL,1997,"not available",NULL,NULL,NULL,NULL,"okres Turčianske Teplice","Turčianske Teplice",Diviaky,"OVERENÉ REALITY","Banská Bystrica"
Ju27eP_ig4Z,"2-room apartment",51,12.75,"new construction","upper floor",3,yes,2022,"not available",NULL,NULL,yes,NULL,"okres Žilina",Žilina,Hliny,"Safe reality s. r. o.",Žilina
JuY5BHrBXS_,"4-room apartment",86,9.30,"fully renovated","upper floor",7,yes,1966,"not available",NULL,NULL,NULL,yes,"okres Martin",Martin,Košúty,"AstonReal s.r.o.","Banská Bystrica"
JuDGw-se-Mg,"1-room apartment",38,10.53,"new construction","ground floor",1,NULL,2010,"not available",NULL,NULL,NULL,NULL,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko,"Safe reality s. r. o.",Žilina
JuQ4Jf_xqij,"2-room apartment",70,8.86,"fully renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko,"BeMi realitná kancelária",Nitra
Ju9csMkjbyN,"3-room apartment",71,8.73,"partially renovated","upper floor",NULL,NULL,1958,NULL,NULL,NULL,NULL,NULL,"okres Martin",Martin,Ľadoveň,"B10 Slovensko, a. s.",Žilina
JuwMlHIuC26,"2-room apartment",31,17.74,"new construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Martin","Turčianska Štiavnička","Turčianska Štiavnička","LEVEL REAL, s.r.o.",Trnava
JuN8mAtD42x,"3-room apartment",60,9.17,"fully renovated","ground floor",1,NULL,1980,"not available",NULL,NULL,NULL,NULL,"okres Čadca",Klubina,Klubina,"Trioreality, s.r.o.",Čadca
Jun8HaIrjPB,"3-room apartment",72,9.03,"fully renovated","ground floor",1,yes,1955,"not available",NULL,NULL,NULL,NULL,"okres Dolný Kubín","Dolný Kubín","Veľký Bysterec","OREA, s.r.o.","Dolný Kubín"
JuZ6EDDylkC,"3-room apartment",85,8.82,"fully renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto",NULL,NULL
Ju6cRlkmMC_,"1-room apartment",28,12.50,"fully renovated","ground floor",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Dolný Kubín",Istebné,Istebné,"FINREA - ak vám záleží na výsledku","Dolný Kubín"
JuFBiuRLpoy,"2-room apartment",55,11.82,"new construction",NULL,NULL,NULL,NULL,"not available",NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Vrbica - Nábrežie","Direct Real, spol. s r.o.",Bratislava
JuIgM2fUqeh,"2-room apartment",54,10.56,"fully renovated","top floor",3,NULL,1970,"not available",NULL,NULL,yes,yes,"okres Martin",Martin,Podháj,"Reality Simply",Martin
JurbbuyjxWx,"3-room apartment",132,9.47,"new construction","upper floor",3,NULL,2009,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto","Realitná kancelária RED, s.r.o.",Žilina
JuSS030a7te,"1-room apartment",41,14.56,"fully renovated","upper floor",6,yes,2025,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Vlčince,"Realitka pre každého",Žilina
Ju93xLSe03c,"1-room apartment",30,10.67,"partially renovated",NULL,NULL,NULL,NULL,"not available",NULL,NULL,NULL,NULL,"okres Martin",Martin,Záturčie,"MGM reality",Žilina
JuRvQ8h5ljK,"3-room apartment",72,10.42,"fully renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Vlčince,NULL,NULL
JuqL8yAiSJt,"2-room apartment",43,12.79,"new construction","upper floor",2,NULL,2023,A,NULL,NULL,NULL,NULL,"okres Čadca","Krásno nad Kysucou",Kalinov,"ETHOS reality, s. r. o.","Krásno nad Kysucou"
JuCHpapFKG8,"2-room apartment",48,11.56,"new construction","ground floor",1,NULL,2023,A,NULL,NULL,NULL,NULL,"okres Martin",Martin,Záturčie,"Reality ASTORIA, s.r.o.",Martin
Ju54zsovXgd,"3-room apartment",63,11.75,"partially renovated","upper floor",3,NULL,1960,"not available",yes,NULL,NULL,yes,"okres Žilina",Žilina,Hliny,"EASY centrum bývania, s.r.o.",Žilina
JuUygteSgA9,"2-room apartment",50,7.80,"partially renovated","ground floor",1,NULL,1970,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto","Safe reality s. r. o.",Žilina
JuvxnqGhrvB,"3-room apartment",75,6.67,"partially renovated","ground floor",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Čadca",Čadca,NULL,"Realitné kancelárie SR",Bratislava
JudF4Y5NRYO,"2-room apartment",39,15.38,"new construction","ground floor",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Mara - Tatralandia","RESIDENCE realitná kancelária","Liptovský Mikuláš"
JuWSXBSHA4W,"studio apartment",27,12.42,"fully renovated","ground floor",1,yes,1980,"not available",NULL,NULL,yes,NULL,"okres Čadca",Čadca,Žarec,"1. Reality Rent, s.r.o.",Žilina
JuSwv58uXFj,"studio apartment",23,16.96,"fully renovated","top floor",NULL,NULL,NULL,B,yes,NULL,NULL,NULL,"okres Dolný Kubín","Dolný Kubín",Brezovec,"FINREA - ak vám záleží na výsledku","Dolný Kubín"
JuSEGf_jb32,"2-room apartment",58,11.21,"new construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Námestovo","Oravské Veselé","Oravské Veselé","BeMi realitná kancelária",Nitra
Jusrma_M5xf,"3-room apartment",72,11.11,"fully renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Solinky,NULL,NULL
JuETFY0yocs,"3-room apartment",52,13.46,"fully renovated","upper floor",NULL,NULL,NULL,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Hliny,"Realitné kancelárie SR",Bratislava
Juo8y036wNc,"2-room apartment",57,13.02,"fully renovated","upper floor",5,NULL,2025,"not available",NULL,NULL,NULL,yes,"okres Bytča",Bytča,"Veľká Bytča","Fortio Popper s.r.o.",Bytča
JuPeIRhvo6g,"2-room apartment",52,12.50,"new construction","ground floor",1,NULL,2022,B,NULL,NULL,NULL,NULL,"okres Martin",Martin,Stred,"BRATISLAVA REAL s.r.o.",Senec
Juq3ES8kVdO,"2-room apartment",74,8.11,"fully renovated","upper floor",NULL,NULL,1950,NULL,NULL,NULL,NULL,NULL,"okres Martin",Martin,Stred,"B10 Slovensko, a. s.",Žilina
JupL8ZjnO78,"1-room apartment",39,16.67,"fully renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Vlčince,NULL,NULL
JuzI-cY3VGB,"2-room apartment",60,10.00,"partially renovated","upper floor",2,NULL,1935,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto","WFG reality, s.r.o.",Žilina
JuC3qFxZRHA,"2-room apartment",63,10.95,"fully renovated","top floor",3,NULL,1969,B,NULL,NULL,NULL,NULL,"okres Martin",Martin,Stred,"TARGETreal s. r. o.",Žilina
JuOtmAhAnN-,"3-room apartment",80,8.63,"fully renovated","upper floor",2,NULL,1960,"not available",yes,yes,yes,yes,"okres Žilina",Žilina,"Staré mesto","LAVENTURA s.r.o.",Žilina
