price_m2,ln_price_m2,holiday_apartment,rooms,area,ln_area,unrenovated,partially_renovated,fully_renovated,new_construction,new_project,ground_floor,upper_floor,top_floor,missing_floor,floor_upto_8,very_high_floor,elevator,age,ln_age,energy_certificate,north,south,east,west,BY,ZA,KM,CA,MT,TR,DK,NO,TS,RK,LM,area_price_index
2698.11,7.900306806878027,0,3.0,106,4.663439094112067,0,0,0,1,0,0,0,1,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-10.57304766030000
3206.90,8.073060017417157,0,1.0,29,3.367295829986474,0,0,1,0,0,0,0,0,1,2.8,0,0,42.02,3.761665123839584,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3.57310141620000
2491.67,7.820708447382525,0,3.0,60,4.0943445622221,0,0,0,1,0,0,0,1,0,5.0,0,0,1,0.6931471805599453,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3.57310141620000
2039.77,7.620592335384017,0,4.0,88,4.477336814478207,0,0,1,0,0,0,0,0,1,2.8,0,0,42.02,3.761665123839584,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3.57310141620000
2659.80,7.886006210979063,0,2.0,50,3.912023005428146,0,0,1,0,0,0,0,0,1,2.8,0,0,18,2.9444389791664403,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3.57310141620000
2517.86,7.831164613376285,0,2.0,56,4.02535169073515,0,0,1,0,0,0,1,0,0,3.0,0,0,56,4.04305126783455,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3.57310141620000
2000.00,7.600902459542082,0,3.0,80,4.382026634673881,0,1,0,0,0,0,1,0,0,3.0,0,0,50,3.9318256327243257,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3.57310141620000
2491.67,7.820708447382525,0,3.0,60,4.0943445622221,0,0,0,1,0,0,0,1,0,5.0,0,0,1,0.6931471805599453,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3.57310141620000
2491.67,7.820708447382525,0,3.0,60,4.0943445622221,0,0,0,1,0,0,0,1,0,5.0,0,0,1,0.6931471805599453,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3.57310141620000
2053.57,7.627335020957822,0,2.0,56,4.02535169073515,1,0,0,0,0,1,0,0,0,1.0,0,0,56,4.04305126783455,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3.57310141620000
2422.54,7.792571855496507,0,3.0,71,4.2626798770413155,0,0,0,1,0,0,0,0,1,2.8,0,0,4.47,1.6992786164338898,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3.57310141620000
2170.00,7.682482446534506,0,2.0,60,4.0943445622221,1,0,0,0,0,0,1,0,0,3.0,0,0,50,3.9318256327243257,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,-3.57310141620000
2165.00,7.68017564043659,0,2.0,60,4.0943445622221,0,1,0,0,0,0,1,0,0,2.0,0,0,55,4.02535169073515,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3.57310141620000
2446.43,7.802385098016548,0,2.0,56,4.02535169073515,0,1,0,0,0,0,1,0,0,3.0,0,0,45,3.828641396489095,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3.57310141620000
1367.65,7.220849217494608,0,3.0,204,5.318119993844216,0,0,1,0,0,0,1,0,0,5.0,0,1,42.02,3.761665123839584,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-15.45623996511111
1797.30,7.4940408177579885,0,3.0,74,4.30406509320417,0,0,1,0,0,0,0,1,0,9.0,1,0,39,3.6888794541139363,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-15.45623996511111
3469.18,8.151673533775812,0,1.0,30,3.4011973816621555,0,1,0,0,0,0,1,0,0,4.0,0,1,65,4.189654742026425,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-15.45623996511111
2796.61,7.936163248370936,0,1.0,35,3.5553480614894135,0,0,1,0,0,1,0,0,1,2.8,0,0,45,3.828641396489095,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,-15.45623996511111
2081.67,7.640925735171312,0,2.0,60,4.0943445622221,0,1,0,0,0,0,1,0,0,3.0,0,0,40,3.713572066704308,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-15.45623996511111
1517.01,7.324496571284617,0,4.0,147,4.990432586778736,1,0,0,0,0,0,0,1,0,3.0,0,0,45.01,3.8288587641673772,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-15.45623996511111
1570.42,7.359098378489916,0,4.0,142,4.955827057601261,0,0,0,1,0,0,0,0,1,2.8,0,0,4.47,1.6992786164338898,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-15.45623996511111
