price_m2,area,ln_area,flat,sloped,BY,ZA,KM,CA,MT,TR,DK,NO,TS,RK,LM,area_price_index
254.36,688,6.5337888379333435,1,0,0,1,0,0,0,0,0,0,0,0,0,26.82717787630000
253.62,690,6.536691597591305,1,0,0,1,0,0,0,0,0,0,0,0,0,26.82717787630000
183.67,490,6.194405391104672,0,0,0,1,0,0,0,0,0,0,0,0,0,26.82717787630000
169.07,886,6.786716950605081,0,0,0,1,0,0,0,0,0,0,0,0,0,26.82717787630000
247.59,727,6.588926477533519,0,0,0,1,0,0,0,0,0,0,0,0,0,26.82717787630000
270.00,836,6.728628613084702,1,0,0,1,0,0,0,0,0,0,0,0,0,26.82717787630000
238.00,629,6.444131256700441,0,0,0,0,0,0,0,0,1,0,0,0,0,56.94152593500000
41.24,776,6.654152520183219,0,1,0,0,0,1,0,0,0,0,0,0,0,-25.30170564657500
54.00,2778,7.9294865233142895,1,0,0,0,0,1,0,0,0,0,0,0,0,-20.22996181246667
73.99,669,6.505784060128229,1,0,0,0,0,1,0,0,0,0,0,0,0,-20.22996181246667
54.00,685,6.529418838262226,1,0,0,0,0,1,0,0,0,0,0,0,0,-20.22996181246667
