price_m2,area,house_area,land_area,unrenovated,partially_renovated,fully_renovated,new_construction,in_development,age,flat,sloped,BY,ZA,KM,CA,MT,TR,DK,NO,TS,RK,LM,area_price_index
1264.71,170,170,874,0,0,0,0,1,65,0,1,0,0,0,0,0,0,0,0,0,1,0,-17.01205561955556
3333.33,42,42,400,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,-17.01205561955556
416.67,624,624,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-17.01205561955556
1582.22,180,180,519,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-17.01205561955556
214.40,653,653,653,0,0,1,0,0,55,0,0,0,0,0,0,0,0,0,0,0,1,0,-42.53144802697500
1190.48,84,84,753,0,1,0,0,0,57,0,1,0,0,0,0,0,0,0,0,0,1,0,-42.53144802697500
999.50,200,200,1318,1,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,1,0,-42.53144802697500
2956.99,93,93,392,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-19.13181231142143
340.78,792,792,792,0,1,0,0,0,60,1,0,0,0,0,0,1,0,0,0,0,0,0,-19.13181231142143
340.78,792,792,792,0,1,0,0,0,60,1,0,0,0,0,0,1,0,0,0,0,0,0,-19.13181231142143
650.60,415,415,2177,0,0,1,0,0,88,1,0,0,0,0,0,1,0,0,0,0,0,0,-19.13181231142143
650.60,415,415,2177,0,0,1,0,0,88,1,0,0,0,0,0,1,0,0,0,0,0,0,-19.13181231142143
888.89,90,90,642,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-19.13181231142143
1499.44,180,180,792,0,0,0,1,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,-19.13181231142143
1020.83,240,240,816,0,1,0,0,0,50,1,0,0,0,0,0,1,0,0,0,0,0,0,-19.13181231142143
581.68,464,464,2177,0,1,0,0,0,88,1,0,0,0,0,0,1,0,0,0,0,0,0,-19.13181231142143
330.07,409,409,374,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,1,0,-14.77842693387143
492.31,130,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-14.77842693387143
2369.57,460,460,1014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-14.77842693387143
3000.00,250,250,980,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-14.77842693387143
1291.67,120,120,0,0,1,0,0,0,95,1,0,0,0,0,0,0,0,0,0,0,1,0,-14.77842693387143
587.50,400,400,519,0,1,0,0,0,125,0,1,0,0,0,0,0,0,0,0,0,1,0,-14.77842693387143
1607.14,140,140,620,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,-14.77842693387143
1400.00,200,200,1371,1,0,0,0,0,125,1,0,0,0,0,0,0,0,0,0,0,1,0,-14.77842693387143
1290.00,100,100,800,1,0,0,0,0,125,0,0,0,0,0,0,1,0,0,0,0,0,0,-32.67598336871000
620.00,500,500,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-32.67598336871000
1.56,212000,212000,424,0,0,1,0,0,55,1,0,0,0,0,0,1,0,0,0,0,0,0,-32.67598336871000
1035.98,164,164,410,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,-22.98083208213333
466.67,150,150,713,1,0,0,0,0,55,1,0,0,0,0,1,0,0,0,0,0,0,0,-22.98083208213333
2615.38,130,130,475,0,0,1,0,0,35,1,0,0,0,0,1,0,0,0,0,0,0,0,-22.98083208213333
925.00,80,80,363,1,0,0,0,0,83,0,1,0,0,0,0,0,0,0,0,0,0,1,36.03249652925000
700.00,150,150,570,1,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,1,36.03249652925000
1322.58,279,279,279,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.76942205142500
3300.00,150,150,720,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,6.76942205142500
3024.59,122,122,279,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,6.76942205142500
3561.15,139,139,712,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,6.76942205142500
1752.94,170,170,236,0,0,0,1,0,15,1,0,0,0,0,0,0,0,1,0,0,0,0,-1.33200384183000
470.20,755,755,0,0,1,0,0,0,45,0,0,0,0,0,0,0,0,1,0,0,0,0,-13.11993947872000
639.67,547,547,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,-13.11993947872000
1827.59,145,145,590,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-8.30285941623333
1908.40,131,131,560,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-8.30285941623333
712.50,200,200,600,1,0,0,0,0,65,1,0,0,0,0,0,1,0,0,0,0,0,0,-8.30285941623333
2651.52,132,132,500,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-8.30285941623333
2657.96,132,132,500,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-8.30285941623333
1908.40,131,131,560,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,-8.30285941623333
1741.67,120,120,921,0,1,0,0,0,45,1,0,0,0,0,0,1,0,0,0,0,0,0,-8.30285941623333
178.57,700,700,3425,1,0,0,0,0,125,1,0,0,0,0,0,0,0,0,0,0,0,1,1.83786455375000
735.29,340,340,0,0,1,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,1,1.83786455375000
3357.00,70,70,938,1,0,0,0,0,90,1,0,0,0,0,0,0,0,0,0,0,0,1,1.83786455375000
1519.95,177,177,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1.83786455375000
2062.50,80,80,473,0,1,0,0,0,73,0,0,0,1,0,0,0,0,0,0,0,0,0,18.76265164520000
2333.33,180,180,402,1,0,0,0,0,36,1,0,0,1,0,0,0,0,0,0,0,0,0,18.76265164520000
771.08,415,415,415,0,0,0,1,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,18.76265164520000
1778.57,140,140,380,0,1,0,0,0,20,1,0,0,1,0,0,0,0,0,0,0,0,0,18.76265164520000
869.42,291,291,857,0,1,0,0,0,30,0,0,0,1,0,0,0,0,0,0,0,0,0,18.76265164520000
2350.00,100,100,957,1,0,0,0,0,60,1,0,0,1,0,0,0,0,0,0,0,0,0,18.76265164520000
2372.88,177,177,3199,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-25.31189740815714
800.00,100,100,570,1,0,0,0,0,75,0,1,0,1,0,0,0,0,0,0,0,0,0,17.29012604892857
813.33,300,300,1764,1,0,0,0,0,56,0,1,0,1,0,0,0,0,0,0,0,0,0,17.29012604892857
800.00,100,100,570,1,0,0,0,0,75,0,1,0,1,0,0,0,0,0,0,0,0,0,17.29012604892857
1608.65,230,230,781,0,0,1,0,0,53,1,0,0,1,0,0,0,0,0,0,0,0,0,17.29012604892857
1872.00,125,125,298,0,0,1,0,0,25,1,0,0,1,0,0,0,0,0,0,0,0,0,17.29012604892857
1409.09,220,220,849,0,0,1,0,0,56,0,0,0,1,0,0,0,0,0,0,0,0,0,17.29012604892857
2010.67,178,178,389,0,0,1,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,17.29012604892857
2362.95,146,146,939,0,0,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,17.29012604892857
1512.00,250,250,421,0,0,1,0,0,30,0,0,0,1,0,0,0,0,0,0,0,0,0,17.29012604892857
313.97,637,637,637,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,17.29012604892857
900.00,200,200,0,0,1,0,0,0,64,1,0,0,1,0,0,0,0,0,0,0,0,0,-11.28676590668000
1000.00,190,190,594,0,1,0,0,0,44,0,1,0,1,0,0,0,0,0,0,0,0,0,-11.28676590668000
574.07,270,270,372,1,0,0,0,0,56,0,0,0,1,0,0,0,0,0,0,0,0,0,-11.28676590668000
2142.86,140,140,781,1,0,0,0,0,17,1,0,0,1,0,0,0,0,0,0,0,0,0,-11.28676590668000
1811.11,90,90,0,0,0,1,0,0,125,1,0,0,0,0,0,1,0,0,0,0,0,0,-20.12051567335000
754.46,224,224,1032,0,1,0,0,0,57,1,0,0,0,0,1,0,0,0,0,0,0,0,-13.67068092542500
960.40,101,101,263,0,1,0,0,0,57,0,0,0,0,0,1,0,0,0,0,0,0,0,-13.67068092542500
1098.84,172,172,1337,0,1,0,0,0,68,0,0,0,0,0,1,0,0,0,0,0,0,0,-13.67068092542500
645.00,200,200,353,1,0,0,0,0,35,1,0,0,0,0,1,0,0,0,0,0,0,0,-13.67068092542500
1983.87,186,186,690,0,0,0,1,0,15,1,0,0,0,0,1,0,0,0,0,0,0,0,-13.67068092542500
1395.00,200,200,790,0,0,0,1,0,12,1,0,0,0,0,1,0,0,0,0,0,0,0,-13.67068092542500
3688.00,113,113,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,19.18808670130000
2516.16,168,168,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,-4.47544627620000
2529.68,168,168,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,-4.47544627620000
4499.98,40,40,1917,0,0,0,1,0,6,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.89918346646000
860.00,250,250,600,1,0,0,0,0,55,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.89918346646000
475.48,734,734,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-0.89918346646000
997.50,400,400,723,0,0,1,0,0,35,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.89918346646000
351.62,711,711,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-0.89918346646000
937.08,240,240,805,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.89918346646000
706.90,348,348,772,1,0,0,0,0,49,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.89918346646000
1396.00,250,250,734,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.89918346646000
374.15,882,882,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.89918346646000
718.10,348,348,772,0,1,0,0,0,56,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.89918346646000
729.17,240,240,4377,0,0,1,0,0,85,0,1,0,0,0,0,1,0,0,0,0,0,0,-0.89918346646000
1246.43,280,280,724,0,0,1,0,0,53,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.89918346646000
529.41,680,680,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-0.89918346646000
1095.00,200,200,805,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-16.00821041223750
1095.00,200,200,805,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,-16.00821041223750
2636.36,110,110,530,0,0,0,1,0,11,1,0,0,0,0,0,1,0,0,0,0,0,0,-16.00821041223750
1095.00,200,200,805,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-16.00821041223750
1857.14,161,161,1000,0,0,1,0,0,10,1,0,0,0,0,0,1,0,0,0,0,0,0,-16.00821041223750
0.01,186,186,1285,1,0,0,0,0,26,1,0,0,0,0,0,1,0,0,0,0,0,0,-16.00821041223750
1625.00,160,160,565,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,-16.00821041223750
1123.08,195,195,580,0,1,0,0,0,49,0,0,0,0,0,0,1,0,0,0,0,0,0,-16.00821041223750
1857.14,140,140,560,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-16.00821041223750
1095.00,200,200,805,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-16.00821041223750
658.73,378,378,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-16.00821041223750
1350.00,100,100,309,0,0,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,-31.70356183402500
412.14,313,313,783,1,0,0,0,0,60,1,0,0,0,0,0,0,0,0,0,0,0,1,-31.70356183402500
855.56,90,90,185,0,1,0,0,0,55,1,0,0,0,0,0,0,0,0,0,0,0,1,-31.70356183402500
264.01,339,339,0,0,1,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,1,-31.70356183402500
835.00,200,200,916,1,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,1,0,-2.85419003136667
3322.92,96,96,66,0,0,0,1,0,13,1,0,0,0,0,0,0,0,0,0,0,1,0,-2.85419003136667
