offer_id,built_in,house_area,land_area,built_up_area,terrain,energy_certificate,electricity,water
JuWeOewD3Gg,1938,336,1144.0,168.0,flat,"not available",NULL,well
JuuJvOruCyE,2018,200,1039.0,155.0,NULL,A,NULL,NULL
Ju1Fv2ySoaS,1985,130,2275.0,200.0,flat,B,on-site,"public water"
JuFC-aJuKRa,2025,672,NULL,NULL,flat,"not available","not available","not available"
JuSs3N5i3rL,2025,110,375.0,110.0,NULL,"not available",on-site,well
JuKx19d2RCd,1960,255,560.0,170.0,flat,"not available",on-site,"public water"
JuY-SPBwd8P,2020,113,NULL,159.0,NULL,A,NULL,NULL
JuLWBKzZeJE,2025,130,471.0,135.0,"gently sloped","not available",NULL,"public water"
JuD8rezKquD,1981,200,675.0,100.0,flat,"not available",NULL,NULL
JubU0eKdiVr,2025,131,849.0,131.0,flat,"not available",on-site,well
Jupwy58HyS3,2025,120,400.0,60.0,flat,A,NULL,NULL
Jux_9WVvE-Q,1930,100,765.0,100.0,NULL,NULL,NULL,NULL
JupBKdvb5-A,1980,582,582.0,NULL,flat,"not available",on-site,well
JuoQ_50mfjv,1970,300,390.0,120.0,flat,"not available",NULL,well
JuiW01vp_No,2008,220,700.0,128.0,NULL,"not available",NULL,NULL
JugGPssQETW,2025,547,NULL,NULL,flat,"not available","not available","not available"
JuVBGZswzO8,2025,865,NULL,NULL,"gently sloped","not available","not available","not available"
Ju6igj_0jNC,1980,120,1515.0,168.0,"gently sloped","not available",NULL,"public water"
Jun0rUiHHId,2024,200,NULL,100.0,"gently sloped","not available",on-site,"public water"
JuRC_sngF0m,2020,178,389.0,90.0,flat,A,NULL,NULL
Jupi9oHSOxK,1935,154,536.5,268.0,flat,"not available",on-site,"public water"
JuhlHrJa9hV,1972,280,724.0,100.0,flat,"not available",on-site,"public water"
Jufj_0Gj-0k,1965,140,1620.0,180.0,NULL,"not available",NULL,NULL
JuqStupTj78,1966,111,258.0,112.0,flat,"not available",on-site,"public water"
Juk3KAL7-tq,1995,250,203.0,97.0,flat,"not available",on-site,"public water"
JudpEUux9d7,1960,120,1760.0,140.0,"mostly flat","not available",NULL,NULL
Ju3LCu23qXh,1957,133,635.0,133.0,flat,"not available",on-site,"public water"
Juwr4hT_Hw4,1977,250,325.0,106.0,NULL,"not available",NULL,NULL
JuLejb12kjD,1978,170,900.0,100.0,flat,"not available",on-site,"public water"
Ju3CARY9OXA,1974,210,1060.0,110.0,NULL,"not available",NULL,NULL
JuuOm3BAvYEs,1900,810,2522.0,1018.0,flat,"not available",NULL,NULL
JuiyrWA4fnU,1971,200,347.0,81.0,flat,NULL,on-site,well
JuwmzGWznze,1900,95,681.0,60.0,NULL,"not available",NULL,NULL
JuZLXRA74dF,1970,455,455.0,200.0,flat,NULL,NULL,well
JuuVW7D3CC4,2023,180,NULL,120.0,flat,B,on-site,well
JucFteCcorV,1960,233,1483.0,150.0,flat,"not available",NULL,NULL
JutrNWqo1mF,2015,86,470.0,130.0,NULL,A,NULL,NULL
Ju91riyeIY0,2023,140,484.0,118.0,NULL,NULL,NULL,NULL
JuJVlSLNzUp,2000,370,1570.0,NULL,NULL,"not available",NULL,NULL
JuDis4x18zz,2025,180,NULL,100.0,"gently sloped",A,on-site,well
JuDZksNmp-x,2008,1000,NULL,122.0,NULL,"in preparation",NULL,NULL
Ju-NcnxkRbA,1976,72,507.0,94.0,NULL,"not available",NULL,NULL
JuCQvl5wSHc,1957,130,1600.0,110.0,NULL,"not available",NULL,NULL
JuMul7PwvM2d,2025,126,295.0,108.0,"mostly flat",NULL,NULL,NULL
Ju8Q97pjRsq,1989,280,735.0,NULL,NULL,B,NULL,NULL
Ju2NkOjuxZI,2016,130,365.0,NULL,other,"not available","not available","not available"
JuJ5uCQt9op,1990,230,872.0,103.0,flat,"not available",NULL,NULL
JurLHZvtaEy,1965,97,490.0,96.7,"gently sloped","not available",NULL,NULL
Juxivp9KfQ0,2025,123,520.2,136.0,NULL,A,NULL,NULL
Jud93oHCOHE,2025,155,NULL,NULL,flat,"not available","not available",well
JuJsyjovPfc,1972,90,2569.0,95.0,NULL,"not available",NULL,NULL
JuOaEJ-u0ZG,1965,60,268.0,77.0,"gently sloped","not available",NULL,NULL
Ju02FWXcSxg,1935,150,1176.0,150.0,flat,"not available",on-site,"public water"
JuNBS73Ff1Z,1970,212000,424.0,106.0,flat,"not available",NULL,"public water"
Juet0DuhtSi,2025,65,140.0,104.0,NULL,"in preparation",NULL,NULL
JutC2YgCUCh,1979,138,414.0,140.0,NULL,A,NULL,NULL
JuxTlJngqfx,2020,184,110.0,NULL,"mostly flat",NULL,NULL,NULL
JuTG5fkPlv9,2010,228,1200.0,114.0,sloped,NULL,NULL,well
JunogbuFikZ,1970,175,375.0,159.0,flat,"not available",NULL,"public water"
JuQYvnGYftR,1980,181,NULL,181.0,NULL,"not available",NULL,well
JuE2xdPeLMB,1982,350,423.0,NULL,NULL,"not available",NULL,NULL
JuQBGbl9GCs,1970,180,2616.0,180.0,"gently sloped","not available",NULL,well
Ju_uHTH2LKy,1950,160,933.0,100.0,"mostly flat","not available",NULL,well
JucgDISpkFu,2016,112,NULL,147.0,flat,B,on-site,"public water"
Juf5RoOgfBW,1964,160,778.0,110.0,flat,"not available",on-site,"public water"
JuZFa40Foop,1962,100,1260.0,150.0,flat,"not available",NULL,"public water"
Juako0agoSO,1970,367,755.0,119.0,"mostly flat",B,NULL,"public water"
Jubj0GQo0yb,1990,220,480.0,165.0,"gently sloped","not available",NULL,well
JufilbyD1c1,1993,160,524.0,160.0,NULL,NULL,NULL,NULL
JutiSbVRe_4,1960,270,753.0,225.0,flat,"not available",NULL,NULL
JuNs-c1_Jug,1990,130,475.0,285.0,flat,"not available",NULL,"public water"
JunPSVDxWEH,2025,1481,1481.0,NULL,flat,"not available","not available",well
Jujj9R6pdLi,1960,150,683.0,160.0,flat,"not available",NULL,well
JuX1WyelwxA,2025,650,NULL,NULL,flat,"not available","not available","not available"
JuiwpIv6ZO8n,2010,200,586.0,200.0,NULL,NULL,NULL,NULL
