offer_id,position,floor,total_floors,elevator,built_in,energy_certificate,north,south,east,west
JuVtdEgquxp,"upper floor",3,4,NULL,2015,"not available",NULL,NULL,yes,yes
JuP6qyzD4rb,"upper floor",2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JuP-xJVwuxh,"ground floor",1,1,NULL,2020,NULL,NULL,NULL,NULL,NULL
Ju2skZ_XIuH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JuxYMJGR4NW,"upper floor",2,3,NULL,1993,"not available",NULL,NULL,NULL,yes
JuWx4I1iGWR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Jubx4f_wHQY,"raised ground floor",NULL,NULL,NULL,NULL,NULL,NULL,yes,NULL,yes
JuBjT8MmAiR,"upper floor",2,6,yes,2025,A,yes,NULL,yes,NULL
Ju8qAJxGCh0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ju-DovddXIY,"upper floor",4,6,NULL,1900,"not available",NULL,NULL,NULL,NULL
Ju6ap4Twr5W,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JuVlvDHUEHV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JukzS9fkGsH,"upper floor",6,8,yes,1985,"not available",NULL,NULL,NULL,NULL
Jum2zoM9dK0,"upper floor",6,8,yes,2024,A,NULL,NULL,NULL,NULL
JuwxWNhZHvq,"top floor",3,3,NULL,1971,A,NULL,NULL,NULL,NULL
JuNh7AtADFs,NULL,NULL,NULL,NULL,2024,"not available",NULL,NULL,NULL,NULL
JuoVEcjPg5o,"ground floor",1,1,NULL,2025,"not available",NULL,NULL,NULL,NULL
JuyUHlMcv_Q,"upper floor",4,6,NULL,2023,NULL,NULL,NULL,NULL,NULL
JuXQxA2vSe6,"upper floor",5,8,yes,1987,"not available",NULL,NULL,NULL,NULL
Jufd89QZCSO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ju2hVjHchsA,"upper floor",3,4,yes,2025,A,NULL,NULL,yes,NULL
Ju9Zm5FKDvx,"ground floor",2,5,NULL,1969,NULL,NULL,NULL,NULL,NULL
Ju_q6RS-fKo,"top floor",4,4,NULL,2024,"in preparation",NULL,NULL,NULL,NULL
Jutomv1SERc,"raised ground floor",NULL,NULL,NULL,2025,"not available",NULL,NULL,NULL,NULL
Jukc07qMxPz,"top floor",3,3,NULL,2025,NULL,NULL,NULL,NULL,NULL
JuZPdvGyLq9,NULL,NULL,NULL,NULL,2010,"not available",NULL,NULL,NULL,NULL
Ju8xVwtKo3R,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JuIK5SS5weX,"upper floor",3,5,NULL,1976,"not available",NULL,NULL,yes,yes
JuzzHVLtL7p,"upper floor",6,NULL,yes,NULL,"not available",yes,NULL,yes,NULL
Ju7J-Smt48P,"upper floor",2,3,NULL,2024,A,NULL,NULL,NULL,NULL
JuvxR6XXHxE,"upper floor",5,6,NULL,2025,"not available",yes,NULL,yes,NULL
JuRuuJuhfW8,"upper floor",7,9,NULL,1980,"not available",NULL,NULL,NULL,yes
JuZK70yldNu,"ground floor",1,2,NULL,2020,A,yes,NULL,yes,yes
JuzSqFzglhO,"upper floor",3,7,yes,2022,A,NULL,yes,NULL,yes
JuT8ujDpM1g,"upper floor",2,3,NULL,2025,C,NULL,NULL,NULL,NULL
JuzmSjYalDj,"upper floor",2,3,NULL,1989,"not available",NULL,NULL,yes,yes
Ju6pkdVbtRp,"top floor",8,8,yes,1970,B,yes,NULL,NULL,NULL
JudnXUbr0fH,"upper floor",2,4,yes,2024,"not available",NULL,NULL,NULL,NULL
JuBIZmW7FwQ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JuPDRHaKHGy,"ground floor",1,5,NULL,1965,B,NULL,NULL,NULL,NULL
JuD8hcoEgT4,"top floor",6,6,NULL,2009,NULL,NULL,NULL,NULL,NULL
JukBZSTP0a5,"top floor",2,2,yes,2024,A,NULL,NULL,NULL,NULL
Ju1AcChzPhX,"ground floor",1,2,NULL,NULL,"not available",NULL,NULL,NULL,NULL
JuE-VhHgCax,"ground floor",1,1,NULL,1970,"not available",NULL,NULL,NULL,NULL
JuBAitX8aRy,"upper floor",2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JuYm2hUT2pj,"upper floor",2,5,NULL,1975,C,NULL,NULL,NULL,NULL
Ju6opeOUPUx,"upper floor",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JuvmTUfehMc,"ground floor",1,2,NULL,2022,"not available",yes,NULL,yes,yes
JuaMkijSYs-,"upper floor",2,12,yes,NULL,C,NULL,NULL,NULL,NULL
JuZL3wORd4j,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JunBxeMXtVv,"ground floor",1,4,NULL,1978,B,NULL,NULL,NULL,NULL
JufXt9veplf,"upper floor",NULL,NULL,NULL,2025,NULL,NULL,NULL,NULL,NULL
Ju1v-rz6S-g,NULL,NULL,NULL,NULL,1980,"not available",NULL,NULL,NULL,NULL
JuK8NkfUxDo,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JuhvRDg8Y4C,basement,-0,25,NULL,2025,"not available",NULL,NULL,NULL,NULL
JuqqisVRKbE,"ground floor",1,3,NULL,1967,"in preparation",NULL,NULL,NULL,NULL
JupIznadChw,"upper floor",NULL,NULL,NULL,1960,NULL,NULL,NULL,NULL,NULL
JuCtiU-W9oK,"upper floor",6,8,NULL,1987,"not available",NULL,yes,yes,NULL
JuQUQOdCbAJ,"top floor",4,4,NULL,2024,"not available",NULL,NULL,NULL,NULL
JuEGUe9TZYw,"top floor",5,5,yes,1982,B,NULL,NULL,NULL,yes
JuJTUgZNUdL,"upper floor",2,3,NULL,2025,"not available",NULL,NULL,NULL,NULL
JugdzCpEbZl,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JuJ1fx159Ms,"ground floor",1,4,NULL,1970,"not available",NULL,NULL,NULL,NULL
JuUWRcxAAYr,"ground floor",1,1,NULL,1900,B,NULL,NULL,NULL,NULL
JucFSMwZ-YV,"upper floor",6,8,yes,2015,B,NULL,yes,NULL,yes
JuHBGisy5-E,"upper floor",3,6,yes,2008,B,NULL,NULL,NULL,NULL
